[hh:mm:ss],dB
22:02:23,56.0
22:02:24,37.0
22:02:25,41.0
22:02:26,40.0
22:02:27,73.0
22:02:28,79.0
22:02:29,79.0
22:02:30,79.0
22:02:31,71.0
22:02:32,36.0
22:02:33,36.0
22:02:34,76.0
22:02:35,82.0
22:02:36,81.0
22:02:37,81.0
22:02:38,81.0
22:02:39,79.0
22:02:40,34.0
22:02:41,34.0
22:02:42,79.0
22:02:43,82.0
22:02:44,82.0
22:02:45,81.0
22:02:46,82.0
22:02:47,71.0
22:02:48,40.0
22:02:49,34.0
22:02:50,35.0
22:02:51,35.0
22:02:52,34.0
22:02:53,46.0
22:02:54,82.0
22:02:55,83.0
22:02:56,82.0
22:02:57,82.0
22:02:58,79.0
22:02:59,38.0
22:03:00,38.0
22:03:01,77.0
22:03:02,83.0
22:03:03,83.0
22:03:04,81.0
22:03:05,82.0
22:03:06,80.0
22:03:07,37.0
22:03:08,38.0
22:03:09,82.0
22:03:10,83.0
22:03:11,82.0
22:03:12,82.0
22:03:13,82.0
22:03:14,69.0
22:03:15,50.0
22:03:16,51.0
22:03:17,42.0
22:03:18,38.0
22:03:19,35.0
22:03:20,83.0
22:03:21,84.0
22:03:22,84.0
22:03:23,84.0
22:03:24,78.0
22:03:25,42.0
22:03:26,41.0
22:03:27,77.0
22:03:28,84.0
22:03:29,83.0
22:03:30,83.0
22:03:31,82.0
22:03:32,65.0
22:03:33,44.0
22:03:34,72.0
22:03:35,85.0
22:03:36,85.0
22:03:37,84.0
22:03:38,84.0
