[hh:mm:ss],dB
20:22:57,64.0
20:22:58,40.0
20:22:59,71.0
20:23:00,76.0
20:23:01,76.0
20:23:02,76.0
20:23:03,72.0
20:23:04,40.0
20:23:05,81.0
20:23:06,80.0
20:23:07,79.0
20:23:08,79.0
20:23:09,67.0
20:23:10,79.0
20:23:11,80.0
20:23:12,81.0
20:23:13,81.0
20:23:14,77.0
20:23:15,76.0
20:23:16,82.0
20:23:17,82.0
20:23:18,82.0
20:23:19,82.0
20:23:20,75.0
20:23:21,81.0
20:23:22,82.0
20:23:23,82.0
20:23:24,82.0
20:23:25,36.0
20:23:26,78.0
20:23:27,78.0
20:23:28,77.0
20:23:29,78.0
20:23:30,75.0
20:23:31,70.0
20:23:32,76.0
20:23:33,75.0
20:23:34,75.0
20:23:35,75.0
20:23:36,59.0
20:23:37,75.0
20:23:38,74.0
20:23:39,73.0
