Frecuencia (Hz)	Nivel (dB)
7,812500	-92,196373
15,625000	-84,922905
23,437500	-80,069679
31,250000	-75,308388
39,062500	-73,442924
46,875000	-72,866310
54,687500	-72,032021
62,500000	-72,574951
70,312500	-74,788887
78,125000	-75,312988
85,937500	-76,397835
93,750000	-77,346939
101,562500	-79,599159
109,375000	-82,317558
117,187500	-84,107529
125,000000	-85,589920
132,812500	-87,541428
140,625000	-91,181992
148,437500	-93,976402
156,250000	-94,579025
164,062500	-97,288734
171,875000	-101,449081
179,687500	-102,631874
187,500000	-103,303612
195,312500	-102,905579
203,125000	-101,320633
210,937500	-101,891380
218,750000	-102,261543
226,562500	-103,826469
234,375000	-104,723457
242,187500	-105,092392
250,000000	-102,554276
257,812500	-100,443398
265,625000	-103,051109
273,437500	-106,086182
281,250000	-106,071815
289,062500	-105,695923
296,875000	-105,679634
304,687500	-105,450935
312,500000	-105,394836
320,312500	-104,977608
328,125000	-103,688828
335,937500	-102,616470
343,750000	-104,088615
351,562500	-105,167625
359,375000	-104,205879
367,187500	-103,745041
375,000000	-102,345467
382,812500	-99,853157
390,625000	-100,543327
398,437500	-104,442978
406,250000	-104,162193
414,062500	-104,593437
421,875000	-105,621811
429,687500	-106,284874
437,500000	-102,556793
445,312500	-96,094078
453,125000	-98,687798
460,937500	-104,676613
468,750000	-105,703850
476,562500	-104,745560
484,375000	-101,855438
492,187500	-97,331696
500,000000	-87,415451
507,812500	-80,986938
515,625000	-82,552368
523,437500	-87,480919
531,250000	-87,433365
539,062500	-84,376358
546,875000	-79,637733
554,687500	-70,251518
562,500000	-53,869495
570,312500	-45,665489
578,125000	-48,445335
585,937500	-65,000130
593,750000	-75,517754
601,562500	-80,497070
609,375000	-85,382629
617,187500	-84,894539
625,000000	-83,849998
632,812500	-79,281792
640,625000	-81,702538
648,437500	-88,063354
656,250000	-85,293510
664,062500	-82,214668
671,875000	-75,546997
679,687500	-61,216110
687,500000	-47,511543
695,312500	-45,335907
703,125000	-53,640755
710,937500	-70,378540
718,750000	-58,003319
726,562500	-44,188351
734,375000	-42,480774
742,187500	-49,685741
750,000000	-62,167892
757,812500	-71,210884
765,625000	-76,742256
773,437500	-79,697388
781,250000	-79,367188
789,062500	-70,587654
796,875000	-52,297703
804,687500	-46,368675
812,500000	-49,961075
820,312500	-61,725529
828,125000	-79,053421
835,937500	-83,952126
843,750000	-87,665871
851,562500	-90,069984
859,375000	-87,858627
867,187500	-87,374176
875,000000	-92,310974
882,812500	-96,642570
890,625000	-100,461273
898,437500	-102,029022
906,250000	-100,644859
914,062500	-101,443939
921,875000	-100,687645
929,687500	-98,837410
937,500000	-101,747375
945,312500	-106,008942
953,125000	-107,002678
960,937500	-108,299339
968,750000	-107,377121
976,562500	-108,688057
984,375000	-108,008003
992,187500	-106,105263
1000,000000	-107,633324
1007,812500	-107,933365
1015,625000	-106,154106
1023,437500	-107,617241
1031,250000	-106,549675
1039,062500	-107,157135
1046,875000	-108,849396
1054,687500	-105,928413
1062,500000	-103,296608
1070,312500	-100,906967
1078,125000	-99,496269
1085,937500	-96,353035
1093,750000	-93,318222
1101,562500	-90,623245
1109,375000	-88,921852
1117,187500	-87,282806
1125,000000	-85,617355
1132,812500	-78,181328
1140,625000	-69,454346
1148,437500	-67,752785
1156,250000	-73,860512
1164,062500	-86,908340
1171,875000	-95,263603
1179,687500	-99,222694
1187,500000	-101,984650
1195,312500	-104,475227
1203,125000	-100,668861
1210,937500	-97,919434
1218,750000	-102,902634
1226,562500	-107,423553
1234,375000	-108,755608
1242,187500	-107,332130
1250,000000	-106,156021
1257,812500	-105,358551
1265,625000	-105,043228
1273,437500	-104,207542
1281,250000	-102,936134
1289,062500	-102,053986
1296,875000	-101,546486
1304,687500	-99,690674
1312,500000	-95,813492
1320,312500	-94,551537
1328,125000	-91,887405
1335,937500	-87,893234
1343,750000	-85,914528
1351,562500	-86,143364
1359,375000	-88,106323
1367,187500	-81,570671
1375,000000	-70,266685
1382,812500	-65,444984
1390,625000	-66,435707
1398,437500	-74,604599
1406,250000	-85,632545
1414,062500	-87,571777
1421,875000	-94,025993
1429,687500	-91,968521
1437,500000	-90,343666
1445,312500	-89,981789
1453,125000	-76,691856
1460,937500	-68,539513
1468,750000	-69,521942
1476,562500	-70,647408
1484,375000	-72,667267
1492,187500	-82,416153
1500,000000	-95,156555
1507,812500	-97,252930
1515,625000	-97,158684
1523,437500	-96,062103
1531,250000	-96,766655
1539,062500	-95,834343
1546,875000	-90,495476
1554,687500	-86,837105
1562,500000	-85,898346
1570,312500	-86,574783
1578,125000	-89,329567
1585,937500	-94,810074
1593,750000	-95,993202
1601,562500	-81,980499
1609,375000	-75,227272
1617,187500	-75,780052
1625,000000	-80,768394
1632,812500	-87,650047
1640,625000	-91,883743
1648,437500	-93,662598
1656,250000	-92,522301
1664,062500	-90,750252
1671,875000	-89,849922
1679,687500	-91,237259
1687,500000	-91,175468
1695,312500	-84,576065
1703,125000	-77,986252
1710,937500	-71,172577
1718,750000	-68,249329
1726,562500	-71,312225
1734,375000	-78,437080
1742,187500	-90,758415
1750,000000	-100,617088
1757,812500	-104,605095
1765,625000	-105,303528
1773,437500	-100,238953
1781,250000	-97,280403
1789,062500	-100,860725
1796,875000	-106,470978
1804,687500	-109,454323
1812,500000	-110,370773
1820,312500	-110,617798
1828,125000	-109,968994
1835,937500	-109,395790
1843,750000	-109,954948
1851,562500	-109,421448
1859,375000	-108,718750
1867,187500	-109,571289
1875,000000	-111,181831
1882,812500	-111,849709
1890,625000	-112,181465
1898,437500	-112,053368
1906,250000	-111,912125
1914,062500	-111,579613
1921,875000	-111,476059
1929,687500	-111,325493
1937,500000	-109,823601
1945,312500	-108,837471
1953,125000	-107,941315
1960,937500	-106,853767
1968,750000	-104,556076
1976,562500	-104,225021
1984,375000	-99,762230
1992,187500	-97,495178
2000,000000	-95,272667
2007,812500	-92,972511
2015,625000	-93,107140
2023,437500	-94,405952
2031,250000	-96,331940
2039,062500	-95,724945
2046,875000	-93,242737
2054,687500	-86,249809
2062,500000	-76,479065
2070,312500	-70,903557
2078,125000	-68,597641
2085,937500	-69,941132
2093,750000	-75,051239
2101,562500	-83,974823
2109,375000	-92,965729
2117,187500	-95,988464
2125,000000	-95,656380
2132,812500	-92,641998
2140,625000	-92,268608
2148,437500	-93,018356
2156,250000	-93,989143
2164,062500	-93,423882
2171,875000	-90,569862
2179,687500	-77,556023
2187,500000	-67,710907
2195,312500	-65,691177
2203,125000	-68,575790
2210,937500	-69,139549
2218,750000	-71,086647
2226,562500	-74,972740
2234,375000	-83,312866
2242,187500	-88,068359
2250,000000	-88,836617
2257,812500	-84,644257
2265,625000	-77,929741
2273,437500	-73,035728
2281,250000	-67,842896
2289,062500	-64,961205
2296,875000	-66,834518
2304,687500	-72,960991
2312,500000	-82,047417
2320,312500	-92,072861
2328,125000	-94,433868
2335,937500	-95,801476
2343,750000	-94,428818
2351,562500	-93,450684
2359,375000	-93,654991
2367,187500	-93,529671
2375,000000	-93,614326
2382,812500	-92,477081
2390,625000	-87,196022
2398,437500	-78,798851
2406,250000	-71,422379
2414,062500	-69,209564
2421,875000	-71,493477
2429,687500	-75,355164
2437,500000	-78,487175
2445,312500	-83,750107
2453,125000	-89,140625
2460,937500	-91,254730
2468,750000	-92,888695
2476,562500	-94,651947
2484,375000	-94,940979
2492,187500	-93,900185
2500,000000	-94,102486
2507,812500	-95,436623
2515,625000	-98,141335
2523,437500	-97,493195
2531,250000	-96,564278
2539,062500	-98,048668
2546,875000	-98,596848
2554,687500	-98,410797
2562,500000	-100,444450
2570,312500	-101,035423
2578,125000	-101,750008
2585,937500	-103,819771
2593,750000	-104,482010
2601,562500	-106,526337
2609,375000	-105,429306
2617,187500	-104,982285
2625,000000	-105,390305
2632,812500	-104,534668
2640,625000	-105,941116
2648,437500	-106,085991
2656,250000	-106,501877
2664,062500	-106,009521
2671,875000	-104,849747
2679,687500	-105,588272
2687,500000	-104,536171
2695,312500	-103,823395
2703,125000	-103,685371
2710,937500	-101,347572
2718,750000	-100,640762
2726,562500	-100,519974
2734,375000	-99,498550
2742,187500	-90,836929
2750,000000	-79,434799
2757,812500	-74,146935
2765,625000	-71,870918
2773,437500	-72,059929
2781,250000	-74,180664
2789,062500	-79,274086
2796,875000	-87,470734
2804,687500	-91,354309
2812,500000	-92,880997
2820,312500	-94,673370
2828,125000	-93,696808
2835,937500	-88,282013
2843,750000	-81,214615
2851,562500	-74,823837
2859,375000	-69,482407
2867,187500	-67,771118
2875,000000	-70,719086
2882,812500	-74,853516
2890,625000	-81,687859
2898,437500	-85,629189
2906,250000	-81,430450
2914,062500	-73,143318
2921,875000	-68,428673
2929,687500	-69,389061
2937,500000	-70,625031
2945,312500	-69,551102
2953,125000	-70,365036
2960,937500	-71,952263
2968,750000	-75,443527
2976,562500	-84,284126
2984,375000	-88,200783
2992,187500	-87,392845
3000,000000	-87,386467
3007,812500	-88,582039
3015,625000	-89,544327
3023,437500	-92,292229
3031,250000	-95,111763
3039,062500	-93,388748
3046,875000	-93,429604
3054,687500	-93,585213
3062,500000	-95,635506
3070,312500	-100,092712
3078,125000	-100,802963
3085,937500	-100,227623
3093,750000	-98,026443
3101,562500	-95,952957
3109,375000	-95,075630
3117,187500	-98,373238
3125,000000	-102,060364
3132,812500	-101,993439
3140,625000	-100,338120
3148,437500	-97,763443
3156,250000	-97,597847
3164,062500	-99,327255
3171,875000	-98,630341
3179,687500	-98,513763
3187,500000	-94,498718
3195,312500	-89,311440
3203,125000	-82,167397
3210,937500	-73,538788
3218,750000	-70,972549
3226,562500	-71,752441
3234,375000	-75,086540
3242,187500	-73,709373
3250,000000	-73,758339
3257,812500	-80,188644
3265,625000	-89,980423
3273,437500	-95,074959
3281,250000	-98,590523
3289,062500	-104,225525
3296,875000	-103,024559
3304,687500	-100,191696
3312,500000	-100,212967
3320,312500	-101,720345
3328,125000	-101,692863
3335,937500	-99,724541
3343,750000	-98,290611
3351,562500	-98,111229
3359,375000	-100,206970
3367,187500	-100,240646
3375,000000	-98,754700
3382,812500	-97,162750
3390,625000	-93,467613
3398,437500	-87,762909
3406,250000	-81,919220
3414,062500	-77,495316
3421,875000	-72,347656
3429,687500	-68,106949
3437,500000	-66,846107
3445,312500	-68,789665
3453,125000	-72,866882
3460,937500	-74,277451
3468,750000	-76,533035
3476,562500	-77,824059
3484,375000	-81,409050
3492,187500	-86,737831
3500,000000	-89,157898
3507,812500	-90,464531
3515,625000	-90,927528
3523,437500	-91,426735
3531,250000	-93,171814
3539,062500	-90,888710
3546,875000	-89,347702
3554,687500	-91,055679
3562,500000	-91,190636
3570,312500	-89,471390
3578,125000	-87,523033
3585,937500	-86,029442
3593,750000	-88,241592
3601,562500	-91,905190
3609,375000	-94,771515
3617,187500	-96,993111
3625,000000	-95,916321
3632,812500	-95,849693
3640,625000	-95,173065
3648,437500	-91,840179
3656,250000	-86,389198
3664,062500	-87,043045
3671,875000	-89,367157
3679,687500	-91,126617
3687,500000	-95,005730
3695,312500	-94,017647
3703,125000	-90,487312
3710,937500	-93,356644
3718,750000	-95,568336
3726,562500	-97,615097
3734,375000	-103,940025
3742,187500	-108,114990
3750,000000	-110,023460
3757,812500	-109,652618
3765,625000	-108,745636
3773,437500	-109,187248
3781,250000	-109,430779
3789,062500	-109,614471
3796,875000	-111,256050
3804,687500	-112,263504
3812,500000	-111,587852
3820,312500	-111,616852
3828,125000	-111,767082
3835,937500	-110,722565
3843,750000	-109,665077
3851,562500	-108,837875
3859,375000	-108,981651
3867,187500	-109,208923
3875,000000	-111,220947
3882,812500	-111,859238
3890,625000	-112,036087
3898,437500	-112,710938
3906,250000	-112,906029
3914,062500	-112,703003
3921,875000	-111,004547
3929,687500	-110,651268
3937,500000	-109,712463
3945,312500	-109,325897
3953,125000	-110,004219
3960,937500	-109,341133
3968,750000	-107,621635
3976,562500	-106,632393
3984,375000	-104,799431
3992,187500	-104,314629
