Frecuencia (Hz)	Nivel (dB)
7,812500	-103,573692
15,625000	-98,887978
23,437500	-103,160378
31,250000	-106,521851
39,062500	-99,284454
46,875000	-98,535904
54,687500	-104,836533
62,500000	-104,387146
70,312500	-105,711723
78,125000	-110,353371
85,937500	-111,753670
93,750000	-110,989059
101,562500	-109,894058
109,375000	-114,774979
117,187500	-114,984627
125,000000	-114,175835
132,812500	-112,971031
140,625000	-111,154045
148,437500	-109,268913
156,250000	-107,659760
164,062500	-106,446907
171,875000	-106,801796
179,687500	-106,953156
187,500000	-107,303085
195,312500	-107,886688
203,125000	-108,987312
210,937500	-110,111168
218,750000	-111,276711
226,562500	-109,709625
234,375000	-111,452347
242,187500	-112,850037
250,000000	-110,973358
257,812500	-110,377945
265,625000	-111,623161
273,437500	-111,389183
281,250000	-111,077576
289,062500	-107,767632
296,875000	-109,176666
304,687500	-112,456436
312,500000	-112,380058
320,312500	-112,499588
328,125000	-110,666115
335,937500	-107,857887
343,750000	-108,649879
351,562500	-103,432907
359,375000	-104,384186
367,187500	-108,472916
375,000000	-108,506905
382,812500	-108,870926
390,625000	-105,369797
398,437500	-102,534966
406,250000	-100,892563
414,062500	-97,199631
421,875000	-96,789909
429,687500	-98,428658
437,500000	-97,184464
445,312500	-95,594872
453,125000	-92,523354
460,937500	-90,246185
468,750000	-87,139389
476,562500	-81,781342
484,375000	-79,270065
492,187500	-77,380882
500,000000	-75,077835
507,812500	-72,017342
515,625000	-67,577881
523,437500	-62,621655
531,250000	-53,491661
539,062500	-39,973564
546,875000	-36,399574
554,687500	-42,351761
562,500000	-58,761024
570,312500	-68,810379
578,125000	-75,344048
585,937500	-77,121277
593,750000	-74,762657
601,562500	-72,747368
609,375000	-69,751366
617,187500	-66,192734
625,000000	-62,906269
632,812500	-49,618507
640,625000	-36,207817
648,437500	-34,842949
656,250000	-44,119400
664,062500	-59,570602
671,875000	-60,312515
679,687500	-51,885689
687,500000	-38,794460
695,312500	-36,672836
703,125000	-44,725887
710,937500	-62,951458
718,750000	-70,285568
726,562500	-69,935272
734,375000	-71,742943
742,187500	-70,575226
750,000000	-67,794983
757,812500	-64,704002
765,625000	-61,686752
773,437500	-56,341721
781,250000	-42,912094
789,062500	-38,955399
796,875000	-45,469868
804,687500	-62,198765
812,500000	-69,786140
820,312500	-73,872910
828,125000	-76,550652
835,937500	-78,431145
843,750000	-74,919403
851,562500	-74,660538
859,375000	-82,414085
867,187500	-89,503212
875,000000	-89,470566
882,812500	-88,887558
890,625000	-91,273056
898,437500	-92,459213
906,250000	-89,729752
914,062500	-88,224075
921,875000	-90,740280
929,687500	-92,986946
937,500000	-96,980347
945,312500	-97,441727
953,125000	-100,231804
960,937500	-100,407341
968,750000	-98,142990
976,562500	-95,907829
984,375000	-97,910912
992,187500	-99,921074
1000,000000	-101,131432
1007,812500	-101,096710
1015,625000	-102,377899
1023,437500	-104,828995
1031,250000	-102,665260
1039,062500	-100,305252
1046,875000	-103,994972
1054,687500	-107,804619
1062,500000	-105,896393
1070,312500	-102,938889
1078,125000	-100,693588
1085,937500	-93,401382
1093,750000	-92,772255
1101,562500	-97,281776
1109,375000	-103,542007
1117,187500	-106,170624
1125,000000	-109,145363
1132,812500	-113,414597
1140,625000	-114,883965
1148,437500	-113,594452
1156,250000	-109,757317
1164,062500	-107,813782
1171,875000	-113,964882
1179,687500	-117,817863
1187,500000	-118,188469
1195,312500	-117,628616
1203,125000	-117,211090
1210,937500	-116,036972
1218,750000	-112,429581
1226,562500	-108,611542
1234,375000	-112,327934
1242,187500	-114,799599
1250,000000	-111,085083
1257,812500	-107,432343
1265,625000	-103,353271
1273,437500	-99,979179
1281,250000	-90,504288
1289,062500	-81,802696
1296,875000	-80,858284
1304,687500	-87,785294
1312,500000	-99,288795
1320,312500	-102,768478
1328,125000	-105,731598
1335,937500	-107,886398
1343,750000	-108,825333
1351,562500	-106,638824
1359,375000	-104,185272
1367,187500	-102,773422
1375,000000	-95,103455
1382,812500	-86,511879
1390,625000	-83,604935
1398,437500	-88,576874
1406,250000	-102,845146
1414,062500	-105,407639
1421,875000	-108,793076
1429,687500	-110,753975
1437,500000	-113,787880
1445,312500	-114,316193
1453,125000	-116,446091
1460,937500	-117,001358
1468,750000	-117,192520
1476,562500	-116,064201
1484,375000	-118,595711
1492,187500	-117,959412
1500,000000	-116,098969
1507,812500	-114,744362
1515,625000	-114,315239
1523,437500	-114,117035
1531,250000	-111,959785
1539,062500	-109,186333
1546,875000	-107,344666
1554,687500	-104,292191
1562,500000	-98,740204
1570,312500	-91,067902
1578,125000	-89,266251
1585,937500	-95,139351
1593,750000	-101,807022
1601,562500	-104,464500
1609,375000	-101,980659
1617,187500	-90,697220
1625,000000	-82,003563
1632,812500	-76,400871
1640,625000	-71,291695
1648,437500	-73,229370
1656,250000	-80,419708
1664,062500	-84,543198
1671,875000	-89,032761
1679,687500	-96,532593
1687,500000	-103,437141
1695,312500	-105,975250
1703,125000	-106,811798
1710,937500	-106,262596
1718,750000	-109,853653
1726,562500	-114,641800
1734,375000	-117,539261
1742,187500	-117,029877
1750,000000	-116,269112
1757,812500	-116,127930
1765,625000	-115,347542
1773,437500	-114,033043
1781,250000	-114,603157
1789,062500	-115,179466
1796,875000	-115,903809
1804,687500	-115,700119
1812,500000	-115,411133
1820,312500	-115,843315
1828,125000	-115,338036
1835,937500	-115,276840
1843,750000	-115,447052
1851,562500	-114,941437
1859,375000	-112,919899
1867,187500	-109,430733
1875,000000	-107,607513
1882,812500	-107,441330
1890,625000	-107,273270
1898,437500	-106,085197
1906,250000	-104,864578
1914,062500	-102,115395
1921,875000	-90,658096
1929,687500	-82,751404
1937,500000	-82,564484
1945,312500	-85,911324
1953,125000	-92,459656
1960,937500	-100,780655
1968,750000	-102,847473
1976,562500	-104,491257
1984,375000	-104,403641
1992,187500	-105,120750
2000,000000	-104,627792
2007,812500	-103,506004
2015,625000	-102,602303
2023,437500	-102,342033
2031,250000	-103,492462
2039,062500	-105,605576
2046,875000	-105,813957
2054,687500	-102,318321
2062,500000	-97,139175
2070,312500	-88,818214
2078,125000	-84,294502
2085,937500	-84,182686
2093,750000	-88,973900
2101,562500	-100,746933
2109,375000	-102,549088
2117,187500	-102,959244
2125,000000	-103,619301
2132,812500	-104,514641
2140,625000	-102,732559
2148,437500	-101,636208
2156,250000	-100,769310
2164,062500	-96,020142
2171,875000	-90,439819
2179,687500	-87,914215
2187,500000	-84,925537
2195,312500	-84,300125
2203,125000	-87,658073
2210,937500	-95,415543
2218,750000	-102,001648
2226,562500	-100,878174
2234,375000	-101,606392
2242,187500	-104,192482
2250,000000	-103,634804
2257,812500	-103,464249
2265,625000	-103,646721
2273,437500	-103,402527
2281,250000	-103,262665
2289,062500	-104,649780
2296,875000	-106,352112
2304,687500	-105,912010
2312,500000	-105,951172
2320,312500	-106,754944
2328,125000	-106,930717
2335,937500	-105,338036
2343,750000	-101,023293
2351,562500	-92,737350
2359,375000	-87,147369
2367,187500	-84,318787
2375,000000	-86,942802
2382,812500	-96,588516
2390,625000	-102,952515
2398,437500	-105,407524
2406,250000	-106,992920
2414,062500	-108,447433
2421,875000	-109,354683
2429,687500	-110,415398
2437,500000	-110,584343
2445,312500	-111,275513
2453,125000	-112,676376
2460,937500	-114,004005
2468,750000	-115,002335
2476,562500	-114,396133
2484,375000	-113,236107
2492,187500	-113,042503
2500,000000	-112,077019
2507,812500	-112,237312
2515,625000	-114,006905
2523,437500	-115,174873
2531,250000	-116,114044
2539,062500	-116,794357
2546,875000	-117,278481
2554,687500	-117,436073
2562,500000	-116,715454
2570,312500	-116,881691
2578,125000	-115,719688
2585,937500	-114,144386
2593,750000	-114,653931
2601,562500	-115,783279
2609,375000	-117,155518
2617,187500	-118,025208
2625,000000	-118,127151
2632,812500	-117,635033
2640,625000	-117,715561
2648,437500	-117,167664
2656,250000	-116,825005
2664,062500	-116,636276
2671,875000	-116,240784
2679,687500	-116,621864
2687,500000	-116,880302
2695,312500	-117,136513
2703,125000	-117,492241
2710,937500	-116,642204
2718,750000	-115,866165
2726,562500	-114,193413
2734,375000	-112,567802
2742,187500	-112,353424
2750,000000	-110,918304
2757,812500	-108,765633
2765,625000	-101,627434
2773,437500	-97,902824
2781,250000	-97,779060
2789,062500	-102,715019
2796,875000	-113,243187
2804,687500	-116,302711
2812,500000	-116,355728
2820,312500	-116,809227
2828,125000	-116,114998
2835,937500	-116,056503
2843,750000	-116,007172
2851,562500	-116,600555
2859,375000	-116,217987
2867,187500	-116,329735
2875,000000	-116,530823
2882,812500	-116,195396
2890,625000	-115,653374
2898,437500	-115,540161
2906,250000	-115,048828
2914,062500	-114,449135
2921,875000	-112,994026
2929,687500	-112,738228
2937,500000	-111,833084
2945,312500	-112,040909
2953,125000	-113,143616
2960,937500	-112,546883
2968,750000	-112,019913
2976,562500	-111,396805
2984,375000	-110,764893
2992,187500	-112,314415
3000,000000	-113,307480
3007,812500	-113,213654
3015,625000	-111,776779
3023,437500	-111,883057
3031,250000	-112,227699
3039,062500	-110,687408
3046,875000	-109,591476
3054,687500	-109,809151
3062,500000	-109,860245
3070,312500	-108,629089
3078,125000	-107,337364
3085,937500	-107,629433
3093,750000	-107,072502
3101,562500	-107,445679
3109,375000	-108,827599
3117,187500	-106,621315
3125,000000	-105,524193
3132,812500	-99,897614
3140,625000	-93,444717
3148,437500	-90,259315
3156,250000	-89,979561
3164,062500	-92,609612
3171,875000	-98,437363
3179,687500	-103,520523
3187,500000	-104,179184
3195,312500	-104,517570
3203,125000	-102,766510
3210,937500	-97,420677
3218,750000	-93,982903
3226,562500	-94,197876
3234,375000	-95,387466
3242,187500	-97,082886
3250,000000	-96,248871
3257,812500	-92,419777
3265,625000	-89,170738
3273,437500	-86,675507
3281,250000	-84,424812
3289,062500	-84,576881
3296,875000	-88,321404
3304,687500	-92,776192
3312,500000	-97,676399
3320,312500	-95,949280
3328,125000	-95,528084
3335,937500	-96,138481
3343,750000	-96,531013
3351,562500	-96,337715
3359,375000	-96,343071
3367,187500	-96,244461
3375,000000	-96,410255
3382,812500	-97,155746
3390,625000	-97,397812
3398,437500	-97,732574
3406,250000	-97,362434
3414,062500	-98,064537
3421,875000	-98,408485
3429,687500	-98,253250
3437,500000	-97,295685
3445,312500	-93,152992
3453,125000	-89,982033
3460,937500	-89,400253
3468,750000	-90,862366
3476,562500	-90,360970
3484,375000	-91,948189
3492,187500	-99,321785
3500,000000	-102,845139
3507,812500	-103,009438
3515,625000	-103,996933
3523,437500	-105,232262
3531,250000	-105,247826
3539,062500	-105,739006
3546,875000	-106,284752
3554,687500	-107,126442
3562,500000	-107,595711
