Frecuencia (Hz)	Nivel (dB)
46,875000	-63,464115
93,750000	-62,202110
140,625000	-65,219116
187,500000	-65,775436
234,375000	-63,224415
281,250000	-70,426079
328,125000	-71,897392
375,000000	-73,332901
421,875000	-74,932175
468,750000	-74,733688
515,625000	-74,775246
562,500000	-76,311966
609,375000	-76,924492
656,250000	-77,164810
703,125000	-78,557167
750,000000	-79,175972
796,875000	-79,636444
843,750000	-79,799553
890,625000	-80,080765
937,500000	-80,205452
984,375000	-79,958702
1031,250000	-80,856682
1078,125000	-80,718582
1125,000000	-81,247742
1171,875000	-81,691132
1218,750000	-81,571175
1265,625000	-82,280838
1312,500000	-82,779121
1359,375000	-83,111328
1406,250000	-82,265556
1453,125000	-83,035332
1500,000000	-80,895744
1546,875000	-81,772964
1593,750000	-81,942726
1640,625000	-81,651329
1687,500000	-81,095093
1734,375000	-79,893379
1781,250000	-82,181068
1828,125000	-81,585022
1875,000000	-83,598412
1921,875000	-83,328918
1968,750000	-82,703033
2015,625000	-83,011841
2062,500000	-83,400024
2109,375000	-83,873245
2156,250000	-82,299324
2203,125000	-82,382309
2250,000000	-82,924782
2296,875000	-81,599815
2343,750000	-74,990799
2390,625000	-76,611366
2437,500000	-79,984253
2484,375000	-79,975319
2531,250000	-81,273697
2578,125000	-83,241592
2625,000000	-84,918365
2671,875000	-85,693634
2718,750000	-86,053787
2765,625000	-85,903954
2812,500000	-86,395218
2859,375000	-86,051353
2906,250000	-86,450706
2953,125000	-86,785477
3000,000000	-86,838249
3046,875000	-87,145660
3093,750000	-86,782227
3140,625000	-86,541466
3187,500000	-86,846207
3234,375000	-86,767601
3281,250000	-87,032921
3328,125000	-86,996216
3375,000000	-87,446487
3421,875000	-87,356865
3468,750000	-87,421478
3515,625000	-87,540329
3562,500000	-87,210762
3609,375000	-87,243729
3656,250000	-87,975136
3703,125000	-87,812904
3750,000000	-87,802887
3796,875000	-87,902931
3843,750000	-87,880920
3890,625000	-87,681602
3937,500000	-87,888161
3984,375000	-87,959534
4031,250000	-87,735321
4078,125000	-88,016266
4125,000000	-87,725311
4171,875000	-88,666847
4218,750000	-88,529358
4265,625000	-88,381355
4312,500000	-88,309349
4359,375000	-87,925484
4406,250000	-88,220673
4453,125000	-87,981438
4500,000000	-88,255196
4546,875000	-88,396011
4593,750000	-88,353798
4640,625000	-88,304855
4687,500000	-88,502914
4734,375000	-88,425217
4781,250000	-88,545944
4828,125000	-88,543091
4875,000000	-88,705482
4921,875000	-88,965691
4968,750000	-89,095993
5015,625000	-88,753159
5062,500000	-89,243675
5109,375000	-89,047318
5156,250000	-89,194809
5203,125000	-89,201248
5250,000000	-88,842354
5296,875000	-89,019302
5343,750000	-89,164757
5390,625000	-89,147766
5437,500000	-89,132904
5484,375000	-89,209229
5531,250000	-88,981911
5578,125000	-89,075645
5625,000000	-89,123177
5671,875000	-89,347504
5718,750000	-89,088402
5765,625000	-89,653427
5812,500000	-89,507896
5859,375000	-89,228630
5906,250000	-89,362717
5953,125000	-89,385727
6000,000000	-89,369652
6046,875000	-89,136955
6093,750000	-89,214058
6140,625000	-89,489929
6187,500000	-89,217110
6234,375000	-89,123215
6281,250000	-89,460320
6328,125000	-89,697151
6375,000000	-89,569283
6421,875000	-89,359085
6468,750000	-89,535858
6515,625000	-89,367294
6562,500000	-89,893318
6609,375000	-89,864922
6656,250000	-89,685570
6703,125000	-89,764404
6750,000000	-89,957466
6796,875000	-89,645226
6843,750000	-89,664520
6890,625000	-89,905258
6937,500000	-89,854126
6984,375000	-89,627327
7031,250000	-89,633179
7078,125000	-89,757858
7125,000000	-89,654861
7171,875000	-89,884964
7218,750000	-89,828629
7265,625000	-89,645973
7312,500000	-87,678825
7359,375000	-89,911263
7406,250000	-90,040886
7453,125000	-89,889130
7500,000000	-90,080330
7546,875000	-90,280602
7593,750000	-90,166740
7640,625000	-89,966728
7687,500000	-89,893280
7734,375000	-90,152451
7781,250000	-90,193916
7828,125000	-90,200027
7875,000000	-89,891319
7921,875000	-90,312241
7968,750000	-90,243034
8015,625000	-90,043808
8062,500000	-90,520432
8109,375000	-90,522804
8156,250000	-90,327736
8203,125000	-89,991508
8250,000000	-90,553337
8296,875000	-90,595688
8343,750000	-90,546783
8390,625000	-90,437431
8437,500000	-90,563263
8484,375000	-90,467224
8531,250000	-90,307663
8578,125000	-90,533844
8625,000000	-90,459404
8671,875000	-90,444878
8718,750000	-90,806572
8765,625000	-90,587135
8812,500000	-90,756561
8859,375000	-90,886200
8906,250000	-90,871231
8953,125000	-90,860619
9000,000000	-90,560837
9046,875000	-90,490974
9093,750000	-90,892273
9140,625000	-91,041794
9187,500000	-90,667366
9234,375000	-90,954254
9281,250000	-90,671791
9328,125000	-90,679939
9375,000000	-90,700211
9421,875000	-90,733879
9468,750000	-90,521431
9515,625000	-91,051773
9562,500000	-91,165070
9609,375000	-90,760094
9656,250000	-90,534729
9703,125000	-91,027382
9750,000000	-90,921989
9796,875000	-90,957092
9843,750000	-90,910980
9890,625000	-91,138832
9937,500000	-91,196144
