Frecuencia (Hz)	Nivel (dB)
46,875000	-45,251499
93,750000	-44,914646
140,625000	-44,655788
187,500000	-44,155491
234,375000	-43,429382
281,250000	-42,936226
328,125000	-41,932457
375,000000	-40,499847
421,875000	-38,483479
468,750000	-34,961075
515,625000	-23,452953
562,500000	-29,114502
609,375000	-24,447376
656,250000	-21,667381
703,125000	-19,183533
750,000000	-25,140425
796,875000	-20,644703
843,750000	-30,951456
890,625000	-18,916042
937,500000	-27,288527
984,375000	-24,322441
1031,250000	-27,034630
1078,125000	-33,572422
1125,000000	-37,374615
1171,875000	-38,395061
1218,750000	-39,230766
1265,625000	-42,148815
1312,500000	-39,630146
1359,375000	-38,326313
1406,250000	-41,373589
1453,125000	-39,280834
1500,000000	-44,709381
1546,875000	-43,429150
1593,750000	-30,338194
1640,625000	-44,294422
1687,500000	-44,329414
1734,375000	-41,081291
1781,250000	-31,657202
1828,125000	-35,423981
1875,000000	-40,883121
1921,875000	-40,931847
1968,750000	-34,447643
2015,625000	-27,525097
2062,500000	-40,373108
2109,375000	-37,585041
2156,250000	-39,905716
2203,125000	-46,082058
2250,000000	-47,537113
2296,875000	-48,195599
2343,750000	-44,268726
2390,625000	-29,952768
2437,500000	-44,683826
2484,375000	-49,105724
2531,250000	-50,106129
2578,125000	-49,234970
2625,000000	-43,211597
2671,875000	-40,189522
2718,750000	-44,757202
2765,625000	-48,592365
2812,500000	-46,478970
2859,375000	-35,936363
2906,250000	-41,224136
2953,125000	-44,192371
3000,000000	-34,950302
3046,875000	-40,391922
3093,750000	-49,683975
3140,625000	-51,604431
3187,500000	-47,363632
3234,375000	-52,978111
3281,250000	-52,768810
3328,125000	-44,888626
3375,000000	-47,778702
3421,875000	-53,995552
3468,750000	-55,461712
3515,625000	-55,891956
3562,500000	-54,526752
3609,375000	-52,875290
3656,250000	-56,475307
3703,125000	-55,172054
3750,000000	-57,251972
3796,875000	-57,506588
3843,750000	-57,472179
3890,625000	-56,814938
3937,500000	-54,269005
3984,375000	-46,631519
4031,250000	-47,482323
4078,125000	-55,348091
4125,000000	-57,937000
4171,875000	-58,325497
4218,750000	-57,663673
4265,625000	-58,414433
4312,500000	-54,419582
4359,375000	-58,981182
4406,250000	-59,111851
4453,125000	-57,663101
4500,000000	-49,111279
4546,875000	-54,242363
4593,750000	-59,161263
4640,625000	-59,579411
4687,500000	-57,585434
4734,375000	-59,270519
4781,250000	-55,088943
4828,125000	-58,267467
4875,000000	-59,929840
4921,875000	-59,428558
4968,750000	-56,558407
5015,625000	-52,140194
5062,500000	-54,267143
5109,375000	-59,064919
5156,250000	-59,857597
5203,125000	-60,500256
5250,000000	-60,458485
5296,875000	-57,771626
5343,750000	-53,147247
5390,625000	-51,251629
5437,500000	-52,431004
5484,375000	-59,020962
5531,250000	-59,346752
5578,125000	-55,541996
5625,000000	-58,433163
5671,875000	-59,645901
5718,750000	-56,482792
5765,625000	-52,449059
5812,500000	-59,614513
5859,375000	-60,775005
5906,250000	-60,988319
5953,125000	-59,858627
6000,000000	-56,867798
6046,875000	-56,564724
6093,750000	-59,796501
6140,625000	-61,700809
6187,500000	-62,037987
6234,375000	-61,452450
6281,250000	-59,676525
6328,125000	-58,898884
