Frecuencia (Hz)	Nivel (dB)
43,066406	-89,188599
86,132812	-83,904747
129,199219	-81,624924
172,265625	-81,235901
215,332031	-81,767654
258,398438	-82,900734
301,464844	-85,641998
344,531250	-88,523888
387,597656	-89,526840
430,664062	-89,821510
473,730469	-87,505341
516,796875	-86,765404
559,863281	-85,819244
602,929688	-83,991280
645,996094	-82,004669
689,062500	-78,911919
732,128906	-74,766289
775,195312	-70,085098
818,261719	-63,627071
861,328125	-54,339451
904,394531	-34,399178
947,460938	-23,393852
990,527344	-24,834538
1033,593750	-40,680275
1076,660156	-56,739410
1119,726562	-65,872673
1162,792969	-72,271332
1205,859375	-76,788620
1248,925781	-79,576797
1291,992188	-82,596504
1335,058594	-83,889114
1378,125000	-84,005127
1421,191406	-85,440010
1464,257812	-86,418350
1507,324219	-87,785843
1550,390625	-88,575623
1593,457031	-84,286324
1636,523438	-76,815666
1679,589844	-76,812508
1722,656250	-75,866928
1765,722656	-73,308456
1808,789062	-70,590164
1851,855469	-61,941456
1894,921875	-45,792175
1937,988281	-42,570980
1981,054688	-49,405869
2024,121094	-55,980766
2067,187500	-59,774708
2110,253906	-64,680458
2153,320312	-71,064011
2196,386719	-77,261108
2239,453125	-79,549294
2282,519531	-79,041527
2325,585938	-77,609856
2368,652344	-73,715736
2411,718750	-70,616547
2454,785156	-72,284843
2497,851562	-76,077042
2540,917969	-78,325752
2583,984375	-79,154007
2627,050781	-78,487579
2670,117188	-77,639580
2713,183594	-76,461960
2756,250000	-74,247925
2799,316406	-67,767799
2842,382812	-48,714100
2885,449219	-40,312447
2928,515625	-41,941132
2971,582031	-54,168858
3014,648438	-60,328312
3057,714844	-64,408745
3100,781250	-68,687424
3143,847656	-72,229492
3186,914062	-74,862740
3229,980469	-76,459961
3273,046875	-77,923096
3316,113281	-79,299576
3359,179688	-78,323074
3402,246094	-77,735336
3445,312500	-75,078545
3488,378906	-71,247429
3531,445312	-69,196022
3574,511719	-70,816818
3617,578125	-72,937828
3660,644531	-73,236450
3703,710938	-72,015411
3746,777344	-70,519211
3789,843750	-61,962685
3832,910156	-51,677479
3875,976562	-49,425606
3919,042969	-56,367065
3962,109375	-70,240814
4005,175781	-72,082359
4048,242188	-71,910545
4091,308594	-72,363724
4134,375000	-74,880745
4177,441406	-78,920319
4220,507812	-80,704544
4263,574219	-81,028931
4306,640625	-81,073578
4349,707031	-81,216637
4392,773438	-82,325920
4435,839844	-83,916794
4478,906250	-83,161819
4521,972656	-82,126656
4565,039062	-79,747787
4608,105469	-76,030052
4651,171875	-73,427307
4694,238281	-71,914619
4737,304688	-65,689484
4780,371094	-57,010143
4823,437500	-55,450428
4866,503906	-60,219826
4909,570312	-71,357460
4952,636719	-78,212738
4995,703125	-80,869804
5038,769531	-82,324348
5081,835938	-82,755989
5124,902344	-81,053917
5167,968750	-80,218437
5211,035156	-81,340965
5254,101562	-83,477829
5297,167969	-86,766922
5340,234375	-88,750946
5383,300781	-90,629585
5426,367188	-91,325432
5469,433594	-91,657738
5512,500000	-90,803886
5555,566406	-89,630356
5598,632812	-88,461098
5641,699219	-86,601326
5684,765625	-83,140984
5727,832031	-76,799858
5770,898438	-71,590805
5813,964844	-71,606155
5857,031250	-76,414207
5900,097656	-88,234055
5943,164062	-92,507576
5986,230469	-93,580360
6029,296875	-93,852654
6072,363281	-94,076553
6115,429688	-94,591667
6158,496094	-94,936310
6201,562500	-94,665108
6244,628906	-95,091446
6287,695312	-95,630119
6330,761719	-96,654869
6373,828125	-98,176208
6416,894531	-98,886864
6459,960938	-98,558456
6503,027344	-98,744751
6546,093750	-99,252945
6589,160156	-99,951965
6632,226562	-98,833931
6675,292969	-92,855980
6718,359375	-83,514603
6761,425781	-78,284164
6804,492188	-78,340042
6847,558594	-84,409843
6890,625000	-92,465416
6933,691406	-95,538010
6976,757812	-97,285950
7019,824219	-98,799858
7062,890625	-98,969604
7105,957031	-99,766335
7149,023438	-100,443771
7192,089844	-100,126266
7235,156250	-100,549774
7278,222656	-100,460037
7321,289062	-100,663925
7364,355469	-100,680489
7407,421875	-100,579880
7450,488281	-99,753029
7493,554688	-99,509094
7536,621094	-99,478180
7579,687500	-98,826820
7622,753906	-97,279289
7665,820312	-90,550682
7708,886719	-87,936874
7751,953125	-88,295395
7795,019531	-91,804962
7838,085938	-98,590317
7881,152344	-101,311707
7924,218750	-102,152031
7967,285156	-101,981087
8010,351562	-101,581078
8053,417969	-101,309723
8096,484375	-101,396683
8139,550781	-102,379097
8182,617188	-102,668861
8225,683594	-102,849335
8268,750000	-103,725014
8311,816406	-104,740318
8354,882812	-104,793816
8397,949219	-104,221298
8441,015625	-104,210564
8484,082031	-104,129494
8527,148438	-102,901810
8570,214844	-100,700439
8613,281250	-96,068459
8656,347656	-93,092392
8699,414062	-92,910973
8742,480469	-94,623199
8785,546875	-100,779144
8828,613281	-105,097748
8871,679688	-106,305466
8914,746094	-107,777939
8957,812500	-108,803963
9000,878906	-109,167503
9043,945312	-109,672173
9087,011719	-109,184395
9130,078125	-109,652939
9173,144531	-110,272018
