Frecuencia (Hz)	Nivel (dB)
43,066406	-53,160271
86,132813	-55,501217
129,199219	-62,850216
172,265625	-65,771889
215,332031	-67,358810
258,398438	-68,495949
301,464844	-68,828186
344,531250	-66,612801
387,597656	-61,514496
430,664063	-49,308620
473,730469	-20,934744
516,796875	-16,138376
559,863281	-23,359016
602,929688	-53,196304
645,996094	-63,104122
689,062500	-67,825821
732,128906	-71,871407
775,195313	-72,493919
818,261719	-72,784988
861,328125	-71,580368
904,394531	-67,792900
947,460938	-58,322647
990,527344	-37,751659
1033,593750	-33,907234
1076,660156	-41,741730
1119,726563	-57,752838
1162,792969	-64,450653
1205,859375	-68,714127
1248,925781	-72,328445
1291,992188	-73,537285
1335,058594	-73,415955
1378,125000	-72,477837
1421,191406	-69,616989
1464,257813	-62,367016
1507,324219	-47,266525
1550,390625	-44,543076
1593,457031	-50,908516
1636,523438	-54,342278
1679,589844	-59,783428
1722,656250	-67,081535
1765,722656	-71,688766
1808,789063	-73,728691
1851,855469	-74,179977
1894,921875	-73,470154
1937,988281	-71,280022
1981,054688	-63,931595
2024,121094	-50,716015
2067,187500	-48,846722
2110,253906	-55,791050
2153,320313	-56,317379
2196,386719	-58,376747
2239,453125	-64,974518
2282,519531	-71,237442
2325,585938	-74,188202
2368,652344	-75,695427
2411,718750	-75,830605
2454,785156	-74,256577
2497,851563	-70,962883
2540,917969	-63,754971
2583,984375	-62,993752
2627,050781	-66,518837
2670,117188	-65,587372
2713,183594	-63,003990
2756,250000	-62,921108
2799,316406	-67,045906
2842,382813	-72,111969
2885,449219	-75,024193
2928,515625	-75,745430
2971,582031	-75,500816
3014,648438	-71,980110
3057,714844	-64,752655
3100,781250	-64,388962
3143,847656	-69,864090
3186,914063	-70,294754
3229,980469	-69,357185
3273,046875	-66,590668
3316,113281	-65,820549
3359,179688	-69,518318
3402,246094	-74,074684
3445,312500	-77,232018
3488,378906	-77,517189
3531,445313	-75,922989
3574,511719	-74,391716
3617,578125	-74,976402
3660,644531	-75,454254
3703,710938	-75,556122
3746,777344	-73,881187
3789,843750	-71,622307
3832,910156	-69,591522
3875,976563	-69,961121
3919,042969	-73,375038
3962,109375	-77,059479
4005,175781	-78,446754
4048,242188	-78,580101
4091,308594	-78,519020
4134,375000	-78,948013
4177,441406	-80,157028
4220,507813	-80,524918
4263,574219	-80,671402
4306,640625	-79,795700
4349,707031	-77,766266
4392,773438	-75,802933
4435,839844	-75,376114
4478,906250	-77,509697
4521,972656	-80,793137
4565,039063	-82,262444
4608,105469	-82,686317
4651,171875	-83,469063
4694,238281	-85,258415
4737,304688	-86,996040
4780,371094	-86,822830
4823,437500	-86,591187
4866,503906	-86,321312
4909,570313	-84,907776
4952,636719	-83,433937
4995,703125	-83,460327
5038,769531	-83,815071
5081,835938	-84,787788
5124,902344	-85,696693
5167,968750	-86,514328
5211,035156	-88,307457
5254,101563	-88,532829
5297,167969	-88,617340
5340,234375	-88,076508
5383,300781	-87,702675
5426,367188	-86,788307
5469,433594	-85,513756
5512,500000	-83,424156
5555,566406	-81,660774
5598,632813	-81,562851
5641,699219	-82,779800
5684,765625	-84,927681
5727,832031	-87,310295
5770,898438	-88,081459
5813,964844	-88,493820
5857,031250	-89,239700
5900,097656	-89,590111
5943,164063	-89,511940
5986,230469	-88,750603
6029,296875	-88,086472
6072,363281	-87,175987
6115,429688	-85,587570
6158,496094	-84,054703
6201,562500	-85,601021
6244,628906	-88,488228
6287,695313	-90,393913
6330,761719	-90,993149
6373,828125	-91,412369
6416,894531	-92,060280
6459,960938	-92,024117
6503,027344	-91,737991
6546,093750	-91,626152
6589,160156	-91,230522
6632,226563	-90,779678
6675,292969	-90,018288
6718,359375	-89,871155
6761,425781	-89,719414
6804,492188	-89,599922
6847,558594	-90,316666
6890,625000	-90,918274
6933,691406	-91,422638
6976,757813	-91,831711
7019,824219	-91,629692
7062,890625	-91,752647
7105,957031	-92,102600
7149,023438	-91,494675
7192,089844	-90,383507
7235,156250	-90,991821
7278,222656	-92,370522
7321,289063	-92,802940
7364,355469	-93,965660
7407,421875	-94,536491
7450,488281	-94,341858
7493,554688	-94,102417
7536,621094	-94,885071
7579,687500	-94,756386
7622,753906	-94,504089
7665,820313	-94,947212
7708,886719	-95,405861
7751,953125	-95,214111
7795,019531	-94,665504
7838,085938	-93,909973
7881,152344	-94,281456
7924,218750	-94,581795
7967,285156	-94,706215
8010,351563	-94,372322
8053,417969	-94,677238
8096,484375	-94,870575
8139,550781	-94,669098
8182,617188	-94,647812
8225,683594	-94,356163
8268,750000	-94,083351
8311,816406	-93,548187
8354,882813	-93,345467
8397,949219	-93,389778
8441,015625	-93,278503
8484,082031	-92,926491
8527,148438	-93,348610
8570,214844	-92,956978
8613,281250	-93,252800
8656,347656	-93,412498
8699,414063	-93,497360
8742,480469	-93,862511
8785,546875	-93,689766
8828,613281	-93,479767
8871,679688	-93,422905
8914,746094	-93,254791
8957,812500	-92,957443
9000,878906	-93,102020
9043,945313	-93,064354
9087,011719	-92,463417
9130,078125	-92,230690
9173,144531	-92,756546
9216,210938	-93,115387
9259,277344	-93,314896
9302,343750	-93,512009
9345,410156	-93,130714
9388,476563	-93,027763
9431,542969	-93,177345
9474,609375	-93,630394
9517,675781	-93,720726
9560,742188	-93,791611
9603,808594	-93,568604
9646,875000	-93,377663
9689,941406	-93,288689
9733,007813	-94,163429
9776,074219	-94,799553
9819,140625	-94,991661
9862,207031	-95,000854
9905,273438	-94,993767
9948,339844	-95,550934
9991,406250	-95,770576
10034,472656	-95,945755
10077,539063	-96,630585
10120,605469	-97,528702
10163,671875	-97,088959
10206,738281	-96,990707
10249,804688	-98,530464
10292,871094	-99,643753
10335,937500	-100,913544
10379,003906	-100,796364
10422,070313	-100,527962
10465,136719	-100,889229
10508,203125	-100,342506
10551,269531	-99,173561
10594,335938	-98,591721
10637,402344	-98,677803
10680,468750	-98,510109
10723,535156	-98,118896
10766,601563	-97,955620
10809,667969	-97,569946
10852,734375	-97,459030
10895,800781	-96,648476
10938,867188	-96,898483
10981,933594	-97,089462
11025,000000	-96,713722
11068,066406	-96,265175
11111,132813	-95,904137
11154,199219	-95,922035
11197,265625	-95,947861
11240,332031	-96,395882
11283,398438	-96,473534
11326,464844	-96,472763
11369,531250	-96,340134
11412,597656	-96,285683
11455,664063	-95,975502
11498,730469	-96,373421
11541,796875	-96,484016
11584,863281	-96,103043
11627,929688	-96,034348
11670,996094	-95,840263
11714,062500	-96,165611
11757,128906	-95,849770
11800,195313	-95,807564
11843,261719	-96,420387
11886,328125	-96,494011
11929,394531	-96,316971
11972,460938	-95,851334
12015,527344	-95,750618
12058,593750	-95,703819
12101,660156	-95,555229
12144,726563	-95,742851
12187,792969	-95,390587
12230,859375	-95,717262
12273,925781	-95,848846
12316,992188	-95,633957
12360,058594	-95,535622
12403,125000	-95,861404
12446,191406	-96,175537
12489,257813	-95,695648
12532,324219	-95,475769
12575,390625	-95,435417
12618,457031	-95,286591
12661,523438	-95,552887
12704,589844	-95,742195
12747,656250	-96,045105
12790,722656	-96,198402
12833,789063	-96,400864
12876,855469	-96,099037
12919,921875	-96,181007
12962,988281	-96,244141
13006,054688	-96,476845
13049,121094	-96,586143
13092,187500	-96,561249
13135,253906	-96,394180
13178,320313	-96,774811
13221,386719	-97,390854
13264,453125	-96,655540
13307,519531	-96,566193
13350,585938	-96,748123
13393,652344	-97,329712
13436,718750	-97,107445
13479,785156	-96,931526
13522,851563	-97,082382
13565,917969	-96,636299
13608,984375	-96,744225
13652,050781	-97,350273
13695,117188	-97,195000
13738,183594	-97,222260
13781,250000	-97,904381
13824,316406	-97,612221
13867,382813	-97,711975
13910,449219	-97,648186
13953,515625	-97,737228
13996,582031	-97,649757
14039,648438	-97,239838
14082,714844	-97,735863
14125,781250	-97,678131
14168,847656	-97,417686
14211,914063	-97,659767
14254,980469	-98,204628
14298,046875	-97,540382
14341,113281	-97,035683
14384,179688	-97,309029
14427,246094	-97,794777
