Frecuencia (Hz)	Nivel (dB)
43,066406	-53,540649
86,132813	-56,205463
129,199219	-63,962353
172,265625	-66,278259
215,332031	-67,788315
258,398438	-69,621666
301,464844	-70,239624
344,531250	-70,434082
387,597656	-72,059296
430,664063	-74,078316
473,730469	-74,560776
516,796875	-73,172325
559,863281	-69,541939
602,929688	-64,629494
645,996094	-56,113106
689,062500	-40,305103
732,128906	-25,143560
775,195313	-24,348520
818,261719	-36,732613
861,328125	-55,080532
904,394531	-64,302834
947,460938	-69,827545
990,527344	-72,994720
1033,593750	-76,316818
1076,660156	-77,046448
1119,726563	-76,732399
1162,792969	-76,291069
1205,859375	-74,612259
1248,925781	-71,657806
1291,992188	-67,425148
1335,058594	-63,232410
1378,125000	-58,643764
1421,191406	-52,261547
1464,257813	-35,024849
1507,324219	-28,418680
1550,390625	-33,090855
1593,457031	-51,315563
1636,523438	-58,901859
1679,589844	-64,033974
1722,656250	-66,211136
1765,722656	-68,198463
1808,789063	-70,040108
1851,855469	-70,339905
1894,921875	-68,558975
1937,988281	-66,498924
1981,054688	-68,023544
2024,121094	-73,536934
2067,187500	-73,734276
2110,253906	-72,467545
2153,320313	-67,442657
2196,386719	-55,981964
2239,453125	-41,707729
2282,519531	-39,773136
2325,585938	-47,524384
2368,652344	-51,728378
2411,718750	-56,144218
2454,785156	-62,805874
2497,851563	-66,593834
2540,917969	-70,966248
2583,984375	-72,665138
2627,050781	-73,434464
2670,117188	-72,746986
2713,183594	-70,084030
2756,250000	-65,426826
2799,316406	-61,493298
2842,382813	-60,659611
2885,449219	-62,274853
2928,515625	-62,651360
2971,582031	-58,299652
3014,648438	-52,718784
3057,714844	-55,530491
3100,781250	-65,574608
3143,847656	-68,668076
3186,914063	-72,310486
3229,980469	-73,936775
3273,046875	-74,544998
3316,113281	-74,367714
3359,179688	-72,017685
3402,246094	-69,574371
3445,312500	-67,239502
3488,378906	-66,032524
3531,445313	-67,369392
3574,511719	-69,355682
3617,578125	-71,079712
3660,644531	-70,198311
3703,710938	-66,105545
3746,777344	-56,209400
3789,843750	-53,594883
3832,910156	-59,662628
3875,976563	-65,037613
3919,042969	-64,853935
3962,109375	-64,615700
4005,175781	-65,034714
4048,242188	-68,065880
4091,308594	-72,530548
4134,375000	-74,559822
4177,441406	-75,760429
4220,507813	-77,292404
4263,574219	-77,841362
4306,640625	-76,664589
4349,707031	-74,117912
4392,773438	-71,722549
4435,839844	-67,202057
4478,906250	-60,149822
4521,972656	-55,495083
4565,039063	-57,898571
4608,105469	-66,801903
4651,171875	-74,039322
4694,238281	-78,117065
4737,304688	-81,680214
4780,371094	-83,502228
4823,437500	-84,206284
4866,503906	-85,931709
4909,570313	-86,472351
4952,636719	-85,239311
4995,703125	-82,817009
5038,769531	-80,186302
5081,835938	-77,215195
5124,902344	-74,587837
5167,968750	-72,056557
5211,035156	-71,905426
5254,101563	-71,118042
5297,167969	-70,640968
5340,234375	-73,563011
5383,300781	-77,100746
5426,367188	-78,933624
5469,433594	-80,033516
5512,500000	-80,874153
5555,566406	-81,046539
5598,632813	-80,399704
5641,699219	-79,179031
5684,765625	-79,623772
5727,832031	-80,773819
5770,898438	-83,355949
5813,964844	-84,566460
5857,031250	-84,808533
5900,097656	-84,972572
5943,164063	-83,916245
5986,230469	-81,696381
6029,296875	-78,738503
6072,363281	-78,408859
6115,429688	-79,067406
6158,496094	-78,711143
6201,562500	-78,485794
6244,628906	-79,510376
6287,695313	-81,249580
6330,761719	-82,991898
6373,828125	-85,118019
6416,894531	-87,270248
6459,960938	-89,008629
6503,027344	-88,371956
6546,093750	-88,178246
6589,160156	-87,043961
6632,226563	-86,873497
6675,292969	-85,421745
6718,359375	-82,545677
6761,425781	-78,285995
6804,492188	-75,830093
6847,558594	-78,296036
6890,625000	-82,566124
6933,691406	-84,674286
6976,757813	-86,075356
7019,824219	-87,374939
7062,890625	-88,601074
7105,957031	-88,685043
7149,023438	-88,226105
7192,089844	-87,624138
7235,156250	-87,057808
7278,222656	-86,181831
7321,289063	-83,705124
7364,355469	-81,591850
7407,421875	-81,954704
7450,488281	-82,020515
7493,554688	-82,996017
7536,621094	-82,379074
7579,687500	-82,282860
7622,753906	-85,798477
7665,820313	-88,933235
7708,886719	-90,023460
7751,953125	-91,504547
7795,019531	-91,150856
7838,085938	-90,529953
7881,152344	-90,745789
7924,218750	-90,305290
7967,285156	-89,232338
8010,351563	-88,502098
8053,417969	-88,131104
8096,484375	-88,761864
8139,550781	-89,288635
8182,617188	-89,120995
8225,683594	-87,776932
8268,750000	-86,831200
8311,816406	-84,813904
8354,882813	-84,717392
8397,949219	-85,224823
8441,015625	-84,881889
8484,082031	-84,146431
8527,148438	-83,867546
8570,214844	-83,812683
8613,281250	-85,015289
8656,347656	-86,719940
8699,414063	-86,780128
8742,480469	-87,585320
8785,546875	-88,783218
8828,613281	-89,174431
8871,679688	-88,300514
8914,746094	-87,958328
8957,812500	-87,642738
9000,878906	-85,949379
9043,945313	-83,477692
9087,011719	-81,778954
9130,078125	-81,568062
9173,144531	-82,273979
9216,210938	-83,388741
9259,277344	-85,192711
9302,343750	-86,586395
9345,410156	-87,883728
9388,476563	-89,257523
9431,542969	-90,086990
9474,609375	-89,996948
9517,675781	-89,877312
9560,742188	-89,045158
9603,808594	-87,713478
9646,875000	-86,311531
9689,941406	-85,146317
9733,007813	-85,238518
9776,074219	-85,330147
9819,140625	-86,411964
9862,207031	-88,811516
9905,273438	-91,116791
9948,339844	-92,023254
9991,406250	-92,815178
10034,472656	-93,528015
10077,539063	-93,890732
10120,605469	-94,349152
10163,671875	-93,993637
10206,738281	-92,822731
10249,804688	-91,925110
10292,871094	-91,219467
10335,937500	-90,877083
10379,003906	-91,409767
10422,070313	-92,461746
10465,136719	-92,707336
10508,203125	-92,776627
10551,269531	-91,743668
10594,335938	-90,704201
10637,402344	-90,285568
10680,468750	-89,473518
10723,535156	-88,613312
10766,601563	-86,872589
10809,667969	-85,853645
10852,734375	-85,624374
10895,800781	-86,905914
10938,867188	-88,460213
10981,933594	-89,463211
11025,000000	-90,390953
11068,066406	-90,814110
11111,132813	-91,036369
11154,199219	-91,153793
11197,265625	-89,980034
11240,332031	-88,923935
11283,398438	-88,352058
11326,464844	-86,915718
11369,531250	-85,754448
11412,597656	-84,782372
11455,664063	-85,230392
11498,730469	-86,567268
11541,796875	-88,508057
11584,863281	-90,449661
11627,929688	-91,929893
11670,996094	-93,196999
11714,062500	-93,623650
11757,128906	-93,128891
11800,195313	-93,410110
11843,261719	-93,569855
11886,328125	-92,244087
11929,394531	-91,196182
11972,460938	-89,584702
12015,527344	-88,273018
12058,593750	-87,725288
12101,660156	-87,772339
12144,726563	-89,045059
12187,792969	-90,704018
12230,859375	-92,685669
12273,925781	-93,513222
12316,992188	-94,233650
12360,058594	-94,909332
12403,125000	-94,799072
12446,191406	-94,346436
12489,257813	-93,516754
12532,324219	-93,088791
12575,390625	-93,118523
12618,457031	-93,233521
12661,523438	-93,497223
12704,589844	-93,843323
12747,656250	-93,863594
12790,722656	-93,913063
12833,789063	-93,831139
12876,855469	-93,989052
12919,921875	-93,995522
12962,988281	-93,405594
13006,054688	-92,781410
13049,121094	-92,240952
13092,187500	-92,860550
13135,253906	-94,378830
13178,320313	-94,882500
13221,386719	-95,302910
13264,453125	-95,948593
13307,519531	-95,917625
13350,585938	-96,388145
13393,652344	-96,298431
13436,718750	-95,936623
13479,785156	-94,854317
13522,851563	-94,214058
13565,917969	-92,923157
13608,984375	-90,801979
13652,050781	-89,172073
13695,117188	-87,278847
13738,183594	-87,418968
13781,250000	-89,910477
13824,316406	-91,699348
13867,382813	-92,739197
13910,449219	-94,082527
13953,515625	-95,446152
13996,582031	-95,770088
14039,648438	-96,335098
14082,714844	-97,363884
14125,781250	-97,797882
14168,847656	-97,442406
14211,914063	-96,956177
14254,980469	-97,752449
14298,046875	-97,146507
14341,113281	-94,854660
14384,179688	-92,797325
14427,246094	-91,359444
14470,312500	-90,634148
14513,378906	-91,009056
14556,445313	-91,786026
14599,511719	-92,466003
14642,578125	-92,715546
14685,644531	-93,981812
14728,710938	-94,205292
14771,777344	-95,145660
14814,843750	-96,199867
14857,910156	-96,510231
14900,976563	-97,272339
14944,042969	-97,085823
14987,109375	-96,816757
15030,175781	-96,721413
15073,242188	-95,946556
15116,308594	-94,449409
15159,375000	-92,698288
15202,441406	-91,263390
15245,507813	-90,294334
15288,574219	-89,817833
15331,640625	-88,886658
15374,707031	-87,744133
15417,773438	-87,407616
15460,839844	-87,638435
15503,906250	-87,351967
15546,972656	-88,265930
15590,039063	-90,532120
15633,105469	-91,136902
15676,171875	-91,799896
15719,238281	-92,249550
15762,304688	-91,830292
15805,371094	-90,783218
15848,437500	-90,058624
15891,503906	-89,554138
15934,570313	-89,049515
15977,636719	-88,912842
16020,703125	-89,723381
16063,769531	-90,966911
16106,835938	-91,694229
16149,902344	-92,931183
16192,968750	-94,048256
16236,035156	-95,420166
16279,101563	-95,909752
16322,167969	-96,259674
16365,234375	-96,558380
16408,300781	-96,068192
16451,367188	-96,114105
16494,433594	-96,493790
16537,500000	-96,624619
16580,566406	-96,781273
16623,632813	-97,359787
16666,699219	-97,508110
16709,765625	-97,647697
16752,832031	-98,593651
16795,898438	-99,044426
16838,964844	-99,402397
16882,031250	-99,999359
16925,097656	-100,549210
16968,164063	-100,625237
17011,230469	-101,060219
17054,296875	-101,090446
17097,363281	-101,369896
17140,429688	-101,136810
17183,496094	-100,574722
17226,562500	-99,912125
17269,628906	-98,916145
17312,695313	-98,007355
17355,761719	-97,359993
17398,828125	-97,488327
17441,894531	-97,654861
17484,960938	-97,737579
17528,027344	-98,577797
17571,093750	-99,515862
17614,160156	-100,450279
17657,226563	-101,108688
17700,292969	-100,899254
17743,359375	-101,392639
17786,425781	-102,339706
17829,492188	-102,565269
17872,558594	-102,846390
17915,625000	-102,324112
17958,691406	-102,558121
18001,757813	-102,186401
18044,824219	-102,381714
18087,890625	-102,760338
18130,957031	-103,128578
18174,023438	-103,257347
18217,089844	-103,202713
18260,156250	-103,891899
18303,222656	-103,284348
18346,289063	-103,028847
18389,355469	-102,956924
18432,421875	-103,166145
18475,488281	-102,463844
18518,554688	-102,474777
18561,621094	-103,506210
18604,687500	-103,352600
18647,753906	-103,191109
18690,820313	-102,135345
18733,886719	-101,501350
18776,953125	-101,567230
18820,019531	-101,798912
18863,085938	-101,406158
18906,152344	-100,227318
18949,218750	-99,508698
18992,285156	-99,102264
19035,351563	-98,631813
19078,417969	-97,854408
19121,484375	-97,919327
19164,550781	-97,531044
19207,617188	-97,221092
19250,683594	-98,917938
19293,750000	-99,378731
19336,816406	-99,656563
19379,882813	-99,405502
19422,949219	-99,711555
19466,015625	-100,686600
19509,082031	-101,616455
19552,148438	-102,200562
19595,214844	-102,850975
19638,281250	-104,170052
19681,347656	-104,879997
19724,414063	-105,451477
19767,480469	-105,303589
19810,546875	-106,371162
19853,613281	-107,304268
19896,679688	-107,650970
19939,746094	-107,824181
19982,812500	-107,267052
20025,878906	-107,909264
20068,945313	-108,380745
20112,011719	-109,027451
20155,078125	-109,293182
20198,144531	-110,190720
20241,210938	-110,486748
20284,277344	-110,880180
20327,343750	-111,609985
20370,410156	-111,522331
20413,476563	-111,558838
20456,542969	-111,845741
20499,609375	-112,984886
20542,675781	-113,669052
20585,742188	-114,545738
20628,808594	-115,182480
20671,875000	-115,798500
20714,941406	-116,240364
20758,007813	-117,327332
20801,074219	-117,755432
20844,140625	-117,791481
20887,207031	-117,924355
20930,273438	-118,095406
20973,339844	-118,199081
21016,406250	-118,444412
21059,472656	-118,239319
21102,539063	-118,341866
21145,605469	-118,306099
21188,671875	-118,482880
21231,738281	-118,359123
21274,804688	-118,291061
21317,871094	-118,385666
21360,937500	-118,514267
21404,003906	-118,451523
21447,070313	-118,290810
21490,136719	-118,444916
21533,203125	-118,400955
21576,269531	-118,631927
21619,335938	-118,589134
21662,402344	-118,672256
21705,468750	-118,659538
21748,535156	-118,877159
21791,601563	-118,798737
21834,667969	-118,877953
21877,734375	-118,619789
21920,800781	-118,873726
21963,867188	-118,734947
22006,933594	-119,048859
