Frecuencia (Hz)	Nivel (dB)
43,066406	-65,147079
86,132813	-68,976097
129,199219	-72,331505
172,265625	-74,534248
215,332031	-76,315697
258,398438	-76,257599
301,464844	-75,914040
344,531250	-74,534966
387,597656	-74,155258
430,664063	-72,504837
473,730469	-68,452591
516,796875	-60,644955
559,863281	-47,993435
602,929688	-24,758636
645,996094	-21,017475
689,062500	-29,443926
732,128906	-54,219452
775,195313	-63,991035
818,261719	-69,928864
861,328125	-72,599014
904,394531	-73,314186
947,460938	-72,612808
990,527344	-72,843925
1033,593750	-72,207664
1076,660156	-70,177696
1119,726563	-67,363884
1162,792969	-62,947510
1205,859375	-53,457722
1248,925781	-37,750687
1291,992188	-36,107719
1335,058594	-46,036114
1378,125000	-53,558578
1421,191406	-59,198364
1464,257813	-64,202896
1507,324219	-67,551628
1550,390625	-69,101524
1593,457031	-70,850319
1636,523438	-72,566887
1679,589844	-72,305016
1722,656250	-70,858673
1765,722656	-68,785545
1808,789063	-64,888107
1851,855469	-52,709171
1894,921875	-40,776741
1937,988281	-41,248394
1981,054688	-54,567490
2024,121094	-66,663506
2067,187500	-68,713463
2110,253906	-69,420395
2153,320313	-66,769508
2196,386719	-62,370266
2239,453125	-57,117687
2282,519531	-54,968746
2325,585938	-57,435417
2368,652344	-61,967106
2411,718750	-64,370323
2454,785156	-64,781494
2497,851563	-61,056522
2540,917969	-53,760174
2583,984375	-55,672741
2627,050781	-64,201340
2670,117188	-64,930870
2713,183594	-63,845261
2756,250000	-60,870937
2799,316406	-58,211040
2842,382813	-59,931629
2885,449219	-64,425133
2928,515625	-68,379204
2971,582031	-70,674179
3014,648438	-71,029381
3057,714844	-71,009171
3100,781250	-69,830597
3143,847656	-64,359024
3186,914063	-59,066700
3229,980469	-61,374527
3273,046875	-64,899521
3316,113281	-64,598701
3359,179688	-62,503063
3402,246094	-61,479931
3445,312500	-62,666847
3488,378906	-65,747452
3531,445313	-69,610687
3574,511719	-71,395699
3617,578125	-72,467491
3660,644531	-72,881454
3703,710938	-71,471931
3746,777344	-69,778458
3789,843750	-64,411957
3832,910156	-60,056904
3875,976563	-61,081196
3919,042969	-60,136879
3962,109375	-59,747364
4005,175781	-63,030788
4048,242188	-67,918091
4091,308594	-70,407578
4134,375000	-72,267273
4177,441406	-73,664848
4220,507813	-74,532478
4263,574219	-74,868912
4306,640625	-74,601868
4349,707031	-72,865723
4392,773438	-70,739639
4435,839844	-65,776726
4478,906250	-63,462849
4521,972656	-66,691422
4565,039063	-72,462814
4608,105469	-76,495598
4651,171875	-79,202484
4694,238281	-81,274239
4737,304688	-83,228683
4780,371094	-83,070587
4823,437500	-83,305908
4866,503906	-82,864044
4909,570313	-82,412567
4952,636719	-80,122383
4995,703125	-76,780792
5038,769531	-73,797874
5081,835938	-72,574745
5124,902344	-73,845619
5167,968750	-76,928497
5211,035156	-80,032112
5254,101563	-81,225273
5297,167969	-82,415802
5340,234375	-83,912491
5383,300781	-84,489464
5426,367188	-83,692177
5469,433594	-82,507965
5512,500000	-80,803978
5555,566406	-78,839836
5598,632813	-76,590408
5641,699219	-75,162376
5684,765625	-75,086029
5727,832031	-76,483498
5770,898438	-79,371178
5813,964844	-80,967949
5857,031250	-83,012451
5900,097656	-84,874428
5943,164063	-84,600815
5986,230469	-84,416473
6029,296875	-84,660194
6072,363281	-84,853775
6115,429688	-83,605324
6158,496094	-81,997337
6201,562500	-82,356873
6244,628906	-84,359657
6287,695313	-86,236687
6330,761719	-87,309799
6373,828125	-88,186508
6416,894531	-89,915878
6459,960938	-90,707428
6503,027344	-90,534416
6546,093750	-89,843674
6589,160156	-89,710045
6632,226563	-89,719330
6675,292969	-88,592201
6718,359375	-86,168159
6761,425781	-84,991150
6804,492188	-85,432037
6847,558594	-86,779106
6890,625000	-88,679543
6933,691406	-89,911911
6976,757813	-89,212112
7019,824219	-88,624107
7062,890625	-89,804398
7105,957031	-90,254051
7149,023438	-90,053864
7192,089844	-89,294266
7235,156250	-89,216675
7278,222656	-88,034378
7321,289063	-87,356804
7364,355469	-87,916183
7407,421875	-89,234192
7450,488281	-89,549179
7493,554688	-90,945808
7536,621094	-92,065422
7579,687500	-92,170143
7622,753906	-91,666443
7665,820313	-92,624329
7708,886719	-92,992630
7751,953125	-92,938210
7795,019531	-92,511421
7838,085938	-92,223122
7881,152344	-91,701279
7924,218750	-90,426117
7967,285156	-89,850967
8010,351563	-90,109627
8053,417969	-89,760155
8096,484375	-90,667854
8139,550781	-91,667885
8182,617188	-91,609802
8225,683594	-91,854820
8268,750000	-91,572853
8311,816406	-91,069733
8354,882813	-91,011238
8397,949219	-89,962814
8441,015625	-89,104218
8484,082031	-88,488693
8527,148438	-87,870193
8570,214844	-88,681236
8613,281250	-89,734825
8656,347656	-90,168480
8699,414063	-90,457397
8742,480469	-91,116653
8785,546875	-91,476448
8828,613281	-91,101349
8871,679688	-90,614151
8914,746094	-90,489090
8957,812500	-90,336723
9000,878906	-90,386482
9043,945313	-89,866089
9087,011719	-89,445648
9130,078125	-89,108765
9173,144531	-89,913490
9216,210938	-90,508972
9259,277344	-91,737144
9302,343750	-91,423065
9345,410156	-91,490479
9388,476563	-91,248749
9431,542969	-90,882240
9474,609375	-90,846107
9517,675781	-90,609253
9560,742188	-90,117378
9603,808594	-89,012367
9646,875000	-89,601662
9689,941406	-89,079544
9733,007813	-89,747192
9776,074219	-91,103294
9819,140625	-92,077759
9862,207031	-92,301506
9905,273438	-92,337639
9948,339844	-93,637993
9991,406250	-94,369522
10034,472656	-93,975853
10077,539063	-93,396103
10120,605469	-94,829193
10163,671875	-95,640762
10206,738281	-94,647461
10249,804688	-94,296188
10292,871094	-95,148346
10335,937500	-95,611206
10379,003906	-96,840698
10422,070313	-97,834137
10465,136719	-98,532188
10508,203125	-97,612877
10551,269531	-96,888268
10594,335938	-95,408432
10637,402344	-94,511131
10680,468750	-92,899406
10723,535156	-91,367767
10766,601563	-90,052048
10809,667969	-89,470581
10852,734375	-89,960648
10895,800781	-91,152542
10938,867188	-92,740158
10981,933594	-93,063431
11025,000000	-93,474930
11068,066406	-93,276810
11111,132813	-93,350601
11154,199219	-93,205566
11197,265625	-93,171066
11240,332031	-92,811554
11283,398438	-91,385841
11326,464844	-90,094475
11369,531250	-89,877975
11412,597656	-90,477119
11455,664063	-91,004280
11498,730469	-91,858757
11541,796875	-92,201813
11584,863281	-93,222679
11627,929688	-93,109489
11670,996094	-92,899811
11714,062500	-93,181496
11757,128906	-93,775833
11800,195313	-93,212456
11843,261719	-91,932304
11886,328125	-91,863701
11929,394531	-92,555496
11972,460938	-93,106194
12015,527344	-92,966667
12058,593750	-92,268799
12101,660156	-93,466354
12144,726563	-93,332626
12187,792969	-92,039894
12230,859375	-92,718910
12273,925781	-94,026299
12316,992188	-94,630913
12360,058594	-94,091309
12403,125000	-94,973793
12446,191406	-93,931786
12489,257813	-94,189156
12532,324219	-95,001686
12575,390625	-93,681786
12618,457031	-93,670593
12661,523438	-93,519127
12704,589844	-93,614799
12747,656250	-93,446785
12790,722656	-93,666580
12833,789063	-94,325546
12876,855469	-94,089569
12919,921875	-94,219505
12962,988281	-93,746529
13006,054688	-94,285172
13049,121094	-94,529129
13092,187500	-94,602776
13135,253906	-95,177254
13178,320313	-95,493202
13221,386719	-95,992767
13264,453125	-96,061935
13307,519531	-95,583809
13350,585938	-95,471504
13393,652344	-95,822159
13436,718750	-96,130829
13479,785156	-95,499352
13522,851563	-95,284668
13565,917969	-95,906456
13608,984375	-94,394981
13652,050781	-93,579994
13695,117188	-94,065834
13738,183594	-93,865540
13781,250000	-94,410133
13824,316406	-94,070656
13867,382813	-94,278221
13910,449219	-95,607475
13953,515625	-96,439682
13996,582031	-95,187363
14039,648438	-95,613708
14082,714844	-96,198669
14125,781250	-95,804321
14168,847656	-95,440155
14211,914063	-95,810051
14254,980469	-96,742096
14298,046875	-96,470161
14341,113281	-95,902512
14384,179688	-95,741234
14427,246094	-95,576241
14470,312500	-95,183739
14513,378906	-96,426178
14556,445313	-95,268166
14599,511719	-94,404663
14642,578125	-94,195992
14685,644531	-93,252037
14728,710938	-92,564552
14771,777344	-93,577293
14814,843750	-93,862778
14857,910156	-93,417763
14900,976563	-93,665337
14944,042969	-94,753731
14987,109375	-95,745026
15030,175781	-96,438255
15073,242188	-95,943367
15116,308594	-95,730385
15159,375000	-95,964775
15202,441406	-95,581352
15245,507813	-94,422470
15288,574219	-94,324631
15331,640625	-93,608788
15374,707031	-92,975876
15417,773438	-93,638321
15460,839844	-93,779282
15503,906250	-94,347107
15546,972656	-94,704819
15590,039063	-95,057541
15633,105469	-94,970207
15676,171875	-95,395500
15719,238281	-94,277664
15762,304688	-95,105446
15805,371094	-95,520493
15848,437500	-95,524658
15891,503906	-95,404327
15934,570313	-96,084610
15977,636719	-96,261833
16020,703125	-96,433388
16063,769531	-97,099831
16106,835938	-97,112770
16149,902344	-97,199684
16192,968750	-97,563393
16236,035156	-97,742798
16279,101563	-98,126511
16322,167969	-97,818253
16365,234375	-98,470192
16408,300781	-99,284897
16451,367188	-98,763611
16494,433594	-97,433014
16537,500000	-97,930168
16580,566406	-98,596756
16623,632813	-99,485558
16666,699219	-99,278740
16709,765625	-99,527641
16752,832031	-99,123573
16795,898438	-99,772308
16838,964844	-100,309586
16882,031250	-99,954926
16925,097656	-100,640228
16968,164063	-98,903702
17011,230469	-98,581863
17054,296875	-99,995773
17097,363281	-99,437210
17140,429688	-98,710526
17183,496094	-97,105850
17226,562500	-97,244888
17269,628906	-97,579262
17312,695313	-96,355927
17355,761719	-96,949326
17398,828125	-97,923424
17441,894531	-97,650627
17484,960938	-97,410332
17528,027344	-98,086388
17571,093750	-98,179314
17614,160156	-98,536995
17657,226563	-98,703072
17700,292969	-98,179207
17743,359375	-98,476547
17786,425781	-99,838860
17829,492188	-99,415268
17872,558594	-99,235062
17915,625000	-99,968231
17958,691406	-100,702240
18001,757813	-101,224854
18044,824219	-101,449265
18087,890625	-101,364151
18130,957031	-100,407524
18174,023438	-100,752197
18217,089844	-100,258400
18260,156250	-101,550224
18303,222656	-101,147522
18346,289063	-100,210335
18389,355469	-100,243019
18432,421875	-102,303680
18475,488281	-101,378487
18518,554688	-99,140274
18561,621094	-98,838356
18604,687500	-98,913170
18647,753906	-98,992470
18690,820313	-100,240639
18733,886719	-100,602737
18776,953125	-100,957954
18820,019531	-100,401093
18863,085938	-100,191681
18906,152344	-101,073013
18949,218750	-100,434662
18992,285156	-100,236992
19035,351563	-99,965691
19078,417969	-98,863731
19121,484375	-97,728874
19164,550781	-99,090515
19207,617188	-101,076302
19250,683594	-100,205940
19293,750000	-99,784859
19336,816406	-100,057907
19379,882813	-101,655441
19422,949219	-101,559227
19466,015625	-102,468262
19509,082031	-103,509331
19552,148438	-103,659035
19595,214844	-102,852020
19638,281250	-100,863724
19681,347656	-101,736198
19724,414063	-103,710777
19767,480469	-105,219566
19810,546875	-105,176750
19853,613281	-105,139648
19896,679688	-104,646111
19939,746094	-106,489922
19982,812500	-106,669540
20025,878906	-106,817230
20068,945313	-106,884315
20112,011719	-107,736130
20155,078125	-109,035568
20198,144531	-109,234764
20241,210938	-108,203331
20284,277344	-109,433571
20327,343750	-109,708992
20370,410156	-110,346458
20413,476563	-111,401634
20456,542969	-111,371765
20499,609375	-112,976967
20542,675781	-113,830559
20585,742188	-114,887527
20628,808594	-116,082596
20671,875000	-117,158134
20714,941406	-118,847610
20758,007813	-120,133682
20801,074219	-120,887489
20844,140625	-120,969833
20887,207031	-121,116005
20930,273438	-121,119324
20973,339844	-121,479202
21016,406250	-121,894676
21059,472656	-122,115784
21102,539063	-121,778404
21145,605469	-121,615654
21188,671875	-121,525368
21231,738281	-121,943687
21274,804688	-122,119118
21317,871094	-122,402870
21360,937500	-122,157318
21404,003906	-122,172134
21447,070313	-122,005043
21490,136719	-121,785797
21533,203125	-121,938843
21576,269531	-121,770187
21619,335938	-122,033691
21662,402344	-122,414719
21705,468750	-122,238487
21748,535156	-122,008415
21791,601563	-122,487709
21834,667969	-122,491997
21877,734375	-122,422501
21920,800781	-122,217560
21963,867188	-122,623306
22006,933594	-122,030243
