Frequency (Hz)	Level (dB)
43.066406	-65.462883
86.132812	-58.100586
129.199219	-55.015556
172.265625	-61.864017
215.332031	-64.958199
258.398438	-65.413826
301.464844	-66.788269
344.531250	-66.450806
387.597656	-66.493347
430.664062	-66.998329
473.730469	-66.378975
516.796875	-65.877556
559.863281	-62.357254
602.929688	-38.455330
645.996094	-32.888947
689.062500	-41.634586
732.128906	-63.960106
775.195312	-63.903267
818.261719	-64.029915
861.328125	-63.647926
904.394531	-62.758427
947.460938	-61.916290
990.527344	-61.153477
1033.593750	-60.736740
1076.660156	-59.819134
1119.726562	-60.186531
1162.792969	-63.321251
1205.859375	-44.151489
1248.925781	-16.057062
1291.992188	-10.882421
1335.058594	-20.349472
1378.125000	-55.203247
1421.191406	-61.163315
1464.257812	-59.488075
1507.324219	-60.173729
1550.390625	-60.972389
1593.457031	-61.737869
1636.523438	-62.814644
1679.589844	-63.373608
1722.656250	-63.985546
1765.722656	-64.514175
1808.789062	-64.345818
1851.855469	-60.408920
1894.921875	-39.293766
1937.988281	-34.328701
1981.054688	-43.254345
2024.121094	-63.975597
2067.187500	-67.177773
2110.253906	-68.213043
2153.320312	-68.555168
2196.386719	-68.660446
2239.453125	-68.340515
2282.519531	-66.615234
2325.585938	-65.425247
2368.652344	-63.187553
2411.718750	-61.502972
2454.785156	-59.572063
2497.851562	-58.897350
2540.917969	-50.739250
2583.984375	-47.472603
2627.050781	-56.799324
2670.117188	-69.807022
2713.183594	-69.208160
2756.250000	-67.361794
2799.316406	-65.346710
2842.382812	-61.890003
2885.449219	-60.276558
2928.515625	-60.821205
2971.582031	-64.467522
3014.648438	-66.162369
3057.714844	-65.849182
3100.781250	-65.714630
3143.847656	-57.897564
3186.914062	-43.278946
3229.980469	-42.598381
3273.046875	-55.524223
3316.113281	-66.949097
3359.179688	-64.815338
3402.246094	-63.272751
3445.312500	-58.887707
3488.378906	-57.563217
3531.445312	-60.140179
3574.511719	-63.780495
3617.578125	-65.807732
3660.644531	-66.710205
3703.710938	-67.982559
3746.777344	-70.316895
3789.843750	-62.648670
3832.910156	-49.314545
3875.976562	-49.646465
3919.042969	-63.458496
3962.109375	-73.764099
4005.175781	-72.749290
4048.242188	-69.782623
4091.308594	-65.859978
4134.375000	-62.555458
4177.441406	-59.812996
4220.507812	-61.969681
4263.574219	-64.796425
4306.640625	-67.111794
4349.707031	-67.954842
4392.773438	-68.504959
4435.839844	-63.679722
4478.906250	-51.431469
4521.972656	-50.742058
4565.039062	-60.720768
4608.105469	-64.528969
4651.171875	-62.727917
4694.238281	-60.094082
4737.304688	-57.656693
4780.371094	-56.081551
4823.437500	-56.033527
4866.503906	-57.116261
4909.570312	-59.066532
4952.636719	-59.776890
4995.703125	-59.616734
5038.769531	-60.755173
5081.835938	-55.014774
5124.902344	-45.919281
5167.968750	-46.478733
5211.035156	-55.317272
5254.101562	-55.015797
5297.167969	-54.140392
5340.234375	-54.013931
5383.300781	-54.473492
5426.367188	-54.124870
5469.433594	-55.736885
5512.500000	-56.961674
5555.566406	-57.328720
5598.632812	-57.797001
5641.699219	-57.136944
5684.765625	-55.500961
5727.832031	-50.790791
5770.898438	-44.701355
5813.964844	-45.553810
5857.031250	-52.360374
5900.097656	-55.351166
5943.164062	-55.665184
5986.230469	-56.130135
6029.296875	-56.608208
