Start Time: 2020/04/19, 20:37:22.234
End Time: 2020/04/19, 20:39:49.561
Min (dB468): 41.4
Max (dB468): 71.1
Peak (dB468): 71.8
Leq (dB468): 60.1
TWA (dB468): -0.2
Dose (%): 0.1
Recorded value (dB468),Response time (seconds): 
41.6,0.2
41.8,0.2
41.8,0.2
42.7,0.2
41.7,0.2
41.9,0.2
41.9,0.2
41.7,0.2
41.7,0.2
41.6,0.2
42.0,0.2
42.4,0.2
44.7,0.2
45.9,0.2
45.5,0.2
45.7,0.2
45.8,0.2
46.1,0.2
46.1,0.2
46.3,0.2
46.1,0.2
45.9,0.2
45.6,0.2
46.0,0.2
46.4,0.2
46.1,0.2
45.6,0.2
45.6,0.2
44.6,0.2
41.8,0.2
41.9,0.2
41.4,0.2
41.8,0.2
41.6,0.2
41.9,0.2
41.8,0.2
41.5,0.2
41.8,0.2
41.7,0.2
41.6,0.2
43.8,0.2
46.2,0.2
48.1,0.2
48.8,0.2
48.4,0.2
48.1,0.2
47.9,0.2
48.1,0.2
48.3,0.2
48.0,0.2
47.6,0.2
48.3,0.2
48.5,0.2
48.0,0.2
48.2,0.2
48.5,0.2
48.0,0.2
48.3,0.2
48.3,0.2
48.9,0.2
46.6,0.2
41.9,0.2
41.7,0.2
41.9,0.2
41.7,0.2
41.7,0.2
41.9,0.2
41.8,0.2
41.9,0.2
41.8,0.2
41.9,0.2
41.8,0.2
41.8,0.2
44.6,0.2
51.0,0.2
52.6,0.2
52.3,0.2
51.5,0.2
51.7,0.2
51.5,0.2
51.3,0.2
51.7,0.2
51.4,0.2
51.5,0.2
51.2,0.2
51.0,0.2
51.9,0.2
51.3,0.2
52.0,0.2
52.8,0.2
52.6,0.2
50.6,0.2
41.6,0.2
41.8,0.2
42.0,0.2
42.1,0.2
41.9,0.2
41.8,0.2
41.7,0.2
41.8,0.2
41.9,0.2
41.8,0.2
41.9,0.2
41.8,0.2
41.7,0.2
48.7,0.2
52.6,0.2
52.9,0.2
53.2,0.2
53.1,0.2
53.2,0.2
53.2,0.2
53.0,0.2
52.3,0.2
52.6,0.2
53.2,0.2
53.7,0.2
53.6,0.2
53.6,0.2
54.0,0.2
54.5,0.2
53.8,0.2
41.9,0.2
41.9,0.2
41.9,0.2
41.8,0.2
41.9,0.2
41.9,0.2
41.9,0.2
41.7,0.2
41.8,0.2
41.9,0.2
42.0,0.2
42.0,0.2
41.9,0.2
49.1,0.2
54.6,0.2
55.1,0.2
55.1,0.2
55.0,0.2
55.5,0.2
55.2,0.2
54.8,0.2
55.2,0.2
55.4,0.2
55.2,0.2
54.6,0.2
54.8,0.2
54.7,0.2
55.6,0.2
55.9,0.2
47.7,0.2
41.9,0.2
42.1,0.2
42.0,0.2
41.9,0.2
41.9,0.2
41.9,0.2
42.1,0.2
41.8,0.2
42.0,0.2
42.0,0.2
41.8,0.2
41.8,0.2
42.2,0.2
41.9,0.2
41.6,0.2
42.1,0.2
41.9,0.2
41.9,0.2
41.8,0.2
42.2,0.2
42.1,0.2
41.9,0.2
41.7,0.2
41.9,0.2
47.1,0.2
52.2,0.2
54.1,0.2
54.9,0.2
55.6,0.2
55.2,0.2
55.6,0.2
54.8,0.2
55.7,0.2
56.3,0.2
55.6,0.2
54.9,0.2
54.9,0.2
55.1,0.2
54.8,0.2
55.3,0.2
55.2,0.2
50.9,0.2
42.0,0.2
42.1,0.2
41.8,0.2
42.0,0.2
42.0,0.2
41.9,0.2
41.8,0.2
42.0,0.2
42.1,0.2
41.8,0.2
42.1,0.2
41.9,0.2
41.8,0.2
41.9,0.2
42.0,0.2
42.1,0.2
54.1,0.2
57.6,0.2
57.6,0.2
57.4,0.2
57.0,0.2
57.3,0.2
57.4,0.2
57.3,0.2
57.0,0.2
57.0,0.2
56.0,0.2
55.0,0.2
56.6,0.2
56.8,0.2
56.7,0.2
57.6,0.2
57.5,0.2
57.7,0.2
42.1,0.2
41.9,0.2
42.1,0.2
41.8,0.2
42.0,0.2
41.8,0.2
41.8,0.2
41.9,0.2
41.9,0.2
41.9,0.2
41.8,0.2
41.8,0.2
41.7,0.2
41.5,0.2
54.3,0.2
57.7,0.2
57.1,0.2
43.2,0.2
50.0,0.2
59.0,0.2
56.9,0.2
57.2,0.2
57.6,0.2
57.4,0.2
56.7,0.2
55.7,0.2
42.2,0.2
42.4,0.2
42.2,0.2
42.1,0.2
42.5,0.2
42.0,0.2
41.9,0.2
42.1,0.2
42.1,0.2
51.6,0.2
59.1,0.2
58.4,0.2
58.2,0.2
58.0,0.2
57.8,0.2
57.8,0.2
57.3,0.2
56.8,0.2
57.5,0.2
57.4,0.2
58.1,0.2
58.0,0.2
58.1,0.2
58.7,0.2
47.3,0.2
42.2,0.2
42.0,0.2
42.3,0.2
42.1,0.2
41.7,0.2
41.9,0.2
42.0,0.2
42.1,0.2
41.9,0.2
42.0,0.2
42.2,0.2
41.9,0.2
42.0,0.2
41.9,0.2
53.7,0.2
60.4,0.2
60.1,0.2
60.6,0.2
59.9,0.2
59.9,0.2
60.1,0.2
60.5,0.2
60.8,0.2
60.7,0.2
60.4,0.2
60.2,0.2
60.1,0.2
60.1,0.2
60.2,0.2
60.2,0.2
60.1,0.2
58.1,0.2
42.3,0.2
42.0,0.2
42.1,0.2
42.1,0.2
42.0,0.2
42.2,0.2
42.6,0.2
42.0,0.2
41.9,0.2
41.7,0.2
41.8,0.2
41.6,0.2
41.9,0.2
41.8,0.2
49.5,0.2
61.8,0.2
60.8,0.2
59.9,0.2
60.3,0.2
59.9,0.2
60.1,0.2
59.7,0.2
59.9,0.2
59.3,0.2
58.9,0.2
59.3,0.2
59.9,0.2
61.2,0.2
59.5,0.2
42.0,0.2
42.3,0.2
41.9,0.2
42.5,0.2
41.9,0.2
41.8,0.2
42.0,0.2
41.8,0.2
41.9,0.2
42.1,0.2
41.7,0.2
41.8,0.2
41.9,0.2
42.0,0.2
42.0,0.2
41.8,0.2
41.7,0.2
41.9,0.2
42.0,0.2
41.7,0.2
41.8,0.2
41.9,0.2
42.0,0.2
41.8,0.2
41.8,0.2
41.9,0.2
41.9,0.2
41.9,0.2
41.7,0.2
41.9,0.2
59.8,0.2
66.2,0.2
65.8,0.2
66.9,0.2
67.6,0.2
69.3,0.2
66.4,0.2
65.6,0.2
66.2,0.2
66.2,0.2
65.9,0.2
65.9,0.2
66.4,0.2
66.0,0.2
66.3,0.2
66.0,0.2
65.9,0.2
57.9,0.2
41.6,0.2
41.9,0.2
41.9,0.2
42.0,0.2
41.7,0.2
41.7,0.2
42.2,0.2
42.1,0.2
42.0,0.2
41.8,0.2
42.1,0.2
41.8,0.2
42.0,0.2
42.0,0.2
42.2,0.2
64.4,0.2
67.3,0.2
66.6,0.2
68.0,0.2
68.7,0.2
67.3,0.2
67.7,0.2
67.8,0.2
66.7,0.2
66.6,0.2
67.0,0.2
66.3,0.2
65.5,0.2
64.9,0.2
65.6,0.2
61.3,0.2
42.7,0.2
42.0,0.2
42.2,0.2
42.3,0.2
42.1,0.2
42.2,0.2
42.0,0.2
41.9,0.2
42.3,0.2
42.0,0.2
42.1,0.2
42.1,0.2
42.3,0.2
42.2,0.2
42.2,0.2
42.3,0.2
42.2,0.2
42.1,0.2
63.0,0.2
68.9,0.2
68.6,0.2
67.7,0.2
67.8,0.2
67.6,0.2
67.6,0.2
67.2,0.2
66.8,0.2
66.5,0.2
66.5,0.2
66.2,0.2
66.9,0.2
66.2,0.2
65.5,0.2
47.4,0.2
42.0,0.2
41.9,0.2
41.9,0.2
42.1,0.2
42.0,0.2
42.0,0.2
41.8,0.2
41.9,0.2
42.0,0.2
42.1,0.2
42.0,0.2
42.2,0.2
42.1,0.2
41.8,0.2
41.8,0.2
42.1,0.2
64.7,0.2
71.1,0.2
70.4,0.2
70.0,0.2
69.7,0.2
69.0,0.2
67.2,0.2
67.4,0.2
66.6,0.2
65.3,0.2
66.8,0.2
66.8,0.2
64.8,0.2
64.8,0.2
65.4,0.2
67.5,0.2
44.8,0.2
42.3,0.2
42.2,0.2
42.0,0.2
42.0,0.2
41.8,0.2
41.8,0.2
41.8,0.2
42.0,0.2
42.0,0.2
42.1,0.2
42.0,0.2
42.1,0.2
42.0,0.2
42.2,0.2
41.9,0.2
41.8,0.2
42.0,0.2
42.1,0.2
42.0,0.2
65.9,0.2
71.1,0.2
71.1,0.2
71.1,0.2
70.9,0.2
69.9,0.2
69.8,0.2
70.0,0.2
69.2,0.2
68.1,0.2
68.9,0.2
68.7,0.2
68.6,0.2
68.7,0.2
69.8,0.2
69.5,0.2
57.1,0.2
42.2,0.2
41.9,0.2
41.8,0.2
41.9,0.2
41.8,0.2
43.0,0.2
