Start Time: 2020/04/19, 20:41:03.741
End Time: 2020/04/19, 22:06:37.523
Min (dB468): 41.2
Max (dB468): 71.3
Peak (dB468): 72.1
Leq (dB468): 62.0
TWA (dB468): -2.9
Dose (%): 0.2
Recorded value (dB468),Response time (seconds): 
41.9,0.2
41.9,0.2
43.5,0.2
42.2,0.2
41.9,0.2
41.8,0.2
41.9,0.2
41.9,0.2
41.6,0.2
41.8,0.2
41.8,0.2
46.9,0.2
51.7,0.2
53.4,0.2
53.8,0.2
53.7,0.2
54.7,0.2
54.5,0.2
53.7,0.2
53.8,0.2
54.0,0.2
53.7,0.2
53.4,0.2
53.3,0.2
53.9,0.2
53.5,0.2
53.8,0.2
53.9,0.2
49.6,0.2
42.1,0.2
41.9,0.2
41.8,0.2
41.8,0.2
41.9,0.2
41.6,0.2
41.6,0.2
41.2,0.2
41.5,0.2
41.7,0.2
41.8,0.2
41.8,0.2
41.8,0.2
41.7,0.2
41.8,0.2
41.9,0.2
53.1,0.2
57.1,0.2
57.1,0.2
56.3,0.2
56.2,0.2
56.2,0.2
55.9,0.2
55.9,0.2
56.3,0.2
56.6,0.2
56.4,0.2
56.2,0.2
56.5,0.2
56.3,0.2
55.9,0.2
57.1,0.2
57.4,0.2
57.1,0.2
56.9,0.2
47.4,0.2
41.9,0.2
42.0,0.2
41.9,0.2
41.9,0.2
41.6,0.2
41.7,0.2
41.9,0.2
41.7,0.2
41.7,0.2
41.8,0.2
41.8,0.2
41.8,0.2
41.8,0.2
41.7,0.2
41.5,0.2
41.8,0.2
41.6,0.2
49.6,0.2
57.7,0.2
58.6,0.2
58.9,0.2
59.1,0.2
59.0,0.2
59.3,0.2
58.9,0.2
59.4,0.2
59.2,0.2
59.0,0.2
58.7,0.2
58.8,0.2
58.9,0.2
58.7,0.2
58.4,0.2
58.8,0.2
59.5,0.2
58.7,0.2
57.7,0.2
56.5,0.2
41.7,0.2
41.6,0.2
41.8,0.2
41.8,0.2
41.8,0.2
41.8,0.2
41.7,0.2
42.0,0.2
41.9,0.2
41.7,0.2
41.6,0.2
41.8,0.2
41.6,0.2
41.9,0.2
42.1,0.2
41.9,0.2
41.8,0.2
41.6,0.2
41.8,0.2
42.0,0.2
41.9,0.2
41.9,0.2
41.9,0.2
41.8,0.2
41.6,0.2
41.8,0.2
41.8,0.2
41.8,0.2
41.8,0.2
61.9,0.2
67.4,0.2
66.7,0.2
66.5,0.2
66.9,0.2
66.4,0.2
66.4,0.2
66.6,0.2
66.3,0.2
66.4,0.2
66.4,0.2
66.0,0.2
65.8,0.2
65.8,0.2
65.9,0.2
65.5,0.2
65.0,0.2
65.7,0.2
65.4,0.2
65.2,0.2
61.1,0.2
41.7,0.2
41.8,0.2
41.8,0.2
41.8,0.2
41.8,0.2
42.0,0.2
41.9,0.2
41.7,0.2
41.7,0.2
41.8,0.2
41.8,0.2
41.8,0.2
41.7,0.2
42.0,0.2
41.9,0.2
42.0,0.2
42.0,0.2
42.3,0.2
42.0,0.2
41.7,0.2
41.7,0.2
51.8,0.2
67.6,0.2
68.1,0.2
67.0,0.2
66.1,0.2
65.6,0.2
66.2,0.2
66.0,0.2
66.1,0.2
66.4,0.2
65.7,0.2
65.5,0.2
65.9,0.2
66.1,0.2
65.7,0.2
65.9,0.2
66.1,0.2
61.7,0.2
42.0,0.2
42.0,0.2
42.3,0.2
42.0,0.2
41.8,0.2
41.7,0.2
41.9,0.2
42.0,0.2
41.8,0.2
41.6,0.2
41.8,0.2
41.5,0.2
41.8,0.2
41.8,0.2
41.8,0.2
42.0,0.2
41.8,0.2
66.3,0.2
70.6,0.2
71.3,0.2
70.7,0.2
70.8,0.2
70.2,0.2
69.9,0.2
69.6,0.2
69.9,0.2
70.2,0.2
69.8,0.2
69.9,0.2
69.6,0.2
69.9,0.2
70.0,0.2
69.5,0.2
69.3,0.2
69.6,0.2
69.5,0.2
68.6,0.2
43.5,0.2
42.0,0.2
42.0,0.2
41.9,0.2
41.9,0.2
41.7,0.2
42.1,0.2
