Frecuencia (Hz)	Nivel (dB)
43,066406	-99,299835
86,132813	-99,898216
129,199219	-99,851959
172,265625	-99,965622
215,332031	-98,598724
258,398438	-99,276749
301,464844	-99,751144
344,531250	-96,160553
387,597656	-92,705315
430,664063	-86,881401
473,730469	-76,769257
516,796875	-57,627155
559,863281	-46,365520
602,929688	-47,778667
645,996094	-54,673523
689,062500	-45,311089
732,128906	-41,673710
775,195313	-42,285973
818,261719	-41,450939
861,328125	-51,579544
904,394531	-71,206665
947,460938	-81,375366
990,527344	-86,344475
1033,593750	-74,654770
1076,660156	-60,636063
1119,726563	-60,286732
1162,792969	-69,057533
1205,859375	-75,831429
1248,925781	-91,320206
1291,992188	-87,171196
1335,058594	-68,383957
1378,125000	-61,987564
1421,191406	-61,105839
1464,257813	-56,909451
1507,324219	-63,193810
1550,390625	-78,240929
1593,457031	-68,392128
1636,523438	-67,677399
1679,589844	-73,729065
1722,656250	-68,473518
1765,722656	-69,786934
1808,789063	-82,007660
1851,855469	-98,246445
1894,921875	-107,731567
1937,988281	-103,244568
1981,054688	-88,792381
2024,121094	-73,658073
2067,187500	-66,753716
2110,253906	-71,008484
2153,320313	-72,119446
2196,386719	-66,649155
2239,453125	-71,798698
2282,519531	-69,695969
2325,585938	-67,043617
2368,652344	-72,023544
2411,718750	-69,194260
2454,785156	-71,910141
2497,851563	-84,143745
2540,917969	-97,760803
2583,984375	-106,680183
2627,050781	-107,953148
2670,117188	-104,425934
2713,183594	-84,922417
2756,250000	-76,788307
2799,316406	-78,585365
2842,382813	-70,939606
2885,449219	-67,692795
2928,515625	-68,094955
2971,582031	-73,619415
3014,648438	-89,267799
3057,714844	-101,764839
3100,781250	-106,698189
3143,847656	-105,281044
3186,914063	-85,178917
3229,980469	-79,460396
3273,046875	-83,950638
3316,113281	-94,836823
3359,179688	-91,593422
3402,246094	-82,770790
3445,312500	-72,852417
3488,378906	-72,498871
3531,445313	-79,527992
3574,511719	-85,009735
