Frecuencia (Hz)	Nivel (dB)
7,812500	-107,045341
15,625000	-107,356789
23,437500	-108,338165
31,250000	-106,470085
39,062500	-99,693130
46,875000	-95,743843
54,687500	-96,181465
62,500000	-101,290504
70,312500	-101,688293
78,125000	-99,209305
85,937500	-95,466827
93,750000	-95,506599
101,562500	-94,457230
109,375000	-95,043991
117,187500	-97,695961
125,000000	-100,647575
132,812500	-103,212181
140,625000	-106,112465
148,437500	-107,487663
156,250000	-107,683990
164,062500	-109,526062
171,875000	-105,908028
179,687500	-99,902084
187,500000	-99,554703
195,312500	-101,643944
203,125000	-103,534523
210,937500	-106,649734
218,750000	-109,336029
226,562500	-112,173653
234,375000	-106,761765
242,187500	-98,367378
250,000000	-99,430725
257,812500	-109,388077
265,625000	-114,511688
273,437500	-112,222755
281,250000	-110,096916
289,062500	-110,628975
296,875000	-102,487717
304,687500	-94,005074
312,500000	-95,153320
320,312500	-106,098549
328,125000	-111,379875
335,937500	-106,837837
343,750000	-105,328247
351,562500	-106,340996
359,375000	-96,394638
367,187500	-87,966919
375,000000	-89,162102
382,812500	-100,897224
390,625000	-105,600288
398,437500	-98,339546
406,250000	-98,221138
414,062500	-100,539177
421,875000	-85,982239
429,687500	-77,169823
437,500000	-78,245644
445,312500	-89,689568
453,125000	-91,841423
460,937500	-84,663651
468,750000	-82,899048
476,562500	-81,837662
484,375000	-76,654694
492,187500	-70,584641
500,000000	-70,016739
507,812500	-67,680733
515,625000	-64,154892
523,437500	-59,382698
531,250000	-56,845871
539,062500	-52,767239
546,875000	-41,902966
554,687500	-38,259026
562,500000	-43,122543
570,312500	-57,706905
578,125000	-69,737511
585,937500	-71,953461
593,750000	-72,846588
601,562500	-72,082550
609,375000	-69,734665
617,187500	-65,152573
625,000000	-64,845367
632,812500	-60,262836
640,625000	-43,060558
648,437500	-32,947056
656,250000	-33,656471
664,062500	-43,868244
671,875000	-56,687988
679,687500	-58,013573
687,500000	-45,584419
695,312500	-34,590332
703,125000	-33,741085
710,937500	-38,883266
718,750000	-51,702850
726,562500	-65,976471
734,375000	-68,919548
742,187500	-70,006500
750,000000	-68,747826
757,812500	-66,246071
765,625000	-60,552776
773,437500	-45,990055
781,250000	-37,805031
789,062500	-37,424973
796,875000	-46,704628
804,687500	-65,209442
812,500000	-72,330421
820,312500	-77,183723
828,125000	-78,683617
835,937500	-71,711304
843,750000	-68,145897
851,562500	-74,645157
859,375000	-86,544670
867,187500	-85,688591
875,000000	-84,600548
882,812500	-85,355644
890,625000	-88,941475
898,437500	-87,910797
906,250000	-84,984917
914,062500	-86,901062
921,875000	-89,355103
929,687500	-91,915375
937,500000	-95,143578
945,312500	-95,567299
953,125000	-97,399010
960,937500	-95,551712
968,750000	-92,887794
976,562500	-92,716324
984,375000	-95,172768
992,187500	-96,882759
1000,000000	-97,504288
1007,812500	-96,971336
1015,625000	-96,980881
1023,437500	-97,692528
1031,250000	-96,048004
1039,062500	-97,331734
1046,875000	-100,854546
1054,687500	-99,893951
1062,500000	-98,414101
1070,312500	-97,676292
1078,125000	-95,345177
1085,937500	-93,272514
1093,750000	-87,856583
1101,562500	-84,251823
1109,375000	-84,703148
1117,187500	-83,806885
1125,000000	-86,216560
1132,812500	-96,617722
1140,625000	-104,318161
1148,437500	-105,020805
1156,250000	-103,962196
1164,062500	-104,929672
1171,875000	-108,544624
1179,687500	-105,064362
1187,500000	-106,890480
1195,312500	-110,745056
1203,125000	-110,513657
1210,937500	-109,660057
1218,750000	-107,764549
1226,562500	-107,908356
1234,375000	-108,801643
1242,187500	-107,886353
1250,000000	-107,861176
1257,812500	-107,960228
1265,625000	-105,118492
1273,437500	-101,075516
1281,250000	-100,174133
1289,062500	-95,191216
