Frecuencia (Hz)	Nivel (dB)
46,875000	-45,788567
93,750000	-46,428600
140,625000	-48,757805
187,500000	-49,276283
234,375000	-48,777054
281,250000	-48,235905
328,125000	-47,099232
375,000000	-45,445286
421,875000	-43,058662
468,750000	-38,924442
515,625000	-27,355108
562,500000	-32,408031
609,375000	-27,865837
656,250000	-25,168825
703,125000	-29,516998
750,000000	-37,731346
796,875000	-34,745750
843,750000	-39,574421
890,625000	-27,115900
937,500000	-35,348103
984,375000	-24,430111
1031,250000	-32,553146
1078,125000	-38,339390
1125,000000	-44,047665
1171,875000	-44,736629
1218,750000	-45,062981
1265,625000	-46,972454
1312,500000	-41,411037
1359,375000	-40,601223
1406,250000	-39,201195
1453,125000	-41,207375
1500,000000	-47,657185
1546,875000	-46,727341
1593,750000	-32,853447
1640,625000	-47,723789
1687,500000	-46,887165
1734,375000	-43,273655
1781,250000	-31,717197
1828,125000	-36,998260
1875,000000	-44,287792
1921,875000	-45,064808
1968,750000	-37,541695
2015,625000	-33,916363
2062,500000	-45,881702
2109,375000	-40,379417
2156,250000	-45,472889
2203,125000	-50,036381
2250,000000	-49,572453
2296,875000	-47,393284
2343,750000	-39,264576
2390,625000	-30,579033
2437,500000	-45,189167
2484,375000	-49,805004
2531,250000	-52,331902
2578,125000	-52,664318
2625,000000	-47,860161
2671,875000	-43,202507
2718,750000	-48,202240
2765,625000	-54,136520
2812,500000	-53,110085
2859,375000	-43,241531
2906,250000	-52,038982
2953,125000	-43,753098
3000,000000	-39,344265
3046,875000	-44,805580
3093,750000	-53,214809
3140,625000	-54,557785
3187,500000	-44,647152
3234,375000	-55,264198
3281,250000	-53,051910
3328,125000	-42,225018
3375,000000	-44,970455
3421,875000	-53,587212
3468,750000	-56,285408
3515,625000	-56,397549
3562,500000	-47,692894
3609,375000	-47,140984
3656,250000	-57,189732
3703,125000	-54,019676
3750,000000	-58,547966
3796,875000	-59,505379
3843,750000	-58,709534
3890,625000	-55,706173
3937,500000	-48,206501
3984,375000	-42,947460
4031,250000	-46,452629
4078,125000	-54,969299
4125,000000	-58,599003
4171,875000	-57,332424
4218,750000	-55,809578
4265,625000	-53,183655
4312,500000	-57,212933
4359,375000	-59,834351
4406,250000	-58,535645
4453,125000	-52,606461
4500,000000	-43,898533
4546,875000	-49,950508
4593,750000	-56,518295
4640,625000	-57,948528
4687,500000	-55,678394
4734,375000	-58,831444
4781,250000	-55,224167
4828,125000	-60,828072
4875,000000	-62,012733
4921,875000	-59,327911
4968,750000	-55,161484
5015,625000	-53,401096
5062,500000	-58,213371
5109,375000	-63,094864
5156,250000	-64,502892
5203,125000	-65,267410
5250,000000	-65,211044
5296,875000	-63,570614
5343,750000	-59,924644
5390,625000	-56,541157
5437,500000	-59,333057
5484,375000	-64,479721
5531,250000	-62,396641
5578,125000	-60,236427
5625,000000	-65,361580
5671,875000	-63,674568
5718,750000	-61,805664
5765,625000	-66,534454
5812,500000	-67,177116
5859,375000	-66,967590
5906,250000	-66,771828
5953,125000	-66,979385
6000,000000	-64,964058
6046,875000	-65,583862
6093,750000	-67,405273
6140,625000	-68,120743
6187,500000	-68,243164
6234,375000	-67,739792
6281,250000	-65,586502
6328,125000	-65,814034
6375,000000	-67,928482
6421,875000	-68,469460
6468,750000	-69,020615
6515,625000	-69,143204
6562,500000	-69,021568
6609,375000	-68,826599
6656,250000	-68,197166
6703,125000	-68,249702
6750,000000	-69,161560
6796,875000	-69,467659
6843,750000	-69,637047
6890,625000	-69,647774
6937,500000	-69,698662
6984,375000	-69,720718
7031,250000	-69,878860
7078,125000	-69,929321
7125,000000	-69,687958
7171,875000	-69,372330
7218,750000	-69,092400
7265,625000	-70,068253
7312,500000	-69,990807
7359,375000	-69,856636
7406,250000	-69,997917
7453,125000	-70,375786
7500,000000	-70,559273
7546,875000	-70,674767
7593,750000	-70,644531
7640,625000	-70,798111
7687,500000	-70,777298
7734,375000	-70,795929
7781,250000	-70,738289
7828,125000	-70,629875
7875,000000	-70,554863
7921,875000	-70,205940
7968,750000	-70,235054
8015,625000	-70,139038
8062,500000	-70,435402
8109,375000	-70,741821
8156,250000	-71,194267
8203,125000	-71,185722
8250,000000	-71,373322
8296,875000	-71,337791
8343,750000	-71,335335
8390,625000	-71,264244
8437,500000	-71,547821
8484,375000	-71,475021
8531,250000	-71,501152
8578,125000	-71,675766
8625,000000	-71,595421
8671,875000	-71,731651
8718,750000	-71,597542
8765,625000	-71,816422
8812,500000	-71,977913
8859,375000	-72,025063
8906,250000	-71,944939
8953,125000	-71,859779
9000,000000	-71,709618
9046,875000	-71,842339
9093,750000	-72,086655
9140,625000	-72,186531
9187,500000	-72,232475
9234,375000	-72,301941
9281,250000	-72,261444
9328,125000	-72,281570
9375,000000	-72,432068
9421,875000	-72,497040
9468,750000	-72,474716
9515,625000	-72,591270
9562,500000	-72,634789
9609,375000	-72,624290
9656,250000	-72,713051
9703,125000	-72,775444
9750,000000	-72,765518
9796,875000	-72,788536
9843,750000	-72,903015
9890,625000	-72,859894
9937,500000	-72,932747
9984,375000	-72,928474
10031,250000	-72,947296
10078,125000	-72,970680
10125,000000	-73,080124
10171,875000	-73,115845
10218,750000	-73,109947
10265,625000	-73,164482
10312,500000	-73,234581
10359,375000	-73,210289
10406,250000	-73,274712
10453,125000	-73,344841
10500,000000	-73,383812
10546,875000	-73,485321
10593,750000	-73,389450
10640,625000	-73,542625
10687,500000	-73,546570
10734,375000	-73,556870
10781,250000	-73,500740
10828,125000	-73,564583
10875,000000	-73,682693
10921,875000	-73,652641
10968,750000	-73,736595
11015,625000	-73,856407
11062,500000	-73,784378
11109,375000	-73,752853
11156,250000	-73,849091
11203,125000	-73,840866
11250,000000	-73,918503
11296,875000	-73,908157
11343,750000	-73,990166
11390,625000	-73,984077
11437,500000	-73,964714
11484,375000	-74,048325
11531,250000	-74,067078
11578,125000	-74,079712
11625,000000	-74,156136
11671,875000	-74,165863
11718,750000	-74,236748
11765,625000	-74,255836
11812,500000	-74,239922
11859,375000	-74,259598
11906,250000	-74,279503
11953,125000	-74,324539
12000,000000	-74,390396
12046,875000	-74,373405
12093,750000	-74,429047
12140,625000	-74,462029
12187,500000	-74,487228
12234,375000	-74,541000
12281,250000	-74,557617
12328,125000	-74,557297
12375,000000	-74,519196
12421,875000	-74,653236
12468,750000	-74,638062
12515,625000	-74,659912
12562,500000	-74,683830
12609,375000	-74,691223
12656,250000	-74,752914
12703,125000	-74,694893
12750,000000	-74,799286
12796,875000	-74,833588
12843,750000	-74,812981
12890,625000	-74,791771
12937,500000	-74,819054
12984,375000	-74,947121
13031,250000	-74,922714
13078,125000	-75,003525
13125,000000	-74,983627
13171,875000	-74,927345
13218,750000	-74,948463
13265,625000	-75,061905
13312,500000	-75,099083
13359,375000	-74,943642
13406,250000	-75,011040
13453,125000	-75,166245
13500,000000	-75,101616
13546,875000	-75,205879
13593,750000	-75,137260
13640,625000	-75,217331
13687,500000	-75,261681
13734,375000	-75,195526
13781,250000	-75,274147
13828,125000	-75,368126
13875,000000	-75,335426
13921,875000	-75,340599
13968,750000	-75,331055
14015,625000	-75,340813
14062,500000	-75,507027
14109,375000	-75,456238
14156,250000	-75,400459
14203,125000	-75,429832
14250,000000	-75,498711
14296,875000	-75,483864
14343,750000	-75,558922
14390,625000	-75,601112
14437,500000	-75,613731
14484,375000	-75,486977
14531,250000	-75,564941
14578,125000	-75,622047
14625,000000	-75,584038
14671,875000	-75,578552
14718,750000	-75,636536
14765,625000	-75,642677
14812,500000	-75,741310
14859,375000	-75,760834
14906,250000	-75,757286
14953,125000	-75,753250
15000,000000	-75,811676
15046,875000	-75,818184
15093,750000	-75,727478
15140,625000	-75,880409
15187,500000	-75,726440
15234,375000	-75,809807
15281,250000	-75,867355
15328,125000	-75,872864
15375,000000	-75,953667
15421,875000	-75,894821
15468,750000	-76,033150
15515,625000	-76,012360
15562,500000	-75,953476
15609,375000	-75,980820
15656,250000	-76,044228
15703,125000	-76,050522
15750,000000	-76,077286
15796,875000	-76,080688
15843,750000	-76,062828
15890,625000	-76,024590
15937,500000	-76,119583
15984,375000	-76,194244
16031,250000	-76,115044
16078,125000	-76,140808
16125,000000	-76,277336
16171,875000	-76,318604
16218,750000	-76,337120
16265,625000	-76,355553
16312,500000	-76,374870
16359,375000	-76,389458
16406,250000	-76,408295
16453,125000	-76,424774
16500,000000	-76,438286
16546,875000	-76,457031
16593,750000	-76,466583
16640,625000	-76,478508
16687,500000	-76,496613
16734,375000	-76,509430
16781,250000	-76,527428
16828,125000	-76,540291
16875,000000	-76,555092
16921,875000	-76,568298
16968,750000	-76,581474
17015,625000	-76,596191
17062,500000	-76,607964
17109,375000	-76,621704
17156,250000	-76,634483
17203,125000	-76,652008
17250,000000	-76,662552
17296,875000	-76,675308
17343,750000	-76,686317
17390,625000	-76,701881
17437,500000	-76,712975
17484,375000	-76,727036
17531,250000	-76,739700
17578,125000	-76,752243
17625,000000	-76,765427
17671,875000	-76,775513
17718,750000	-76,787361
17765,625000	-76,797691
17812,500000	-76,813881
17859,375000	-76,824661
17906,250000	-76,836662
17953,125000	-76,848518
18000,000000	-76,861847
18046,875000	-76,866051
18093,750000	-76,883507
18140,625000	-76,896301
18187,500000	-76,902153
18234,375000	-76,913147
18281,250000	-76,922974
18328,125000	-76,935341
18375,000000	-76,946602
18421,875000	-76,959671
18468,750000	-76,968292
18515,625000	-76,977448
18562,500000	-76,989548
18609,375000	-77,003029
18656,250000	-77,007408
18703,125000	-77,018692
18750,000000	-77,029984
18796,875000	-77,037720
18843,750000	-77,046288
18890,625000	-77,061310
18937,500000	-77,070259
18984,375000	-77,074379
19031,250000	-77,083076
19078,125000	-77,092186
19125,000000	-77,105202
19171,875000	-77,108353
19218,750000	-77,122177
19265,625000	-77,127716
19312,500000	-77,135025
19359,375000	-77,148369
19406,250000	-77,154579
19453,125000	-77,164742
19500,000000	-77,173111
19546,875000	-77,187614
19593,750000	-77,185890
19640,625000	-77,196587
19687,500000	-77,202934
19734,375000	-77,217285
19781,250000	-77,224335
19828,125000	-77,229904
19875,000000	-77,234261
19921,875000	-77,242249
19968,750000	-77,249344
20015,625000	-77,264702
20062,500000	-77,264725
20109,375000	-77,273804
20156,250000	-77,277420
20203,125000	-77,283897
20250,000000	-77,293571
20296,875000	-77,298660
20343,750000	-77,303101
20390,625000	-77,315796
20437,500000	-77,319679
20484,375000	-77,331055
20531,250000	-77,333908
20578,125000	-77,340347
20625,000000	-77,343330
20671,875000	-77,351761
20718,750000	-77,357620
20765,625000	-77,362152
20812,500000	-77,370438
20859,375000	-77,376427
20906,250000	-77,381027
20953,125000	-77,388618
21000,000000	-77,393013
21046,875000	-77,396523
21093,750000	-77,403564
21140,625000	-77,405701
21187,500000	-77,412453
21234,375000	-77,418312
21281,250000	-77,423912
21328,125000	-77,428368
21375,000000	-77,433777
21421,875000	-77,434692
21468,750000	-77,443787
21515,625000	-77,448204
21562,500000	-77,449516
21609,375000	-77,457260
21656,250000	-77,463272
21703,125000	-77,465446
21750,000000	-77,469650
21796,875000	-77,477455
21843,750000	-77,480858
21890,625000	-77,481323
21937,500000	-77,484398
21984,375000	-77,485359
22031,250000	-77,490135
22078,125000	-77,495392
22125,000000	-77,495850
22171,875000	-77,501747
22218,750000	-77,506866
22265,625000	-77,508705
22312,500000	-77,509727
22359,375000	-77,515915
22406,250000	-77,512222
22453,125000	-77,516716
22500,000000	-77,525734
22546,875000	-77,521072
22593,750000	-77,528008
22640,625000	-77,530449
22687,500000	-77,531624
22734,375000	-77,537521
22781,250000	-77,533516
22828,125000	-77,537804
22875,000000	-77,541878
22921,875000	-77,539871
22968,750000	-77,544479
23015,625000	-77,546761
23062,500000	-77,548073
23109,375000	-77,550224
23156,250000	-77,553497
23203,125000	-77,551605
23250,000000	-77,554413
23296,875000	-77,554245
23343,750000	-77,555206
23390,625000	-77,556526
23437,500000	-77,557243
23484,375000	-77,560890
23531,250000	-77,561203
23578,125000	-77,559509
23625,000000	-77,560448
23671,875000	-77,565392
23718,750000	-77,566437
23765,625000	-77,564980
23812,500000	-77,563004
23859,375000	-77,560585
23906,250000	-77,565994
23953,125000	-77,566376
