Frecuencia (Hz)	Nivel (dB)
46,875000	-48,199947
93,750000	-47,644882
140,625000	-47,544216
187,500000	-46,865917
234,375000	-45,921650
281,250000	-45,454586
328,125000	-44,285637
375,000000	-42,649414
421,875000	-40,285789
468,750000	-36,387901
515,625000	-23,840565
562,500000	-29,660776
609,375000	-25,876160
656,250000	-21,604712
703,125000	-23,313007
750,000000	-31,451448
796,875000	-21,417055
843,750000	-35,304661
890,625000	-22,816467
937,500000	-31,366423
984,375000	-24,888151
1031,250000	-32,878265
1078,125000	-38,761932
1125,000000	-42,557098
1171,875000	-40,118019
1218,750000	-43,022339
1265,625000	-45,438591
1312,500000	-40,878399
1359,375000	-41,152260
1406,250000	-43,297092
1453,125000	-44,078682
1500,000000	-47,690399
1546,875000	-45,571098
1593,750000	-35,118641
1640,625000	-47,326614
1687,500000	-47,431812
1734,375000	-44,453915
1781,250000	-32,595875
1828,125000	-39,517422
1875,000000	-43,154537
1921,875000	-38,245663
1968,750000	-31,623793
2015,625000	-30,380949
2062,500000	-42,267727
2109,375000	-42,076195
2156,250000	-42,285809
2203,125000	-48,982277
2250,000000	-49,433067
2296,875000	-47,731186
2343,750000	-41,245773
2390,625000	-30,638498
2437,500000	-45,999065
2484,375000	-50,375645
2531,250000	-52,334030
2578,125000	-52,708477
2625,000000	-47,431240
2671,875000	-43,769035
2718,750000	-48,326279
2765,625000	-53,042454
2812,500000	-51,868023
2859,375000	-41,002876
2906,250000	-50,043484
2953,125000	-43,698334
3000,000000	-39,524708
3046,875000	-48,291828
3093,750000	-54,266254
3140,625000	-54,995426
3187,500000	-52,649654
3234,375000	-56,432167
3281,250000	-55,005135
3328,125000	-44,867661
3375,000000	-51,883995
3421,875000	-57,113621
3468,750000	-58,372665
3515,625000	-58,176353
3562,500000	-50,996044
3609,375000	-56,194973
3656,250000	-59,605717
3703,125000	-59,517574
3750,000000	-60,370510
3796,875000	-60,333225
3843,750000	-59,865730
3890,625000	-58,390350
3937,500000	-53,856167
3984,375000	-48,043385
4031,250000	-51,363445
4078,125000	-58,817482
4125,000000	-60,378925
4171,875000	-60,256092
4218,750000	-60,456738
4265,625000	-59,116455
4312,500000	-60,040375
4359,375000	-61,829861
4406,250000	-61,252056
4453,125000	-56,807095
4500,000000	-50,685356
4546,875000	-57,347401
4593,750000	-61,117020
4640,625000	-60,862141
4687,500000	-59,743809
4734,375000	-59,208954
4781,250000	-57,737579
4828,125000	-61,474667
4875,000000	-60,827766
4921,875000	-57,914787
4968,750000	-55,284775
5015,625000	-52,806179
5062,500000	-59,273933
5109,375000	-62,462650
5156,250000	-63,385975
5203,125000	-63,529701
5250,000000	-63,338352
5296,875000	-60,365761
5343,750000	-53,602398
5390,625000	-56,484745
5437,500000	-59,489086
5484,375000	-62,780281
5531,250000	-61,725109
5578,125000	-58,900257
5625,000000	-63,474236
5671,875000	-60,795029
5718,750000	-58,075203
5765,625000	-63,341633
5812,500000	-63,730740
5859,375000	-63,604832
5906,250000	-61,043041
5953,125000	-60,066525
6000,000000	-60,030308
6046,875000	-61,345421
6093,750000	-64,802505
6140,625000	-65,057915
6187,500000	-64,585281
6234,375000	-61,592667
6281,250000	-60,912903
6328,125000	-61,846729
6375,000000	-64,002281
6421,875000	-64,972015
6468,750000	-66,050499
6515,625000	-66,191032
6562,500000	-66,250694
6609,375000	-65,732224
6656,250000	-62,802517
6703,125000	-60,866516
6750,000000	-65,078224
6796,875000	-66,495491
6843,750000	-66,880066
6890,625000	-66,882500
6937,500000	-66,839287
6984,375000	-66,409317
7031,250000	-66,569962
7078,125000	-66,774681
7125,000000	-64,481339
7171,875000	-64,221497
7218,750000	-64,709038
7265,625000	-67,098289
7312,500000	-67,370071
7359,375000	-67,254433
7406,250000	-67,688637
7453,125000	-67,854950
7500,000000	-67,918922
7546,875000	-67,975876
7593,750000	-68,044258
7640,625000	-68,099495
7687,500000	-68,146011
7734,375000	-68,194565
7781,250000	-68,213806
7828,125000	-68,164024
7875,000000	-68,189995
7921,875000	-68,037628
7968,750000	-67,833549
8015,625000	-68,091370
8062,500000	-68,263336
8109,375000	-68,279205
8156,250000	-68,653793
8203,125000	-68,713806
8250,000000	-68,763245
8296,875000	-68,805481
8343,750000	-68,850044
8390,625000	-68,908813
8437,500000	-68,952713
8484,375000	-68,990074
8531,250000	-69,039948
8578,125000	-69,075211
8625,000000	-69,120384
8671,875000	-69,181099
8718,750000	-69,215927
8765,625000	-69,265625
8812,500000	-69,306580
8859,375000	-69,348396
8906,250000	-69,363251
8953,125000	-69,369507
9000,000000	-69,227722
9046,875000	-69,472389
9093,750000	-69,451599
9140,625000	-69,528191
9187,500000	-69,601379
9234,375000	-69,671494
9281,250000	-69,711723
9328,125000	-69,754967
9375,000000	-69,790222
9421,875000	-69,829124
9468,750000	-69,868614
9515,625000	-69,902634
9562,500000	-69,927429
9609,375000	-69,983009
9656,250000	-70,018692
9703,125000	-70,055183
9750,000000	-70,100311
9796,875000	-70,142639
9843,750000	-70,179588
9890,625000	-70,209717
9937,500000	-70,222710
9984,375000	-70,284698
10031,250000	-70,312218
10078,125000	-70,350555
10125,000000	-70,384514
10171,875000	-70,423309
10218,750000	-70,458572
10265,625000	-70,486389
10312,500000	-70,533737
10359,375000	-70,570518
10406,250000	-70,604881
10453,125000	-70,628822
10500,000000	-70,666122
10546,875000	-70,692070
10593,750000	-70,726486
10640,625000	-70,752129
10687,500000	-70,798752
10734,375000	-70,836754
10781,250000	-70,862961
10828,125000	-70,873695
10875,000000	-70,923431
10921,875000	-70,968071
10968,750000	-70,985863
11015,625000	-71,035759
11062,500000	-71,049385
11109,375000	-71,090553
11156,250000	-71,119202
11203,125000	-71,157028
11250,000000	-71,174316
11296,875000	-71,209076
11343,750000	-71,236023
11390,625000	-71,260796
11437,500000	-71,292931
11484,375000	-71,321945
11531,250000	-71,353752
11578,125000	-71,383461
11625,000000	-71,418335
11671,875000	-71,450920
11718,750000	-71,473465
11765,625000	-71,505409
11812,500000	-71,530090
11859,375000	-71,552025
11906,250000	-71,581154
11953,125000	-71,615829
12000,000000	-71,637787
12046,875000	-71,670753
12093,750000	-71,686630
12140,625000	-71,705215
12187,500000	-71,740723
12234,375000	-71,771118
12281,250000	-71,797157
12328,125000	-71,813713
12375,000000	-71,840431
12421,875000	-71,877556
12468,750000	-71,901901
12515,625000	-71,933487
12562,500000	-71,949516
12609,375000	-71,980629
12656,250000	-72,020630
12703,125000	-72,019768
12750,000000	-72,056244
12796,875000	-72,086105
12843,750000	-72,091972
12890,625000	-72,111305
12937,500000	-72,147919
12984,375000	-72,178505
13031,250000	-72,196014
13078,125000	-72,217705
13125,000000	-72,251564
13171,875000	-72,282646
13218,750000	-72,293533
13265,625000	-72,327820
13312,500000	-72,340065
13359,375000	-72,355530
13406,250000	-72,393959
13453,125000	-72,405937
13500,000000	-72,426018
13546,875000	-72,467529
13593,750000	-72,481201
13640,625000	-72,511848
13687,500000	-72,515991
13734,375000	-72,541801
13781,250000	-72,557671
13828,125000	-72,584839
13875,000000	-72,605637
13921,875000	-72,621140
13968,750000	-72,647751
14015,625000	-72,678711
14062,500000	-72,686691
14109,375000	-72,724091
14156,250000	-72,736694
14203,125000	-72,741829
14250,000000	-72,754776
14296,875000	-72,782921
14343,750000	-72,806892
14390,625000	-72,823914
14437,500000	-72,849197
14484,375000	-72,862572
14531,250000	-72,891922
14578,125000	-72,897926
14625,000000	-72,921822
14671,875000	-72,939171
14718,750000	-72,964104
14765,625000	-72,977242
14812,500000	-72,999290
14859,375000	-73,017235
14906,250000	-73,032562
14953,125000	-73,056015
15000,000000	-73,075195
15046,875000	-73,089035
15093,750000	-73,106102
15140,625000	-73,138229
15187,500000	-73,147217
15234,375000	-73,164070
15281,250000	-73,189857
15328,125000	-73,204552
15375,000000	-73,216980
15421,875000	-73,235626
15468,750000	-73,241409
15515,625000	-73,264870
15562,500000	-73,281425
15609,375000	-73,305496
15656,250000	-73,318359
15703,125000	-73,333885
15750,000000	-73,358345
15796,875000	-73,349747
15843,750000	-73,382072
15890,625000	-73,409248
15937,500000	-73,413620
15984,375000	-73,429787
16031,250000	-73,440277
16078,125000	-73,460480
16125,000000	-73,476814
16171,875000	-73,493896
16218,750000	-73,511078
16265,625000	-73,527000
16312,500000	-73,541199
16359,375000	-73,557526
16406,250000	-73,570953
16453,125000	-73,585854
