Frecuencia (Hz)	Nivel (dB)
43.066406	-50.504768
86.132813	-50.126778
129.199219	-49.948292
172.265625	-49.415485
215.332031	-48.650166
258.398438	-47.670025
301.464844	-46.404984
344.531250	-44.770729
387.597656	-42.582897
430.664063	-39.462353
473.730469	-34.283367
516.796875	-18.346416
559.863281	-30.738785
602.929688	-37.729279
645.996094	-41.404045
689.062500	-43.731510
732.128906	-45.269871
775.195313	-46.138855
818.261719	-46.394070
861.328125	-45.967113
904.394531	-44.706482
947.460938	-42.358936
990.527344	-38.105869
1033.593750	-27.357330
1076.660156	-30.367130
1119.726563	-39.085033
1162.792969	-43.080421
1205.859375	-45.534470
1248.925781	-47.075188
1291.992188	-48.022026
1335.058594	-48.378475
1378.125000	-48.102310
1421.191406	-47.091507
1464.257813	-45.008167
1507.324219	-41.201904
1550.390625	-32.451824
1593.457031	-29.018826
1636.523438	-40.279099
1679.589844	-44.727703
1722.656250	-47.398613
1765.722656	-49.196831
1808.789063	-50.442387
1851.855469	-51.227577
1894.921875	-51.529144
1937.988281	-51.241077
1981.054688	-50.012436
2024.121094	-47.140682
2067.187500	-40.062740
2110.253906	-29.524967
2153.320313	-44.247944
2196.386719	-49.186405
2239.453125	-51.843121
2282.519531	-53.525017
2325.585938	-54.732861
2368.652344	-55.620419
2411.718750	-56.295856
2454.785156	-56.741257
2497.851563	-56.942211
2540.917969	-56.553062
2583.984375	-53.076126
2627.050781	-41.336273
2670.117188	-51.843063
2713.183594	-56.303379
2756.250000	-58.269005
2799.316406	-59.018909
2842.382813	-59.476894
2885.449219	-59.717991
2928.515625	-59.774933
2971.582031	-59.731171
3014.648438	-59.222736
3057.714844	-57.956966
3100.781250	-54.405376
3143.847656	-40.236584
3186.914063	-48.700600
3229.980469	-56.115681
3273.046875	-58.509274
3316.113281	-60.186031
3359.179688	-61.016022
3402.246094	-61.494148
3445.312500	-61.601353
3488.378906	-61.573456
3531.445313	-61.161724
3574.511719	-60.107510
3617.578125	-56.973152
3660.644531	-47.356270
3703.710938	-47.296307
3746.777344	-56.831299
3789.843750	-59.845783
3832.910156	-61.476566
3875.976563	-62.405014
3919.042969	-63.049015
3962.109375	-63.453365
4005.175781	-63.549297
4048.242188	-63.489304
4091.308594	-62.846382
4134.375000	-60.939926
4177.441406	-51.832928
4220.507813	-52.575077
4263.574219	-60.555641
4306.640625	-63.089828
4349.707031	-63.054291
4392.773438	-64.045349
4435.839844	-64.870865
4478.906250	-65.290581
4521.972656	-65.500092
4565.039063	-65.464912
4608.105469	-65.211288
4651.171875	-64.125778
4694.238281	-59.262222
4737.304688	-52.402874
4780.371094	-61.033855
4823.437500	-64.600632
4866.503906	-65.173027
4909.570313	-64.969109
4952.636719	-66.028595
4995.703125	-66.762001
5038.769531	-66.932983
5081.835938	-67.168945
5124.902344	-67.152649
5167.968750	-66.788399
5211.035156	-63.842625
5254.101563	-61.828323
5297.167969	-65.053055
5340.234375	-66.805435
5383.300781	-66.870384
5426.367188	-66.744133
5469.433594	-66.699547
5512.500000	-66.853348
5555.566406	-67.524590
5598.632813	-67.891174
5641.699219	-68.032082
5684.765625	-68.008766
5727.832031	-66.975433
5770.898438	-62.338699
5813.964844	-66.367462
5857.031250	-68.062302
5900.097656	-68.339386
5943.164063	-68.582764
5986.230469	-68.479042
6029.296875	-68.307289
6072.363281	-68.141403
6115.429688	-68.655235
6158.496094	-68.609413
6201.562500	-68.611160
6244.628906	-67.974449
6287.695313	-65.770622
6330.761719	-66.980278
6373.828125	-68.538361
6416.894531	-69.222778
6459.960938	-69.472923
6503.027344	-69.574791
6546.093750	-69.606133
6589.160156	-69.489098
6632.226563	-69.629929
6675.292969	-69.421898
6718.359375	-69.429390
6761.425781	-69.123619
6804.492188	-68.176201
6847.558594	-67.137337
6890.625000	-69.098099
6933.691406	-69.922997
6976.757813	-70.033997
7019.824219	-70.157776
7062.890625	-70.103752
7105.957031	-70.195320
7149.023438	-70.431648
7192.089844	-70.356972
7235.156250	-70.464172
7278.222656	-70.550529
7321.289063	-70.290489
7364.355469	-70.434296
7407.421875	-70.761612
7450.488281	-70.813324
7493.554688	-70.897743
7536.621094	-70.950966
7579.687500	-71.001694
7622.753906	-71.048470
7665.820313	-71.091133
7708.886719	-71.078094
7751.953125	-71.082977
7795.019531	-71.083870
7838.085938	-70.820992
7881.152344	-70.185463
7924.218750	-71.026466
7967.285156	-71.313263
8010.351563	-71.415192
8053.417969	-71.504402
8096.484375	-71.551605
8139.550781	-71.609070
8182.617188	-71.656082
8225.683594	-71.676758
8268.750000	-71.690353
8311.816406	-71.725067
8354.882813	-71.527122
8397.949219	-71.101341
8441.015625	-71.488869
8484.082031	-71.751465
8527.148438	-71.909859
8570.214844	-71.964584
8613.281250	-72.035530
8656.347656	-72.080109
8699.414063	-72.110832
8742.480469	-72.164940
8785.546875	-72.206757
8828.613281	-72.255020
8871.679688	-72.216789
8914.746094	-72.164726
8957.812500	-72.133141
9000.878906	-72.350739
9043.945313	-72.446983
9087.011719	-72.474762
9130.078125	-72.530533
9173.144531	-72.544403
9216.210938	-72.586029
9259.277344	-72.613823
9302.343750	-72.640320
9345.410156	-72.687210
9388.476563	-72.739471
9431.542969	-72.697433
9474.609375	-72.729675
9517.675781	-72.814941
9560.742188	-72.882889
9603.808594	-72.905067
9646.875000	-72.956955
9689.941406	-72.967705
9733.007813	-73.004387
9776.074219	-73.037918
9819.140625	-73.043518
9862.207031	-73.113388
9905.273438	-73.122856
9948.339844	-73.180420
9991.406250	-73.181519
10034.472656	-73.247574
10077.539063	-73.279816
10120.605469	-73.298134
10163.671875	-73.295006
10206.738281	-73.343399
10249.804688	-73.389999
10292.871094	-73.407875
10335.937500	-73.459114
10379.003906	-73.498680
10422.070313	-73.517380
10465.136719	-73.560707
10508.203125	-73.571182
10551.269531	-73.615234
10594.335938	-73.672256
10637.402344	-73.673958
10680.468750	-73.659790
10723.535156	-73.701141
10766.601563	-73.757408
10809.667969	-73.778214
10852.734375	-73.812004
10895.800781	-73.824310
10938.867188	-73.826202
10981.933594	-73.872124
11025.000000	-73.885941
11068.066406	-73.931366
11111.132813	-73.956512
11154.199219	-74.012939
11197.265625	-74.036003
11240.332031	-74.060501
11283.398438	-74.080719
11326.464844	-74.099678
11369.531250	-74.163727
11412.597656	-74.145821
11455.664063	-74.170219
11498.730469	-74.176338
11541.796875	-74.225258
11584.863281	-74.260422
11627.929688	-74.239738
11670.996094	-74.305969
11714.062500	-74.349625
11757.128906	-74.350060
11800.195313	-74.383118
11843.261719	-74.389671
11886.328125	-74.416168
11929.394531	-74.491554
11972.460938	-74.495667
12015.527344	-74.475792
12058.593750	-74.520073
12101.660156	-74.560738
12144.726563	-74.630234
12187.792969	-74.627129
12230.859375	-74.646759
12273.925781	-74.630478
12316.992188	-74.686493
12360.058594	-74.693909
12403.125000	-74.725502
12446.191406	-74.754036
12489.257813	-74.786423
12532.324219	-74.758789
12575.390625	-74.842606
12618.457031	-74.814270
12661.523438	-74.814262
12704.589844	-74.808434
12747.656250	-74.844231
12790.722656	-74.898132
12833.789063	-74.925552
12876.855469	-74.950386
12919.921875	-74.975784
12962.988281	-74.976204
13006.054688	-74.976952
13049.121094	-75.019218
13092.187500	-75.036270
13135.253906	-75.058212
13178.320313	-75.105736
13221.386719	-75.097549
13264.453125	-75.100349
13307.519531	-75.174530
13350.585938	-75.158615
13393.652344	-75.177338
13436.718750	-75.160355
13479.785156	-75.238297
13522.851563	-75.214027
13565.917969	-75.298416
13608.984375	-75.284363
13652.050781	-75.302223
13695.117188	-75.314278
13738.183594	-75.358589
13781.250000	-75.352699
13824.316406	-75.356613
13867.382813	-75.361359
13910.449219	-75.381798
13953.515625	-75.452431
13996.582031	-75.430252
14039.648438	-75.484970
14082.714844	-75.462296
14125.781250	-75.441895
14168.847656	-75.518227
14211.914063	-75.553764
14254.980469	-75.521729
14298.046875	-75.512192
14341.113281	-75.549553
14384.179688	-75.549751
14427.246094	-75.610939
14470.312500	-75.621384
14513.378906	-75.679665
14556.445313	-75.672516
14599.511719	-75.658165
14642.578125	-75.681839
14685.644531	-75.721954
14728.710938	-75.727638
14771.777344	-75.728729
14814.843750	-75.736130
14857.910156	-75.761871
14900.976563	-75.800674
14944.042969	-75.793358
14987.109375	-75.833206
15030.175781	-75.875473
15073.242188	-75.867851
15116.308594	-75.894951
15159.375000	-75.864159
15202.441406	-75.921288
15245.507813	-75.920532
15288.574219	-75.974503
15331.640625	-75.957138
15374.707031	-75.959030
15417.773438	-75.937881
15460.839844	-76.002174
