Frecuencia (Hz)	Nivel (dB)
43.066406	-44.985611
86.132813	-44.727604
129.199219	-44.316364
172.265625	-43.722626
215.332031	-42.929607
258.398438	-41.906158
301.464844	-40.609806
344.531250	-38.942547
387.597656	-36.738659
430.664063	-33.636292
473.730469	-28.606287
516.796875	-14.756403
559.863281	-24.051161
602.929688	-31.424828
645.996094	-35.278801
689.062500	-37.824623
732.128906	-39.651443
775.195313	-40.938984
818.261719	-41.740734
861.328125	-42.003029
904.394531	-41.537968
947.460938	-39.954357
990.527344	-36.417423
1033.593750	-27.377287
1076.660156	-26.734753
1119.726563	-36.425293
1162.792969	-40.420792
1205.859375	-42.751686
1248.925781	-44.137619
1291.992188	-44.970970
1335.058594	-45.261452
1378.125000	-45.022625
1421.191406	-44.126579
1464.257813	-42.298306
1507.324219	-38.873119
1550.390625	-31.778917
1593.457031	-21.990374
1636.523438	-36.200592
1679.589844	-41.104389
1722.656250	-43.996811
1765.722656	-45.965366
1808.789063	-47.428970
1851.855469	-48.529453
1894.921875	-49.414364
1937.988281	-50.089993
1981.054688	-50.592552
2024.121094	-50.636497
2067.187500	-49.171234
2110.253906	-33.436985
2153.320313	-47.335228
2196.386719	-51.121746
2239.453125	-52.526199
2282.519531	-53.040031
2325.585938	-53.319592
2368.652344	-53.425381
2411.718750	-53.261963
2454.785156	-52.856609
2497.851563	-51.972614
2540.917969	-50.085266
2583.984375	-46.142437
2627.050781	-33.255791
2670.117188	-41.029236
2713.183594	-48.045040
2756.250000	-51.503117
2799.316406	-53.410500
2842.382813	-54.536125
2885.449219	-55.176674
2928.515625	-55.560375
2971.582031	-55.625851
3014.648438	-55.417664
3057.714844	-54.391392
3100.781250	-51.937595
3143.847656	-43.496323
3186.914063	-41.743851
3229.980469	-50.767784
3273.046875	-53.698830
3316.113281	-56.064838
3359.179688	-57.150387
3402.246094	-57.663399
3445.312500	-57.924652
3488.378906	-58.105904
3531.445313	-57.988228
3574.511719	-57.507298
3617.578125	-55.886555
3660.644531	-50.553680
3703.710938	-42.538834
3746.777344	-54.337440
3789.843750	-57.223835
