Frecuencia (Hz)	Nivel (dB)
43.066406	-53.930588
86.132813	-53.799984
129.199219	-53.579876
172.265625	-53.255917
215.332031	-52.831676
258.398438	-52.320095
301.464844	-51.679268
344.531250	-50.920589
387.597656	-50.010109
430.664063	-48.928917
473.730469	-47.640732
516.796875	-46.027836
559.863281	-43.987835
602.929688	-41.310696
645.996094	-37.277061
689.062500	-29.346703
732.128906	-21.997744
775.195313	-35.057560
818.261719	-39.988968
861.328125	-43.070019
904.394531	-45.293530
947.460938	-47.020634
990.527344	-48.400238
1033.593750	-49.518570
1076.660156	-50.427708
1119.726563	-51.114136
1162.792969	-51.571724
1205.859375	-51.757992
1248.925781	-51.580433
1291.992188	-50.794838
1335.058594	-49.013512
1378.125000	-45.407990
1421.191406	-35.957626
1464.257813	-36.183022
1507.324219	-45.557251
1550.390625	-49.583942
1593.457031	-51.805149
1636.523438	-53.285618
1679.589844	-54.249084
1722.656250	-54.854160
1765.722656	-55.214924
1808.789063	-55.357937
1851.855469	-55.248489
1894.921875	-54.911209
1937.988281	-54.068783
1981.054688	-52.895714
2024.121094	-51.026329
2067.187500	-48.364513
2110.253906	-43.385887
2153.320313	-27.760445
2196.386719	-38.683311
2239.453125	-46.086639
2282.519531	-49.761700
2325.585938	-52.312531
2368.652344	-53.838936
2411.718750	-54.790192
2454.785156	-55.385040
2497.851563	-55.572044
2540.917969	-55.481003
2583.984375	-55.049091
2627.050781	-54.284405
2670.117188	-53.185169
2713.183594	-51.590385
2756.250000	-49.202499
2799.316406	-45.495274
2842.382813	-38.081951
2885.449219	-24.110615
2928.515625	-40.802174
2971.582031	-46.844608
3014.648438	-50.185143
3057.714844	-52.496494
3100.781250	-54.226849
3143.847656	-55.573563
3186.914063	-56.570202
3229.980469	-57.363426
3273.046875	-57.988098
3316.113281	-58.100403
3359.179688	-58.082401
3402.246094	-56.928051
3445.312500	-56.216076
3488.378906	-55.023548
3531.445313	-51.619682
3574.511719	-41.611622
3617.578125	-40.723049
3660.644531	-51.929123
3703.710938	-55.861488
3746.777344	-58.161964
3789.843750	-59.470749
3832.910156	-60.351795
3875.976563	-60.861000
3919.042969	-60.796429
3962.109375	-60.777336
4005.175781	-61.420414
4048.242188	-61.467617
4091.308594	-61.210594
4134.375000	-60.470860
4177.441406	-58.919781
4220.507813	-56.552460
4263.574219	-52.130882
4306.640625	-40.213558
4349.707031	-42.118732
4392.773438	-52.276127
4435.839844	-56.035427
4478.906250	-58.023140
4521.972656	-58.825119
4565.039063	-60.256676
4608.105469	-62.067993
4651.171875	-62.333385
4694.238281	-63.234135
4737.304688	-62.940208
4780.371094	-62.789059
4823.437500	-62.045818
4866.503906	-60.476120
4909.570313	-58.414879
4952.636719	-54.995018
4995.703125	-46.209850
5038.769531	-38.454823
5081.835938	-48.030102
5124.902344	-54.854576
5167.968750	-58.591011
5211.035156	-60.960384
5254.101563	-62.171978
5297.167969	-62.942287
5340.234375	-63.512775
5383.300781	-63.795170
5426.367188	-63.826935
5469.433594	-63.448910
5512.500000	-62.669270
5555.566406	-61.703762
5598.632813	-59.293999
5641.699219	-56.092327
5684.765625	-53.548874
5727.832031	-44.212902
5770.898438	-40.707336
5813.964844	-51.223148
5857.031250	-57.650265
5900.097656	-60.277843
5943.164063	-62.201073
5986.230469	-63.374508
6029.296875	-64.281326
6072.363281	-64.080688
6115.429688	-64.325294
6158.496094	-64.154633
6201.562500	-65.241234
6244.628906	-66.338493
6287.695313	-66.896149
6330.761719	-66.980827
6373.828125	-66.591446
6416.894531	-65.350388
6459.960938	-60.364914
6503.027344	-56.956261
6546.093750	-64.069687
6589.160156	-65.870735
6632.226563	-66.619743
6675.292969	-66.776787
6718.359375	-65.971214
6761.425781	-66.890831
6804.492188	-68.385063
6847.558594	-69.202469
6890.625000	-69.406876
6933.691406	-69.191658
6976.757813	-69.358780
7019.824219	-69.175774
7062.890625	-68.529701
7105.957031	-66.733643
7149.023438	-62.130386
7192.089844	-54.675358
7235.156250	-56.993004
7278.222656	-63.776417
7321.289063	-66.188576
7364.355469	-68.399620
7407.421875	-69.771294
7450.488281	-70.260277
7493.554688	-70.804237
7536.621094	-70.976013
7579.687500	-71.100906
7622.753906	-71.199944
7665.820313	-71.197449
7708.886719	-71.008125
7751.953125	-71.046608
7795.019531	-70.030052
7838.085938	-68.891312
7881.152344	-64.377098
7924.218750	-58.094391
7967.285156	-61.357845
8010.351563	-68.264839
8053.417969	-70.204369
8096.484375	-71.296150
8139.550781	-71.759003
8182.617188	-72.051010
8225.683594	-72.091095
8268.750000	-72.348289
8311.816406	-72.449989
8354.882813	-72.312691
8397.949219	-72.463104
8441.015625	-72.130447
8484.082031	-72.043449
8527.148438	-71.914505
8570.214844	-72.058174
8613.281250	-70.856773
8656.347656	-70.557289
8699.414063	-72.124237
8742.480469	-72.840752
8785.546875	-73.098663
8828.613281	-73.152382
8871.679688	-73.276840
8914.746094	-73.397026
8957.812500	-73.442657
9000.878906	-73.351006
9043.945313	-73.451042
9087.011719	-73.584152
9130.078125	-73.536751
9173.144531	-73.650612
9216.210938	-73.585777
9259.277344	-73.527390
9302.343750	-73.402588
9345.410156	-73.132568
9388.476563	-72.914742
9431.542969	-73.590874
9474.609375	-73.879288
9517.675781	-73.811470
9560.742188	-73.965263
9603.808594	-74.035339
9646.875000	-74.099693
9689.941406	-74.120499
9733.007813	-74.194679
9776.074219	-74.232048
9819.140625	-74.267899
9862.207031	-74.306572
9905.273438	-74.346306
9948.339844	-74.377106
9991.406250	-74.389114
10034.472656	-74.361610
10077.539063	-74.077362
10120.605469	-73.925674
10163.671875	-74.438179
10206.738281	-74.624084
10249.804688	-74.616524
10292.871094	-74.665985
10335.937500	-74.703621
10379.003906	-74.728828
10422.070313	-74.773781
10465.136719	-74.797798
10508.203125	-74.834183
10551.269531	-74.862511
10594.335938	-74.897072
10637.402344	-74.930168
10680.468750	-74.938942
10723.535156	-75.016907
10766.601563	-74.908211
10809.667969	-74.921654
10852.734375	-75.059967
10895.800781	-75.146706
10938.867188	-75.164673
10981.933594	-75.196098
11025.000000	-75.209999
11068.066406	-75.260605
11111.132813	-75.289238
11154.199219	-75.301788
11197.265625	-75.350464
11240.332031	-75.375229
11283.398438	-75.401543
11326.464844	-75.431862
11369.531250	-75.458420
11412.597656	-75.497040
11455.664063	-75.518829
11498.730469	-75.538994
11541.796875	-75.576607
11584.863281	-75.596199
11627.929688	-75.622444
11670.996094	-75.631676
11714.062500	-75.683746
11757.128906	-75.721138
11800.195313	-75.725449
11843.261719	-75.756058
11886.328125	-75.781197
11929.394531	-75.808159
11972.460938	-75.827744
12015.527344	-75.881668
12058.593750	-75.905655
12101.660156	-75.905685
12144.726563	-75.929688
12187.792969	-75.964165
12230.859375	-75.984947
12273.925781	-76.004318
12316.992188	-76.034073
12360.058594	-76.034592
12403.125000	-76.069489
12446.191406	-76.121338
12489.257813	-76.122055
12532.324219	-76.118256
12575.390625	-76.165169
12618.457031	-76.198753
12661.523438	-76.242722
12704.589844	-76.247406
12747.656250	-76.269913
12790.722656	-76.295868
12833.789063	-76.320847
12876.855469	-76.339920
12919.921875	-76.362366
12962.988281	-76.388466
13006.054688	-76.411110
13049.121094	-76.416977
13092.187500	-76.448311
13135.253906	-76.487030
13178.320313	-76.480179
13221.386719	-76.492867
13264.453125	-76.532494
13307.519531	-76.545990
13350.585938	-76.570938
13393.652344	-76.608727
13436.718750	-76.623413
13479.785156	-76.628807
13522.851563	-76.649071
13565.917969	-76.681198
13608.984375	-76.692276
13652.050781	-76.677414
13695.117188	-76.734116
13738.183594	-76.743996
13781.250000	-76.776573
13824.316406	-76.787697
13867.382813	-76.808510
13910.449219	-76.816643
13953.515625	-76.832703
13996.582031	-76.870560
14039.648438	-76.890739
14082.714844	-76.926048
14125.781250	-76.918030
14168.847656	-76.902946
14211.914063	-76.957771
14254.980469	-76.989685
14298.046875	-77.001694
14341.113281	-77.005600
14384.179688	-77.027054
14427.246094	-77.024208
14470.312500	-77.070465
14513.378906	-77.062622
14556.445313	-77.099754
14599.511719	-77.108894
14642.578125	-77.132179
14685.644531	-77.135674
14728.710938	-77.167961
14771.777344	-77.141106
14814.843750	-77.175423
14857.910156	-77.175766
14900.976563	-77.229187
14944.042969	-77.270622
14987.109375	-77.253395
15030.175781	-77.249237
15073.242188	-77.287468
15116.308594	-77.272705
15159.375000	-77.326385
15202.441406	-77.316048
15245.507813	-77.348480
15288.574219	-77.385193
15331.640625	-77.355621
15374.707031	-77.396088
15417.773438	-77.410995
15460.839844	-77.386284
15503.906250	-77.442650
15546.972656	-77.457916
15590.039063	-77.475914
15633.105469	-77.486794
15676.171875	-77.499298
15719.238281	-77.468117
15762.304688	-77.505684
15805.371094	-77.525124
15848.437500	-77.558891
15891.503906	-77.495262
15934.570313	-77.566902
15977.636719	-77.611282
16020.703125	-77.620445
16063.769531	-77.616936
16106.835938	-77.632103
16149.902344	-77.638252
16192.968750	-77.661438
16236.035156	-77.626389
16279.101563	-77.665520
16322.167969	-77.716545
16365.234375	-77.703552
16408.300781	-77.687248
16451.367188	-77.722816
16494.433594	-77.716560
16537.500000	-77.746262
16580.566406	-77.746483
16623.632813	-77.764191
16666.699219	-77.800552
16709.765625	-77.748978
16752.832031	-77.839561
16795.898438	-77.797981
16838.964844	-77.826752
16882.031250	-77.843262
16925.097656	-77.826309
16968.164063	-77.864792
17011.230469	-77.893036
17054.296875	-77.858582
17097.363281	-77.890526
17140.429688	-77.871040
17183.496094	-77.919167
17226.562500	-77.920502
17269.628906	-77.916016
17312.695313	-77.931534
17355.761719	-77.928078
17398.828125	-77.966690
17441.894531	-77.982727
17484.960938	-77.982513
17528.027344	-77.979912
17571.093750	-77.994202
17614.160156	-77.997704
17657.226563	-78.000465
17700.292969	-78.034203
17743.359375	-78.064087
17786.425781	-78.047012
17829.492188	-78.055252
17872.558594	-78.067192
17915.625000	-78.085869
17958.691406	-78.076462
18001.757813	-78.090416
18044.824219	-78.101433
18087.890625	-78.119980
18130.957031	-78.110565
