Frecuencia (Hz)	Nivel (dB)
43.066406	-55.019562
86.132813	-54.881012
129.199219	-54.654999
172.265625	-54.329399
215.332031	-53.898331
258.398438	-53.382061
301.464844	-52.733307
344.531250	-51.975224
387.597656	-51.055611
430.664063	-49.968693
473.730469	-48.654469
516.796875	-47.060673
559.863281	-45.052429
602.929688	-42.289764
645.996094	-38.319180
689.062500	-30.632061
732.128906	-22.095097
775.195313	-35.850277
818.261719	-40.853149
861.328125	-43.956734
904.394531	-46.209511
947.460938	-47.953476
990.527344	-49.324566
1033.593750	-50.481468
1076.660156	-51.415482
1119.726563	-52.152031
1162.792969	-52.693748
1205.859375	-52.966480
1248.925781	-52.888107
1291.992188	-52.286858
1335.058594	-50.772419
1378.125000	-47.450939
1421.191406	-38.716465
1464.257813	-37.030968
1507.324219	-47.161926
1550.390625	-51.099522
1593.457031	-53.318588
1636.523438	-54.677464
1679.589844	-55.560478
1722.656250	-56.089275
1765.722656	-56.392769
1808.789063	-56.479061
1851.855469	-56.261440
1894.921875	-55.889221
1937.988281	-54.949677
1981.054688	-53.633072
2024.121094	-52.083870
2067.187500	-49.404408
2110.253906	-44.798141
2153.320313	-30.518724
2196.386719	-38.394901
2239.453125	-46.689281
2282.519531	-50.328350
2325.585938	-52.672203
2368.652344	-54.261875
2411.718750	-55.156284
2454.785156	-55.581001
2497.851563	-55.659786
2540.917969	-55.421463
2583.984375	-54.920071
2627.050781	-54.075436
2670.117188	-52.874844
2713.183594	-51.258778
2756.250000	-48.948685
2799.316406	-45.625015
2842.382813	-39.011929
2885.449219	-24.565083
2928.515625	-36.807461
2971.582031	-44.361656
3014.648438	-48.285461
3057.714844	-50.896507
3100.781250	-52.726612
3143.847656	-54.210304
3186.914063	-55.464588
3229.980469	-56.457039
3273.046875	-57.357475
3316.113281	-58.068047
3359.179688	-58.246277
3402.246094	-58.325405
3445.312500	-57.990921
3488.378906	-57.609425
3531.445313	-55.768833
3574.511719	-47.255283
3617.578125	-44.043221
3660.644531	-54.764580
3703.710938	-58.357910
3746.777344	-60.150486
3789.843750	-61.124329
3832.910156	-61.547863
3875.976563	-61.859520
3919.042969	-62.052933
3962.109375	-62.225941
4005.175781	-62.430809
4048.242188	-62.743912
4091.308594	-62.737408
4134.375000	-62.249496
4177.441406	-61.241863
4220.507813	-59.432495
4263.574219	-55.707726
4306.640625	-44.943821
4349.707031	-44.009140
4392.773438	-55.164207
4435.839844	-58.999779
4478.906250	-60.726368
4521.972656	-60.993675
4565.039063	-62.189331
4608.105469	-63.475491
4651.171875	-63.938179
4694.238281	-64.182228
4737.304688	-63.806896
4780.371094	-63.411983
4823.437500	-62.857445
4866.503906	-61.483910
4909.570313	-59.624580
4952.636719	-56.747875
4995.703125	-49.038620
5038.769531	-39.150703
5081.835938	-45.272251
5124.902344	-54.383793
5167.968750	-58.443558
