Frecuencia (Hz)	Nivel (dB)
43.066406	-45.006386
86.132813	-44.846115
129.199219	-44.582630
172.265625	-44.201366
215.332031	-43.693974
258.398438	-43.089054
301.464844	-42.329330
344.531250	-41.415298
387.597656	-40.318909
430.664063	-38.988770
473.730469	-37.353310
516.796875	-35.259941
559.863281	-32.451538
602.929688	-28.205664
645.996094	-19.383343
689.062500	-16.709499
732.128906	-27.343313
775.195313	-31.957300
818.261719	-34.934616
861.328125	-37.123409
904.394531	-38.854515
947.460938	-40.275558
990.527344	-41.473495
1033.593750	-42.490654
1076.660156	-43.360870
1119.726563	-44.090084
1162.792969	-44.663303
1205.859375	-44.983719
1248.925781	-44.722256
1291.992188	-42.476910
1335.058594	-27.369795
1378.125000	-39.799957
1421.191406	-44.900726
1464.257813	-46.700878
1507.324219	-47.567966
1550.390625	-48.093006
1593.457031	-48.370266
1636.523438	-48.485390
1679.589844	-48.413647
1722.656250	-48.137798
1765.722656	-47.571636
1808.789063	-46.658489
1851.855469	-45.220829
1894.921875	-42.825493
1937.988281	-39.133102
1981.054688	-31.079086
2024.121094	-23.183929
2067.187500	-37.314617
2110.253906	-41.960098
2153.320313	-44.764637
2196.386719	-46.500927
2239.453125	-47.711403
2282.519531	-48.802837
2325.585938	-49.578201
2368.652344	-50.077831
2411.718750	-50.305885
2454.785156	-50.257309
2497.851563	-49.736233
2540.917969	-48.679153
2583.984375	-46.561123
2627.050781	-42.437416
2670.117188	-30.403183
2713.183594	-34.338947
2756.250000	-42.778408
2799.316406	-46.315819
2842.382813	-48.695702
2885.449219	-50.452011
2928.515625	-51.388157
2971.582031	-51.899632
3014.648438	-52.191387
3057.714844	-52.349781
3100.781250	-52.107822
3143.847656	-51.540859
3186.914063	-50.422688
3229.980469	-48.437439
3273.046875	-45.032410
3316.113281	-37.484119
3359.179688	-25.442509
3402.246094	-40.347263
3445.312500	-46.193684
3488.378906	-49.189045
3531.445313	-51.136219
3574.511719	-52.343693
3617.578125	-53.171360
3660.644531	-53.620296
3703.710938	-53.906052
3746.777344	-53.821499
3789.843750	-53.227634
3832.910156	-52.340363
3875.976563	-50.738663
3919.042969	-48.221436
3962.109375	-44.280506
4005.175781	-32.970253
4048.242188	-32.298370
4091.308594	-43.666912
4134.375000	-47.949986
4177.441406	-50.396370
4220.507813	-52.038002
4263.574219	-53.285587
4306.640625	-54.158554
4349.707031	-54.772503
4392.773438	-54.830784
4435.839844	-54.890678
4478.906250	-55.347481
4521.972656	-55.872967
4565.039063	-55.908512
4608.105469	-55.903900
4651.171875	-52.755398
4694.238281	-45.385475
4737.304688	-53.060543
4780.371094	-56.765034
4823.437500	-57.445446
4866.503906	-57.839325
4909.570313	-57.917850
4952.636719	-57.862587
4995.703125	-56.880936
5038.769531	-55.663605
5081.835938	-56.387558
5124.902344	-56.758392
5167.968750	-56.768005
5211.035156	-55.792370
5254.101563	-54.121208
5297.167969	-50.853039
5340.234375	-40.164562
5383.300781	-35.365192
5426.367188	-48.801128
5469.433594	-53.322620
5512.500000	-55.274166
5555.566406	-55.906078
5598.632813	-56.410301
5641.699219	-56.769112
5684.765625	-57.355228
5727.832031	-58.180103
5770.898438	-58.935627
5813.964844	-59.226677
5857.031250	-59.190598
5900.097656	-58.837967
5943.164063	-57.646793
5986.230469	-54.379097
6029.296875	-46.704758
6072.363281	-45.393635
6115.429688	-53.750111
6158.496094	-56.400387
6201.562500	-58.109932
6244.628906	-59.447956
6287.695313	-59.759811
6330.761719	-60.088806
6373.828125	-59.964062
6416.894531	-59.814518
6459.960938	-59.413570
6503.027344	-58.709671
6546.093750	-57.410076
6589.160156	-55.619167
6632.226563	-52.323841
6675.292969	-43.216217
6718.359375	-35.977444
6761.425781	-45.483158
6804.492188	-52.578880
6847.558594	-56.146530
6890.625000	-58.059277
6933.691406	-59.368179
6976.757813	-60.211586
7019.824219	-60.666985
7062.890625	-61.219215
7105.957031	-61.571674
7149.023438	-61.801720
7192.089844	-61.688290
7235.156250	-61.542038
7278.222656	-60.539524
7321.289063	-58.793610
7364.355469	-52.682812
7407.421875	-51.816322
