Frecuencia (Hz)	Nivel (dB)
43.066406	-51.939293
86.132813	-51.783222
129.199219	-51.530212
172.265625	-51.144516
215.332031	-50.642677
258.398438	-50.008331
301.464844	-49.247265
344.531250	-48.337978
387.597656	-47.214493
430.664063	-45.872147
473.730469	-44.210529
516.796875	-42.087719
559.863281	-39.209473
602.929688	-34.808064
645.996094	-25.259613
689.062500	-24.950455
732.128906	-34.705002
775.195313	-39.160046
818.261719	-42.070766
861.328125	-44.221111
904.394531	-45.936378
947.460938	-47.347469
990.527344	-48.538303
1033.593750	-49.597183
1076.660156	-50.494465
1119.726563	-51.291069
1162.792969	-51.968781
1205.859375	-52.542698
1248.925781	-52.839096
1291.992188	-52.137585
1335.058594	-36.455219
1378.125000	-51.938496
1421.191406	-54.353065
1464.257813	-55.228291
1507.324219	-55.687317
1550.390625	-56.039463
1593.457031	-56.241417
1636.523438	-56.368103
1679.589844	-56.415646
1722.656250	-56.247223
1765.722656	-55.873501
1808.789063	-55.145832
1851.855469	-53.926632
1894.921875	-51.777977
1937.988281	-47.840565
1981.054688	-38.526661
2024.121094	-36.690281
2067.187500	-47.518974
2110.253906	-51.764542
2153.320313	-54.265312
2196.386719	-55.938435
2239.453125	-56.683266
2282.519531	-57.688946
2325.585938	-58.482128
2368.652344	-59.221931
2411.718750	-59.611027
2454.785156	-59.918781
2497.851563	-60.121700
2540.917969	-60.112083
2583.984375	-59.555058
2627.050781	-57.006565
2670.117188	-44.413151
2713.183594	-54.809750
2756.250000	-59.105907
2799.316406	-60.103199
2842.382813	-61.128105
2885.449219	-61.580826
2928.515625	-61.435280
2971.582031	-61.405136
3014.648438	-61.189297
3057.714844	-60.836235
3100.781250	-60.123493
3143.847656	-59.082088
3186.914063	-57.579582
3229.980469	-55.151535
3273.046875	-50.916580
3316.113281	-40.874146
3359.179688	-37.830864
3402.246094	-50.278198
3445.312500	-54.618118
3488.378906	-57.304165
3531.445313	-58.969147
3574.511719	-60.282276
3617.578125	-61.226177
3660.644531	-61.823025
3703.710938	-62.300140
3746.777344	-62.503841
3789.843750	-62.711357
3832.910156	-62.370693
3875.976563	-61.524570
3919.042969	-59.199574
3962.109375	-53.953060
4005.175781	-43.419498
4048.242188	-52.004612
4091.308594	-59.541512
4134.375000	-62.466557
4177.441406	-63.859867
4220.507813	-64.654106
4263.574219	-65.140335
4306.640625	-65.345215
4349.707031	-65.423500
4392.773438	-65.284103
4435.839844	-64.808792
4478.906250	-63.937859
4521.972656	-64.624741
4565.039063	-64.944115
4608.105469	-63.886623
4651.171875	-56.689564
4694.238281	-55.345856
4737.304688	-64.811028
4780.371094	-66.395416
4823.437500	-67.058525
4866.503906	-66.920242
4909.570313	-67.021973
4952.636719	-66.860031
4995.703125	-66.721786
5038.769531	-65.266685
5081.835938	-64.572250
5124.902344	-66.041000
5167.968750	-65.980858
5211.035156	-65.311180
5254.101563	-63.321632
5297.167969	-57.932526
5340.234375	-48.200478
5383.300781	-53.071579
5426.367188	-61.868042
5469.433594	-65.256668
5512.500000	-66.393745
5555.566406	-66.443893
5598.632813	-66.432571
5641.699219	-66.999046
5684.765625	-67.697060
5727.832031	-68.154404
5770.898438	-68.960648
5813.964844	-69.082397
5857.031250	-68.888481
