Frecuencia (Hz)	Nivel (dB)
43.066406	-52.934200
86.132813	-52.746143
129.199219	-52.376148
172.265625	-51.918266
215.332031	-51.297573
258.398438	-50.500870
301.464844	-49.527538
344.531250	-48.293156
387.597656	-46.804005
430.664063	-44.903210
473.730469	-42.340744
516.796875	-38.594002
559.863281	-31.719858
602.929688	-15.322174
645.996094	-34.651146
689.062500	-40.033520
732.128906	-43.293797
775.195313	-45.619019
818.261719	-47.373692
861.328125	-48.739044
904.394531	-49.813507
947.460938	-50.557682
990.527344	-50.940929
1033.593750	-50.772270
1076.660156	-49.672276
1119.726563	-46.848000
1162.792969	-39.442028
1205.859375	-30.132061
1248.925781	-44.927082
1291.992188	-49.247307
1335.058594	-51.668491
1378.125000	-53.201828
1421.191406	-54.205299
1464.257813	-54.900753
1507.324219	-55.232258
1550.390625	-55.225368
1593.457031	-54.872429
1636.523438	-53.910652
1679.589844	-52.042824
1722.656250	-48.299721
1765.722656	-38.807785
1808.789063	-32.932621
1851.855469	-47.514580
1894.921875	-51.891064
1937.988281	-54.346745
1981.054688	-56.054298
2024.121094	-57.124115
2067.187500	-58.094749
2110.253906	-58.411335
2153.320313	-58.581909
2196.386719	-58.081066
2239.453125	-57.395222
2282.519531	-56.388092
2325.585938	-53.413948
2368.652344	-43.422554
2411.718750	-39.757450
2454.785156	-53.020969
2497.851563	-56.796097
2540.917969	-58.788864
2583.984375	-59.925663
2627.050781	-60.438419
2670.117188	-60.206566
2713.183594	-59.762238
2756.250000	-60.696735
2799.316406	-60.658875
2842.382813	-59.888733
2885.449219	-58.065727
2928.515625	-54.281502
2971.582031	-42.465256
3014.648438	-41.437298
3057.714844	-54.086460
3100.781250	-58.207924
3143.847656	-60.154339
3186.914063	-61.348789
3229.980469	-61.409367
3273.046875	-61.550407
3316.113281	-62.118130
3359.179688	-62.900227
3402.246094	-62.419491
3445.312500	-61.619957
3488.378906	-59.668560
3531.445313	-55.545692
3574.511719	-43.298969
3617.578125	-44.365086
3660.644531	-56.344204
3703.710938	-60.096069
3746.777344	-62.163078
3789.843750	-62.969013
3832.910156	-63.124218
3875.976563	-63.764252
3919.042969	-64.517242
3962.109375	-65.180458
4005.175781	-65.045456
4048.242188	-64.474236
4091.308594	-62.944210
4134.375000	-57.844536
4177.441406	-49.141136
4220.507813	-49.735023
4263.574219	-60.317711
4306.640625	-63.509529
4349.707031	-64.220139
4392.773438	-64.897377
4435.839844	-64.222023
4478.906250	-64.614197
4521.972656	-64.698502
4565.039063	-64.711105
4608.105469	-63.662552
4651.171875	-62.057137
4694.238281	-58.996346
4737.304688	-51.819901
4780.371094	-44.103020
4823.437500	-44.731209
4866.503906	-56.126789
4909.570313	-59.672832
4952.636719	-61.249527
4995.703125	-61.893856
5038.769531	-63.536400
5081.835938	-65.355568
5124.902344	-66.032524
5167.968750	-66.649101
5211.035156	-66.610603
5254.101563	-66.030212
5297.167969	-64.499702
5340.234375	-58.739716
5383.300781	-53.896519
5426.367188	-53.614719
5469.433594	-60.946903
5512.500000	-62.618790
5555.566406	-64.990448
5598.632813	-66.149643
5641.699219	-66.955276
5684.765625	-67.514519
5727.832031	-66.990570
5770.898438	-66.596924
5813.964844	-65.416954
5857.031250	-63.674576
5900.097656	-60.083344
5943.164063	-50.705170
5986.230469	-46.705070
6029.296875	-49.018314
6072.363281	-58.221912
6115.429688	-61.460030
6158.496094	-64.546196
6201.562500	-66.204643
6244.628906	-67.326988
6287.695313	-68.369347
6330.761719	-68.784142
6373.828125	-69.232986
6416.894531	-69.184479
6459.960938	-68.698166
6503.027344	-67.435036
6546.093750	-63.022980
6589.160156	-57.099400
6632.226563	-56.979153
6675.292969	-64.125099
6718.359375	-66.242706
6761.425781	-69.000267
6804.492188	-70.084412
6847.558594	-70.685425
6890.625000	-71.155777
6933.691406	-71.008263
6976.757813	-70.876991
7019.824219	-70.550644
7062.890625	-69.412781
7105.957031	-65.483582
7149.023438	-57.255833
7192.089844	-57.558460
7235.156250	-61.704559
7278.222656	-68.472664
7321.289063	-70.855972
7364.355469	-71.678024
7407.421875	-72.300873
7450.488281	-72.487137
7493.554688	-72.789131
7536.621094	-72.929108
7579.687500	-73.056282
7622.753906	-73.034393
7665.820313	-72.925911
7708.886719	-71.849480
7751.953125	-68.385971
7795.019531	-65.921967
7838.085938	-67.756325
7881.152344	-71.761848
7924.218750	-72.549576
7967.285156	-73.474060
8010.351563	-73.435486
8053.417969	-73.652542
8096.484375	-73.827835
8139.550781	-73.885689
8182.617188	-73.969688
8225.683594	-73.955963
8268.750000	-73.977081
8311.816406	-73.095657
8354.882813	-71.142876
8397.949219	-69.815956
8441.015625	-70.616417
8484.082031	-73.533310
8527.148438	-74.123672
8570.214844	-74.317322
8613.281250	-74.447342
8656.347656	-74.514954
8699.414063	-74.582199
8742.480469	-74.634895
8785.546875	-74.690445
8828.613281	-74.720566
8871.679688	-74.651260
8914.746094	-74.485588
8957.812500	-73.631516
9000.878906	-73.411079
9043.945313	-73.973953
9087.011719	-74.746269
9130.078125	-74.860390
9173.144531	-75.010834
9216.210938	-75.149719
9259.277344	-75.131180
9302.343750	-75.178970
9345.410156	-75.186508
9388.476563	-75.316086
9431.542969	-75.265816
9474.609375	-75.219688
9517.675781	-75.076195
9560.742188	-74.824112
9603.808594	-74.888237
9646.875000	-75.092140
9689.941406	-75.433815
9733.007813	-75.507576
9776.074219	-75.555473
9819.140625	-75.508240
9862.207031	-75.629082
9905.273438	-75.646255
9948.339844	-75.690109
9991.406250	-75.702599
10034.472656	-75.766769
10077.539063	-75.689247
10120.605469	-75.674950
10163.671875	-75.675606
10206.738281	-75.568138
10249.804688	-75.795647
10292.871094	-75.930679
10335.937500	-76.009209
10379.003906	-76.017952
10422.070313	-76.064293
10465.136719	-76.115425
10508.203125	-76.162880
10551.269531	-76.158920
10594.335938	-76.212654
10637.402344	-76.246872
10680.468750	-76.283470
10723.535156	-76.259247
10766.601563	-76.274704
10809.667969	-76.302948
10852.734375	-76.403046
10895.800781	-76.375114
10938.867188	-76.417915
10981.933594	-76.446373
11025.000000	-76.503014
11068.066406	-76.515602
11111.132813	-76.571007
11154.199219	-76.509621
11197.265625	-76.625465
11240.332031	-76.633827
11283.398438	-76.676392
11326.464844	-76.703087
11369.531250	-76.649323
11412.597656	-76.687477
11455.664063	-76.767548
11498.730469	-76.779877
11541.796875	-76.884399
11584.863281	-76.852097
11627.929688	-76.902512
11670.996094	-76.907463
11714.062500	-76.905998
11757.128906	-76.951279
11800.195313	-76.852730
11843.261719	-76.988403
11886.328125	-77.097610
11929.394531	-77.062820
11972.460938	-77.021729
12015.527344	-77.105072
12058.593750	-77.109200
12101.660156	-77.118500
12144.726563	-77.246605
12187.792969	-77.154655
12230.859375	-77.256065
12273.925781	-77.257317
12316.992188	-77.273003
12360.058594	-77.283775
12403.125000	-77.332298
12446.191406	-77.329727
12489.257813	-77.414932
12532.324219	-77.383652
12575.390625	-77.420013
12618.457031	-77.411430
12661.523438	-77.406113
12704.589844	-77.474739
12747.656250	-77.508362
12790.722656	-77.455338
12833.789063	-77.558105
12876.855469	-77.547501
12919.921875	-77.570091
12962.988281	-77.578972
13006.054688	-77.555405
13049.121094	-77.611481
13092.187500	-77.664749
13135.253906	-77.699196
13178.320313	-77.723213
13221.386719	-77.714607
13264.453125	-77.639755
13307.519531	-77.715828
13350.585938	-77.811951
13393.652344	-77.799187
13436.718750	-77.807350
13479.785156	-77.809509
13522.851563	-77.765266
13565.917969	-77.855057
13608.984375	-77.926285
13652.050781	-77.909523
13695.117188	-77.914764
13738.183594	-77.920906
13781.250000	-77.965843
13824.316406	-77.978516
13867.382813	-77.951454
13910.449219	-78.010193
13953.515625	-77.956596
13996.582031	-78.038147
14039.648438	-78.151894
14082.714844	-78.043159
14125.781250	-78.074600
14168.847656	-78.124832
14211.914063	-78.179176
14254.980469	-78.110863
14298.046875	-78.120674
14341.113281	-78.159470
14384.179688	-78.284218
14427.246094	-78.216362
14470.312500	-78.198616
14513.378906	-78.257042
14556.445313	-78.174896
14599.511719	-78.294159
14642.578125	-78.283188
14685.644531	-78.323372
14728.710938	-78.328873
14771.777344	-78.330551
14814.843750	-78.370506
14857.910156	-78.381966
14900.976563	-78.414970
14944.042969	-78.328995
14987.109375	-78.411316
15030.175781	-78.407547
15073.242188	-78.430305
15116.308594	-78.421623
15159.375000	-78.411087
15202.441406	-78.491371
15245.507813	-78.538643
15288.574219	-78.525551
15331.640625	-78.533043
15374.707031	-78.556404
15417.773438	-78.620087
15460.839844	-78.572403
15503.906250	-78.586281
15546.972656	-78.596817
15590.039063	-78.567558
15633.105469	-78.586449
15676.171875	-78.655830
15719.238281	-78.611168
15762.304688	-78.813667
15805.371094	-78.690239
15848.437500	-78.715469
15891.503906	-78.706703
15934.570313	-78.801041
15977.636719	-78.762962
16020.703125	-78.721359
16063.769531	-78.733292
16106.835938	-78.802155
16149.902344	-78.786446
16192.968750	-78.746391
16236.035156	-78.857491
16279.101563	-78.792564
16322.167969	-78.810547
16365.234375	-78.933105
16408.300781	-78.828445
16451.367188	-78.815094
16494.433594	-78.872688
16537.500000	-78.869850
16580.566406	-78.908226
16623.632813	-78.920349
16666.699219	-78.915329
16709.765625	-78.945503
16752.832031	-78.924858
16795.898438	-78.891563
16838.964844	-78.933907
16882.031250	-78.967270
16925.097656	-78.979294
16968.164063	-78.919991
17011.230469	-79.022942
17054.296875	-78.898903
17097.363281	-79.019089
17140.429688	-79.009537
17183.496094	-79.119736
17226.562500	-79.054047
17269.628906	-79.044716
17312.695313	-79.077667
17355.761719	-79.085579
17398.828125	-79.161339
17441.894531	-79.133766
17484.960938	-79.123749
17528.027344	-79.150871
17571.093750	-79.153717
17614.160156	-79.165718
17657.226563	-79.168022
17700.292969	-79.123688
17743.359375	-79.025459
17786.425781	-79.188751
17829.492188	-79.078194
17872.558594	-79.114479
17915.625000	-79.185478
17958.691406	-79.189003
18001.757813	-79.268730
18044.824219	-79.220398
18087.890625	-79.349220
18130.957031	-79.261688
18174.023438	-79.320343
18217.089844	-79.250626
18260.156250	-79.324646
18303.222656	-79.292587
18346.289063	-79.226936
18389.355469	-79.292458
18432.421875	-79.276207
18475.488281	-79.339981
18518.554688	-79.289474
18561.621094	-79.241013
18604.687500	-79.278839
18647.753906	-79.310104
18690.820313	-79.282074
18733.886719	-79.305351
18776.953125	-79.300308
18820.019531	-79.330513
18863.085938	-79.308861
18906.152344	-79.394249
18949.218750	-79.449806
18992.285156	-79.387108
19035.351563	-79.347588
19078.417969	-79.341072
19121.484375	-79.443977
19164.550781	-79.395844
19207.617188	-79.352386
19250.683594	-79.379097
19293.750000	-79.494202
19336.816406	-79.382240
19379.882813	-79.427475
19422.949219	-79.438766
19466.015625	-79.429787
19509.082031	-79.459610
19552.148438	-79.404121
19595.214844	-79.428650
19638.281250	-79.538406
19681.347656	-79.463585
19724.414063	-79.444206
19767.480469	-79.489471
19810.546875	-79.419868
19853.613281	-79.452797
19896.679688	-79.554222
19939.746094	-79.443588
19982.812500	-79.527222
20025.878906	-79.437920
20068.945313	-79.371765
20112.011719	-79.459496
20155.078125	-79.459961
20198.144531	-79.497337
20241.210938	-79.592133
20284.277344	-79.503548
20327.343750	-79.499634
20370.410156	-79.491631
