Frecuencia (Hz)	Nivel (dB)
43.066406	-52.088829
86.132813	-51.819771
129.199219	-51.554649
172.265625	-51.103302
215.332031	-50.453373
258.398438	-49.682518
301.464844	-48.680294
344.531250	-47.460957
387.597656	-45.953495
430.664063	-44.030247
473.730469	-41.464890
516.796875	-37.704014
559.863281	-30.773430
602.929688	-15.002213
645.996094	-33.845955
689.062500	-39.194611
732.128906	-42.445152
775.195313	-44.770157
818.261719	-46.514721
861.328125	-47.892700
904.394531	-48.955811
947.460938	-49.744770
990.527344	-50.127399
1033.593750	-50.020218
1076.660156	-49.011269
1119.726563	-46.289742
1162.792969	-38.942326
1205.859375	-30.046291
1248.925781	-44.534798
1291.992188	-48.841892
1335.058594	-51.213097
1378.125000	-52.649261
1421.191406	-53.633823
1464.257813	-54.199055
1507.324219	-54.507954
1550.390625	-54.464558
1593.457031	-54.025333
1636.523438	-52.995506
1679.589844	-51.062660
1722.656250	-47.401031
1765.722656	-38.100067
1808.789063	-31.927746
1851.855469	-45.973766
1894.921875	-50.497948
1937.988281	-53.097305
1981.054688	-54.745079
2024.121094	-55.923332
2067.187500	-56.781132
2110.253906	-57.275112
2153.320313	-57.499943
2196.386719	-57.252323
2239.453125	-56.433445
2282.519531	-55.229034
2325.585938	-52.127293
2368.652344	-42.097713
2411.718750	-40.182201
2454.785156	-52.245541
2497.851563	-56.032608
2540.917969	-58.014603
2583.984375	-59.232346
2627.050781	-59.975540
2670.117188	-60.233311
2713.183594	-59.620590
2756.250000	-59.909054
2799.316406	-60.273178
2842.382813	-59.715149
2885.449219	-57.981865
2928.515625	-53.542927
2971.582031	-42.588181
3014.648438	-42.800686
3057.714844	-54.517002
3100.781250	-58.187534
3143.847656	-59.993896
3186.914063	-61.030464
3229.980469	-61.164314
3273.046875	-61.229725
3316.113281	-61.578815
3359.179688	-61.962425
3402.246094	-61.707958
3445.312500	-60.875542
3488.378906	-58.892303
3531.445313	-54.028999
3574.511719	-42.927792
3617.578125	-45.220509
3660.644531	-56.202522
3703.710938	-60.099838
3746.777344	-61.988270
3789.843750	-63.057163
3832.910156	-63.204277
3875.976563	-63.507126
3919.042969	-64.286057
3962.109375	-64.822151
4005.175781	-64.999138
4048.242188	-64.729431
