Frecuencia (Hz)	Nivel (dB)
43,066406	-83,881531
86,132812	-84,138092
129,199219	-83,116753
172,265625	-82,869499
215,332031	-81,506241
258,398438	-82,399612
301,464844	-85,527107
344,531250	-85,268394
387,597656	-83,520264
430,664062	-80,153748
473,730469	-74,093880
516,796875	-67,384109
559,863281	-56,591984
602,929688	-31,206493
645,996094	-22,959297
689,062500	-26,678097
732,128906	-48,731804
775,195312	-62,651730
818,261719	-70,766403
861,328125	-76,684265
904,394531	-81,074295
947,460938	-83,705948
990,527344	-83,311897
1033,593750	-82,387451
1076,660156	-79,625504
1119,726562	-76,709854
1162,792969	-72,322647
1205,859375	-64,921471
1248,925781	-47,226517
1291,992188	-35,952965
1335,058594	-36,917183
1378,125000	-51,191074
1421,191406	-67,247772
1464,257812	-75,412758
1507,324219	-78,888184
1550,390625	-81,630470
1593,457031	-83,440765
1636,523438	-83,933495
1679,589844	-82,161003
1722,656250	-80,095917
1765,722656	-75,159668
1808,789062	-69,885971
1851,855469	-62,638977
1894,921875	-45,568184
1937,988281	-34,584316
1981,054688	-34,701271
2024,121094	-45,753853
2067,187500	-64,696083
2110,253906	-70,541710
2153,320312	-72,791565
2196,386719	-71,728798
2239,453125	-69,254578
2282,519531	-69,391769
2325,585938	-73,307014
2368,652344	-78,369354
2411,718750	-80,966621
2454,785156	-81,802155
2497,851562	-81,776154
2540,917969	-75,163956
2583,984375	-58,491932
2627,050781	-53,222332
2670,117188	-58,035778
2713,183594	-71,906822
2756,250000	-70,580261
2799,316406	-72,561447
2842,382812	-77,116783
2885,449219	-82,741890
2928,515625	-86,379517
2971,582031	-88,372414
3014,648438	-90,169861
3057,714844	-89,122795
3100,781250	-87,396568
3143,847656	-85,502724
3186,914062	-77,286819
3229,980469	-62,982010
3273,046875	-55,937088
3316,113281	-57,470394
3359,179688	-67,339905
3402,246094	-71,274147
3445,312500	-74,587494
3488,378906	-77,926628
3531,445312	-82,694794
3574,511719	-85,846588
3617,578125	-87,828850
3660,644531	-88,997871
3703,710938	-88,264130
3746,777344	-85,171219
3789,843750	-81,917038
3832,910156	-74,232506
3875,976562	-59,293343
3919,042969	-51,917110
3962,109375	-52,376251
4005,175781	-61,696510
4048,242188	-80,261711
4091,308594	-85,069916
4134,375000	-86,393784
4177,441406	-88,746864
4220,507812	-89,650269
4263,574219	-90,483047
4306,640625	-91,165092
4349,707031	-90,472351
4392,773438	-87,571869
4435,839844	-82,524673
4478,906250	-77,352264
4521,972656	-70,317505
4565,039062	-68,287560
4608,105469	-71,786697
4651,171875	-79,346832
4694,238281	-89,898727
4737,304688	-92,197495
4780,371094	-94,473038
4823,437500	-94,727615
4866,503906	-95,112320
4909,570312	-95,689423
4952,636719	-95,025688
4995,703125	-93,600281
