Frecuencia (Hz)	Nivel (dB)
43.066406	-51.667183
86.132813	-54.276245
129.199219	-62.260509
172.265625	-64.418098
215.332031	-66.583076
258.398438	-68.230728
301.464844	-68.822815
344.531250	-67.724037
387.597656	-64.667603
430.664063	-58.662136
473.730469	-49.149036
516.796875	-31.930117
559.863281	-18.482759
602.929688	-18.710527
645.996094	-32.972126
689.062500	-49.694653
732.128906	-58.846764
775.195313	-65.180702
818.261719	-69.112839
861.328125	-70.925667
904.394531	-71.279015
947.460938	-69.551971
990.527344	-67.653114
1033.593750	-63.053738
1076.660156	-56.281307
1119.726563	-31.636217
1162.792969	-25.831217
1205.859375	-31.751389
1248.925781	-52.786770
1291.992188	-59.958420
1335.058594	-63.763000
1378.125000	-66.254189
1421.191406	-68.365959
1464.257813	-68.832138
1507.324219	-68.521545
1550.390625	-67.006355
1593.457031	-65.163521
1636.523438	-59.982071
1679.589844	-46.459064
1722.656250	-34.497311
1765.722656	-34.965126
1808.789063	-47.609467
1851.855469	-59.206379
1894.921875	-65.378471
1937.988281	-68.921112
1981.054688	-70.845131
2024.121094	-70.193649
2067.187500	-69.413956
2110.253906	-68.221466
2153.320313	-64.392166
2196.386719	-57.428658
2239.453125	-51.203007
2282.519531	-44.459442
2325.585938	-41.100826
2368.652344	-48.092918
2411.718750	-61.497032
2454.785156	-64.597076
2497.851563	-66.776543
2540.917969	-68.413559
2583.984375	-68.908409
2627.050781	-67.383995
2670.117188	-64.156097
2713.183594	-58.625412
2756.250000	-56.064281
2799.316406	-57.223667
2842.382813	-57.928410
2885.449219	-53.014870
2928.515625	-53.969849
2971.582031	-63.018955
3014.648438	-67.851433
3057.714844	-70.214050
3100.781250	-71.103249
3143.847656	-70.672501
3186.914063	-69.421532
3229.980469	-66.173912
3273.046875	-61.180977
3316.113281	-59.268082
3359.179688	-61.631161
3402.246094	-64.212906
3445.312500	-62.994453
3488.378906	-61.103134
3531.445313	-66.258675
3574.511719	-70.711464
3617.578125	-72.512177
3660.644531	-73.953102
3703.710938	-73.806892
3746.777344	-73.003265
3789.843750	-71.051628
3832.910156	-66.609230
3875.976563	-63.851299
3919.042969	-64.702400
3962.109375	-66.856415
4005.175781	-68.694336
4048.242188	-68.185585
4091.308594	-69.012680
4134.375000	-72.975410
4177.441406	-75.183640
