Frecuencia (Hz)	Nivel (dB)
43,066406	-87,856461
86,132812	-82,310081
129,199219	-80,692955
172,265625	-81,280762
215,332031	-80,458633
258,398438	-81,450668
301,464844	-84,551712
344,531250	-87,038826
387,597656	-88,509140
430,664062	-90,349197
473,730469	-89,157944
516,796875	-87,622269
559,863281	-84,203506
602,929688	-80,982323
645,996094	-76,747681
689,062500	-71,828026
732,128906	-64,164291
775,195312	-53,838291
818,261719	-26,777874
861,328125	-19,104317
904,394531	-23,342459
947,460938	-47,175793
990,527344	-60,699909
1033,593750	-67,107712
1076,660156	-71,588356
1119,726562	-74,394295
1162,792969	-76,537346
1205,859375	-79,146332
1248,925781	-82,449242
1291,992188	-84,760651
1335,058594	-86,855194
1378,125000	-86,920471
1421,191406	-82,559914
1464,257812	-78,225540
1507,324219	-74,238930
1550,390625	-71,419334
1593,457031	-67,968109
1636,523438	-62,211456
1679,589844	-48,794674
1722,656250	-40,262421
1765,722656	-42,798939
1808,789062	-58,378414
1851,855469	-63,855930
1894,921875	-64,020981
1937,988281	-64,173828
1981,054688	-63,273540
2024,121094	-64,474136
2067,187500	-69,653114
2110,253906	-72,571609
2153,320312	-74,182999
2196,386719	-76,592216
2239,453125	-76,873848
2282,519531	-76,965813
2325,585938	-76,682014
2368,652344	-74,171181
2411,718750	-71,361465
2454,785156	-69,067406
2497,851562	-68,410690
2540,917969	-56,544891
2583,984375	-45,595173
2627,050781	-45,595150
2670,117188	-56,841816
2713,183594	-72,600334
2756,250000	-75,417107
2799,316406	-75,290649
2842,382812	-73,420860
2885,449219	-71,940849
2928,515625	-72,288239
2971,582031	-76,444176
3014,648438	-81,851059
3057,714844	-82,632668
3100,781250	-83,572166
3143,847656	-82,950310
3186,914062	-82,519608
3229,980469	-82,508080
3273,046875	-84,756531
3316,113281	-82,633537
3359,179688	-78,939301
3402,246094	-70,884552
3445,312500	-57,582523
3488,378906	-53,945534
3531,445312	-60,688629
3574,511719	-72,242195
3617,578125	-74,511772
3660,644531	-79,939926
3703,710938	-83,646271
3746,777344	-82,795647
3789,843750	-86,481697
3832,910156	-90,607246
3875,976562	-88,584938
3919,042969	-85,479736
3962,109375	-83,495407
4005,175781	-80,804390
4048,242188	-78,163925
4091,308594	-79,131042
4134,375000	-79,734924
4177,441406	-76,104027
4220,507812	-75,212532
4263,574219	-68,955391
4306,640625	-56,084774
4349,707031	-53,321770
4392,773438	-60,613232
4435,839844	-78,624741
4478,906250	-80,189278
4521,972656	-75,815201
4565,039062	-73,831718
4608,105469	-77,397491
4651,171875	-83,701759
4694,238281	-87,516876
4737,304688	-87,990311
4780,371094	-87,747765
4823,437500	-87,480171
4866,503906	-86,158302
4909,570312	-83,958099
4952,636719	-83,503197
4995,703125	-82,169716
5038,769531	-79,033455
5081,835938	-73,628708
5124,902344	-64,338745
5167,968750	-54,999100
5211,035156	-53,724087
5254,101562	-60,388988
5297,167969	-72,356583
5340,234375	-77,732841
5383,300781	-80,737648
5426,367188	-83,449356
5469,433594	-86,936203
5512,500000	-87,081154
5555,566406	-89,984299
5598,632812	-91,217781
5641,699219	-89,861923
5684,765625	-92,197861
5727,832031	-95,231781
5770,898438	-95,944664
5813,964844	-95,561272
5857,031250	-95,130768
5900,097656	-96,476311
5943,164062	-96,409828
5986,230469	-93,787491
6029,296875	-81,525154
6072,363281	-77,206360
6115,429688	-81,209724
6158,496094	-88,831512
6201,562500	-91,472122
6244,628906	-91,898987
6287,695312	-93,895515
6330,761719	-95,487404
6373,828125	-95,186615
6416,894531	-96,160019
6459,960938	-95,528358
6503,027344	-94,913864
6546,093750	-96,659126
6589,160156	-97,224930
6632,226562	-96,116829
6675,292969	-95,327614
6718,359375	-93,733795
6761,425781	-91,694351
6804,492188	-91,580070
6847,558594	-92,054871
6890,625000	-88,626854
6933,691406	-84,769333
6976,757812	-86,590065
7019,824219	-92,125748
7062,890625	-95,632713
7105,957031	-97,326324
7149,023438	-99,390976
7192,089844	-99,745453
7235,156250	-100,424843
7278,222656	-100,069756
7321,289062	-99,452118
7364,355469	-99,524902
7407,421875	-100,299171
7450,488281	-100,698471
7493,554688	-100,873215
7536,621094	-101,021782
7579,687500	-101,202240
7622,753906	-101,279434
7665,820312	-101,502449
7708,886719	-98,969299
7751,953125	-94,762512
7795,019531	-93,932152
7838,085938	-94,886353
7881,152344	-98,711075
7924,218750	-102,655281
7967,285156	-102,740387
8010,351562	-102,484268
8053,417969	-102,943512
8096,484375	-103,179016
8139,550781	-104,327805
8182,617188	-105,703194
8225,683594	-105,258583
8268,750000	-106,057983
8311,816406	-106,449738
8354,882812	-106,432709
8397,949219	-106,709114
8441,015625	-107,565819
8484,082031	-107,839180
8527,148438	-106,049942
8570,214844	-106,571884
8613,281250	-107,111954
8656,347656	-105,157471
8699,414062	-105,129929
8742,480469	-106,463226
8785,546875	-107,524086
8828,613281	-109,430893
8871,679688	-110,197655
8914,746094	-110,921539
8957,812500	-111,097824
9000,878906	-110,828140
9043,945312	-111,010750
9087,011719	-112,637398
9130,078125	-112,801949
9173,144531	-113,313194
9216,210938	-113,626518
9259,277344	-113,871330
9302,343750	-114,107140
9345,410156	-114,429001
9388,476562	-114,889069
9431,542969	-114,731888
9474,609375	-114,624794
9517,675781	-113,371193
9560,742188	-111,752373
9603,808594	-112,608437
9646,875000	-114,544716
9689,941406	-114,989578
9733,007812	-115,474640
9776,074219	-115,473816
9819,140625	-115,271622
9862,207031	-115,021194
9905,273438	-114,897903
9948,339844	-115,251709
9991,406250	-114,789604
10034,472656	-114,967659
10077,539062	-114,473503
10120,605469	-113,848854
10163,671875	-114,376328
10206,738281	-113,656075
10249,804688	-113,224365
10292,871094	-112,880951
10335,937500	-110,894646
10379,003906	-109,658722
10422,070312	-109,585129
10465,136719	-109,531212
10508,203125	-109,739914
10551,269531	-111,179817
10594,335938	-111,512756
10637,402344	-111,375771
10680,468750	-111,529526
10723,535156	-112,048042
10766,601562	-110,830093
10809,667969	-110,529381
10852,734375	-111,531357
10895,800781	-111,231911
10938,867188	-110,521530
10981,933594	-111,198776
11025,000000	-110,680618
11068,066406	-109,893906
11111,132812	-110,037865
11154,199219	-109,857681
11197,265625	-109,107834
11240,332031	-108,712311
11283,398438	-108,338181
11326,464844	-107,934769
11369,531250	-109,225830
11412,597656	-109,603409
11455,664062	-108,713974
11498,730469	-109,883682
11541,796875	-109,644165
11584,863281	-109,450668
11627,929688	-109,589600
11670,996094	-109,230431
11714,062500	-109,670563
11757,128906	-109,574707
11800,195312	-108,944740
11843,261719	-109,161613
11886,328125	-109,548798
11929,394531	-109,472900
11972,460938	-109,879196
12015,527344	-109,803703
12058,593750	-109,794388
12101,660156	-109,685661
12144,726562	-109,824043
12187,792969	-109,762672
12230,859375	-109,560165
12273,925781	-110,086319
12316,992188	-110,067703
12360,058594	-110,063934
12403,125000	-110,151367
12446,191406	-109,900597
12489,257812	-109,809731
12532,324219	-109,969475
12575,390625	-110,318192
12618,457031	-110,062920
12661,523438	-109,873756
12704,589844	-109,821793
12747,656250	-110,230576
12790,722656	-110,286499
12833,789062	-110,270103
12876,855469	-110,121269
12919,921875	-110,399048
12962,988281	-109,711655
13006,054688	-109,679680
13049,121094	-109,950699
13092,187500	-109,692436
13135,253906	-109,679642
13178,320312	-110,310402
13221,386719	-110,783142
13264,453125	-111,233208
13307,519531	-111,378746
13350,585938	-111,881073
13393,652344	-111,439270
13436,718750	-111,389290
13479,785156	-111,833099
13522,851562	-112,152702
13565,917969	-111,634964
13608,984375	-112,056000
13652,050781	-112,410904
13695,117188	-111,937012
13738,183594	-111,649979
13781,250000	-111,760826
13824,316406	-111,460045
13867,382812	-111,715538
13910,449219	-112,150009
13953,515625	-112,215904
13996,582031	-112,665123
14039,648438	-112,836296
14082,714844	-112,405502
14125,781250	-112,399529
14168,847656	-112,145714
14211,914062	-112,361023
14254,980469	-112,369049
14298,046875	-112,083420
14341,113281	-111,178078
14384,179688	-110,901047
14427,246094	-111,265762
14470,312500	-111,344505
14513,378906	-111,038536
14556,445312	-111,424522
14599,511719	-111,100143
14642,578125	-110,476845
14685,644531	-110,661781
14728,710938	-111,034668
14771,777344	-110,512009
14814,843750	-110,265564
14857,910156	-110,464874
14900,976562	-110,252731
14944,042969	-109,979027
14987,109375	-109,801880
15030,175781	-110,133553
15073,242188	-110,014900
15116,308594	-109,752327
15159,375000	-109,269173
15202,441406	-109,628960
15245,507812	-110,062775
15288,574219	-109,366791
15331,640625	-109,012360
15374,707031	-109,304253
15417,773438	-109,391747
15460,839844	-108,775558
