Frecuencia (Hz)	Nivel (dB)
43,066406	-89,014374
86,132812	-84,171577
129,199219	-82,143143
172,265625	-81,355751
215,332031	-81,654861
258,398438	-83,730850
301,464844	-86,139526
344,531250	-87,513100
387,597656	-86,943985
430,664062	-87,616585
473,730469	-85,200127
516,796875	-78,371384
559,863281	-64,687378
602,929688	-46,454426
645,996094	-40,005795
689,062500	-40,943039
732,128906	-38,908943
775,195312	-36,755680
818,261719	-36,398853
861,328125	-32,396088
904,394531	-35,915237
947,460938	-34,471916
990,527344	-31,331903
1033,593750	-33,085705
1076,660156	-41,307770
1119,726562	-35,071083
1162,792969	-31,265299
1205,859375	-38,591766
1248,925781	-51,530834
1291,992188	-49,349689
1335,058594	-54,209896
1378,125000	-63,812607
1421,191406	-68,733345
1464,257812	-69,571411
1507,324219	-61,057503
1550,390625	-60,186932
1593,457031	-67,590828
1636,523438	-70,229874
1679,589844	-64,378326
1722,656250	-59,897339
1765,722656	-60,155815
1808,789062	-68,601799
1851,855469	-59,739059
1894,921875	-50,179344
1937,988281	-47,511242
1981,054688	-49,056965
2024,121094	-54,584190
2067,187500	-53,950325
2110,253906	-60,932877
2153,320312	-73,028145
2196,386719	-70,212929
2239,453125	-60,066235
2282,519531	-52,081863
2325,585938	-51,735374
2368,652344	-58,873432
2411,718750	-61,843040
2454,785156	-61,705242
2497,851562	-58,780022
2540,917969	-58,368446
2583,984375	-54,194183
2627,050781	-50,509758
2670,117188	-56,203835
2713,183594	-70,350006
2756,250000	-66,965309
2799,316406	-66,547440
2842,382812	-61,828358
2885,449219	-52,803745
2928,515625	-47,847828
2971,582031	-49,603058
3014,648438	-54,356014
3057,714844	-52,097618
3100,781250	-54,544514
3143,847656	-63,761711
3186,914062	-73,842232
3229,980469	-70,794235
3273,046875	-68,509712
3316,113281	-68,060829
3359,179688	-63,631115
3402,246094	-53,752968
3445,312500	-48,789909
3488,378906	-46,055126
3531,445312	-48,690380
3574,511719	-60,424671
3617,578125	-65,722580
3660,644531	-68,512405
3703,710938	-71,084885
3746,777344	-69,409561
3789,843750	-65,448807
3832,910156	-61,242577
3875,976562	-59,904758
3919,042969	-58,499722
3962,109375	-60,007835
4005,175781	-61,249592
4048,242188	-54,037849
4091,308594	-52,224060
4134,375000	-54,934422
4177,441406	-62,291428
4220,507812	-66,660843
4263,574219	-68,795090
4306,640625	-66,119507
4349,707031	-58,556099
4392,773438	-56,456169
4435,839844	-63,441601
4478,906250	-65,717117
4521,972656	-60,662746
4565,039062	-54,093510
4608,105469	-50,484341
4651,171875	-50,754921
4694,238281	-57,349171
4737,304688	-68,041298
4780,371094	-67,831528
4823,437500	-64,678909
4866,503906	-60,104912
4909,570312	-57,991261
4952,636719	-61,143162
4995,703125	-68,877533
5038,769531	-67,019951
5081,835938	-62,890007
5124,902344	-59,783356
5167,968750	-57,332500
5211,035156	-58,842289
5254,101562	-57,996525
5297,167969	-62,185593
5340,234375	-69,429230
5383,300781	-70,596664
5426,367188	-73,714111
5469,433594	-76,236107
5512,500000	-74,563385
5555,566406	-73,908417
5598,632812	-73,340553
5641,699219	-70,352585
5684,765625	-66,483025
5727,832031	-60,496635
5770,898438	-55,967506
5813,964844	-54,972263
5857,031250	-60,628853
5900,097656	-68,934189
5943,164062	-73,145393
5986,230469	-79,264771
6029,296875	-78,709724
6072,363281	-75,387138
6115,429688	-71,203705
6158,496094	-69,054100
6201,562500	-69,839569
6244,628906	-73,253098
6287,695312	-76,043709
6330,761719	-77,678001
6373,828125	-81,209831
6416,894531	-84,512810
6459,960938	-86,127808
6503,027344	-87,652649
6546,093750	-86,806877
6589,160156	-85,894440
6632,226562	-86,372849
6675,292969	-86,076836
6718,359375	-84,923302
6761,425781	-84,413071
6804,492188	-80,471252
6847,558594	-78,500381
6890,625000	-75,576462
6933,691406	-74,454948
6976,757812	-74,591331
7019,824219	-79,848778
7062,890625	-88,411995
7105,957031	-89,861389
7149,023438	-91,044952
7192,089844	-91,147453
7235,156250	-89,762184
7278,222656	-92,514191
7321,289062	-96,578644
7364,355469	-96,444092
7407,421875	-97,942810
7450,488281	-97,637932
7493,554688	-97,099037
7536,621094	-97,205574
7579,687500	-98,268806
7622,753906	-100,895859
7665,820312	-100,842285
7708,886719	-101,618446
7751,953125	-101,880264
7795,019531	-99,888184
7838,085938	-98,005974
7881,152344	-95,897057
7924,218750	-97,013611
7967,285156	-101,043030
8010,351562	-98,739151
8053,417969	-95,872955
8096,484375	-90,166824
8139,550781	-88,444519
8182,617188	-93,457520
8225,683594	-98,573540
8268,750000	-103,497864
8311,816406	-105,305595
8354,882812	-106,403175
8397,949219	-106,482872
8441,015625	-106,922073
8484,082031	-107,593620
8527,148438	-107,981026
8570,214844	-108,389267
8613,281250	-108,614990
8656,347656	-108,399269
8699,414062	-108,307404
8742,480469	-108,439072
8785,546875	-108,364304
8828,613281	-108,746330
8871,679688	-110,421906
8914,746094	-110,923737
8957,812500	-111,029808
9000,878906	-111,352394
9043,945312	-111,639404
9087,011719	-111,624168
9130,078125	-110,658302
