Frecuencia (Hz)	Nivel (dB)
43,066406	-90,524216
86,132812	-85,176979
129,199219	-83,513115
172,265625	-83,050133
215,332031	-82,086853
258,398438	-83,034737
301,464844	-84,938614
344,531250	-84,841835
387,597656	-83,514343
430,664062	-83,377579
473,730469	-80,971413
516,796875	-79,052574
559,863281	-78,439133
602,929688	-74,462288
645,996094	-70,428421
689,062500	-60,768806
732,128906	-32,425640
775,195312	-27,094969
818,261719	-33,630348
861,328125	-64,978523
904,394531	-73,689949
947,460938	-79,459282
990,527344	-80,515945
1033,593750	-78,545509
1076,660156	-78,531754
1119,726562	-81,143280
1162,792969	-83,821846
1205,859375	-87,673912
1248,925781	-86,278931
1291,992188	-81,487221
1335,058594	-77,777504
1378,125000	-73,758263
1421,191406	-69,467514
1464,257812	-64,845245
1507,324219	-49,526939
1550,390625	-47,322128
1593,457031	-57,391838
1636,523438	-74,191872
1679,589844	-76,848991
1722,656250	-77,393822
1765,722656	-76,427277
1808,789062	-76,380760
1851,855469	-76,044601
1894,921875	-76,229706
1937,988281	-70,665131
1981,054688	-64,662407
2024,121094	-63,159374
2067,187500	-64,661896
2110,253906	-65,924896
2153,320312	-66,881065
2196,386719	-65,814667
2239,453125	-56,938641
2282,519531	-38,034554
2325,585938	-33,251507
2368,652344	-39,405430
2411,718750	-61,253433
2454,785156	-66,658470
2497,851562	-70,509888
2540,917969	-72,446045
2583,984375	-74,064835
2627,050781	-75,413490
2670,117188	-76,079651
2713,183594	-76,016350
2756,250000	-74,595184
2799,316406	-70,426941
2842,382812	-66,160782
2885,449219	-66,515038
2928,515625	-70,723061
2971,582031	-74,337357
3014,648438	-75,026009
3057,714844	-65,397636
3100,781250	-64,556831
3143,847656	-73,732742
3186,914062	-85,265175
3229,980469	-87,114120
3273,046875	-86,421791
3316,113281	-84,803307
3359,179688	-79,829910
3402,246094	-75,223228
3445,312500	-73,734116
3488,378906	-76,488480
3531,445312	-84,744469
3574,511719	-85,974731
3617,578125	-87,555504
3660,644531	-85,414207
3703,710938	-82,295845
3746,777344	-82,712608
3789,843750	-80,379143
3832,910156	-65,439148
3875,976562	-60,658756
3919,042969	-66,289055
3962,109375	-77,175095
4005,175781	-78,182953
4048,242188	-83,408600
4091,308594	-84,425591
4134,375000	-86,320419
4177,441406	-86,800026
4220,507812	-85,997421
4263,574219	-88,672577
4306,640625	-89,027664
4349,707031	-88,112350
4392,773438	-88,665504
4435,839844	-89,934258
4478,906250	-87,105324
4521,972656	-83,226791
4565,039062	-75,774933
4608,105469	-69,290749
4651,171875	-70,081757
4694,238281	-78,373123
4737,304688	-87,009331
4780,371094	-89,755119
4823,437500	-90,196220
4866,503906	-88,753738
4909,570312	-86,131409
4952,636719	-85,149834
4995,703125	-87,558319
5038,769531	-87,846794
5081,835938	-86,598267
5124,902344	-86,090431
5167,968750	-83,349594
5211,035156	-83,492088
5254,101562	-85,375626
5297,167969	-85,697716
5340,234375	-85,783264
5383,300781	-75,498199
5426,367188	-70,477943
5469,433594	-75,379585
5512,500000	-86,806900
5555,566406	-88,226990
5598,632812	-89,905937
5641,699219	-87,203377
5684,765625	-87,472130
5727,832031	-88,542824
5770,898438	-88,904884
5813,964844	-88,736885
5857,031250	-88,599213
5900,097656	-87,973015
5943,164062	-87,858017
5986,230469	-88,067558
6029,296875	-89,203148
6072,363281	-90,199333
6115,429688	-90,776802
6158,496094	-83,449173
6201,562500	-79,188232
6244,628906	-84,096649
6287,695312	-92,921402
6330,761719	-93,723419
6373,828125	-97,376244
6416,894531	-97,494858
6459,960938	-94,339722
6503,027344	-93,376762
6546,093750	-95,491798
6589,160156	-97,182884
6632,226562	-97,432777
6675,292969	-96,167747
6718,359375	-93,030914
6761,425781	-93,068176
6804,492188	-95,577652
6847,558594	-95,835014
6890,625000	-92,703682
6933,691406	-89,518501
6976,757812	-87,550179
7019,824219	-92,258720
7062,890625	-97,722992
7105,957031	-98,136086
7149,023438	-99,910667
7192,089844	-97,499229
7235,156250	-96,622147
7278,222656	-97,764725
7321,289062	-99,552452
7364,355469	-99,233467
7407,421875	-98,329765
7450,488281	-98,076279
7493,554688	-96,178299
7536,621094	-95,810593
7579,687500	-98,022354
7622,753906	-100,821861
7665,820312	-98,793106
7708,886719	-97,846680
7751,953125	-98,687721
7795,019531	-100,745132
7838,085938	-102,034958
7881,152344	-102,518364
7924,218750	-102,017166
7967,285156	-101,397697
8010,351562	-101,298317
8053,417969	-100,940445
8096,484375	-101,195641
8139,550781	-102,038147
8182,617188	-104,669945
8225,683594	-105,108276
8268,750000	-105,975296
8311,816406	-105,058708
8354,882812	-105,473755
8397,949219	-105,515648
8441,015625	-103,704475
8484,082031	-102,202034
8527,148438	-100,013939
8570,214844	-102,136620
8613,281250	-104,770607
8656,347656	-106,210281
8699,414062	-107,522804
8742,480469	-108,719742
8785,546875	-109,634735
8828,613281	-109,301712
8871,679688	-109,416473
8914,746094	-109,884712
8957,812500	-110,368713
9000,878906	-110,643974
9043,945312	-111,072578
9087,011719	-109,504463
9130,078125	-108,553139
9173,144531	-108,754784
9216,210938	-107,631905
9259,277344	-106,774834
9302,343750	-106,396774
9345,410156	-109,094482
9388,476562	-111,886139
9431,542969	-113,077934
9474,609375	-113,925995
9517,675781	-114,622055
9560,742188	-114,502113
9603,808594	-113,916443
