Frecuencia (Hz)	Nivel (dB)
46,875000	-72,061180
93,750000	-63,550278
140,625000	-64,936562
187,500000	-63,528030
234,375000	-61,850498
281,250000	-72,452675
328,125000	-78,686325
375,000000	-82,018158
421,875000	-84,047005
468,750000	-85,600861
515,625000	-86,564705
562,500000	-87,781563
609,375000	-88,602882
656,250000	-89,200790
703,125000	-89,986984
750,000000	-90,709877
796,875000	-91,285500
843,750000	-91,658867
890,625000	-92,391357
937,500000	-92,812866
984,375000	-93,016518
1031,250000	-93,646713
1078,125000	-93,905121
1125,000000	-94,384865
1171,875000	-94,737656
1218,750000	-94,947044
1265,625000	-95,222870
1312,500000	-95,324966
1359,375000	-95,799217
1406,250000	-95,949821
1453,125000	-96,646858
1500,000000	-96,741814
1546,875000	-96,863525
1593,750000	-97,187340
1640,625000	-97,477615
1687,500000	-97,516205
1734,375000	-97,926888
1781,250000	-97,871155
1828,125000	-98,054878
1875,000000	-98,470375
1921,875000	-98,438553
1968,750000	-98,888634
2015,625000	-98,905884
2062,500000	-98,797783
2109,375000	-99,131767
2156,250000	-99,264214
2203,125000	-99,247589
2250,000000	-99,364799
2296,875000	-99,512611
2343,750000	-97,869598
2390,625000	-97,854202
2437,500000	-99,148361
2484,375000	-99,808479
2531,250000	-100,549271
2578,125000	-100,870628
2625,000000	-101,062149
2671,875000	-101,008492
2718,750000	-101,113663
2765,625000	-101,343018
2812,500000	-101,407753
2859,375000	-101,656311
2906,250000	-101,631180
2953,125000	-101,663330
3000,000000	-102,109383
3046,875000	-101,877274
3093,750000	-101,845612
3140,625000	-102,240860
3187,500000	-102,332451
3234,375000	-102,505676
3281,250000	-102,705513
3328,125000	-102,537270
3375,000000	-102,921356
3421,875000	-102,940109
3468,750000	-102,822525
3515,625000	-103,095375
3562,500000	-103,226883
3609,375000	-103,006424
3656,250000	-102,927193
3703,125000	-103,482468
3750,000000	-103,417412
3796,875000	-103,475899
3843,750000	-103,259636
3890,625000	-103,458450
3937,500000	-103,852928
3984,375000	-103,787628
4031,250000	-104,048141
4078,125000	-103,891792
4125,000000	-104,447655
4171,875000	-104,219185
4218,750000	-104,103935
