Frecuencia (Hz)	Nivel (dB)
46,875000	-50,902527
93,750000	-50,451939
140,625000	-50,466831
187,500000	-50,063435
234,375000	-49,220081
281,250000	-48,500278
328,125000	-47,333771
375,000000	-45,767681
421,875000	-43,471275
468,750000	-39,639313
515,625000	-28,086376
562,500000	-31,982275
609,375000	-28,820736
656,250000	-26,482117
703,125000	-30,384644
750,000000	-37,520725
796,875000	-33,421413
843,750000	-39,510094
890,625000	-27,606800
937,500000	-34,443184
984,375000	-24,923927
1031,250000	-27,995220
1078,125000	-36,611332
1125,000000	-40,894115
1171,875000	-39,414646
1218,750000	-43,340099
1265,625000	-45,387539
1312,500000	-41,110844
1359,375000	-41,848309
1406,250000	-41,024487
1453,125000	-39,236309
1500,000000	-47,236530
1546,875000	-47,739651
1593,750000	-34,965176
1640,625000	-48,798382
1687,500000	-49,253017
1734,375000	-46,303795
1781,250000	-31,856192
1828,125000	-43,305702
1875,000000	-47,343796
1921,875000	-45,001652
1968,750000	-39,829536
2015,625000	-32,811806
2062,500000	-45,699287
2109,375000	-41,946831
2156,250000	-44,013222
2203,125000	-50,740208
2250,000000	-51,001423
2296,875000	-48,484791
2343,750000	-42,173317
2390,625000	-30,485971
2437,500000	-46,114204
2484,375000	-51,403549
2531,250000	-53,312607
2578,125000	-53,543663
2625,000000	-48,008888
2671,875000	-44,485100
2718,750000	-50,627216
2765,625000	-54,248310
2812,500000	-52,768223
2859,375000	-41,904366
2906,250000	-49,202530
2953,125000	-46,478928
3000,000000	-38,657364
3046,875000	-39,718002
3093,750000	-49,562492
3140,625000	-52,169720
3187,500000	-47,408085
3234,375000	-54,786774
3281,250000	-54,349194
3328,125000	-43,080856
3375,000000	-52,054188
3421,875000	-56,805668
3468,750000	-57,522163
3515,625000	-56,213497
3562,500000	-47,998280
3609,375000	-47,790916
3656,250000	-57,206924
3703,125000	-55,394108
3750,000000	-59,135857
3796,875000	-59,272747
3843,750000	-58,723557
3890,625000	-56,835091
3937,500000	-51,412624
3984,375000	-43,320511
4031,250000	-43,187279
4078,125000	-52,636433
4125,000000	-57,601440
4171,875000	-57,660522
4218,750000	-57,706814
4265,625000	-55,144550
4312,500000	-52,580944
4359,375000	-60,003056
4406,250000	-59,744045
4453,125000	-53,215176
4500,000000	-46,573563
4546,875000	-55,754333
4593,750000	-60,069302
4640,625000	-60,017326
4687,500000	-59,530571
4734,375000	-59,491280
4781,250000	-57,907005
4828,125000	-63,361404
4875,000000	-63,759937
4921,875000	-62,467075
4968,750000	-56,933170
5015,625000	-51,412033
5062,500000	-53,636848
5109,375000	-60,950359
5156,250000	-63,508957
5203,125000	-64,314934
5250,000000	-64,791275
5296,875000	-63,064209
5343,750000	-58,307411
5390,625000	-57,873611
5437,500000	-62,561085
5484,375000	-65,140144
5531,250000	-63,748390
5578,125000	-59,472755
5625,000000	-64,390358
5671,875000	-65,089729
5718,750000	-62,722763
5765,625000	-65,364571
5812,500000	-66,858833
5859,375000	-67,129585
5906,250000	-67,287102
5953,125000	-66,734329
6000,000000	-66,398422
6046,875000	-65,432465
6093,750000	-66,862160
6140,625000	-67,461563
6187,500000	-67,713844
6234,375000	-66,818092
6281,250000	-66,213699
6328,125000	-67,025604
6375,000000	-67,430313
6421,875000	-68,107674
6468,750000	-68,267532
6515,625000	-68,252678
6562,500000	-68,514610
6609,375000	-68,519241
6656,250000	-67,663948
6703,125000	-68,005005
6750,000000	-68,690460
6796,875000	-68,966537
6843,750000	-68,954071
6890,625000	-68,912605
6937,500000	-68,978653
6984,375000	-69,135338
7031,250000	-68,987289
7078,125000	-69,182976
7125,000000	-69,097366
7171,875000	-68,940048
7218,750000	-69,055931
7265,625000	-69,449387
7312,500000	-69,458382
7359,375000	-69,492424
7406,250000	-69,707619
7453,125000	-69,792450
7500,000000	-69,855309
7546,875000	-69,847565
7593,750000	-69,977478
7640,625000	-70,030342
7687,500000	-70,086075
7734,375000	-70,052094
7781,250000	-70,208672
7828,125000	-70,033867
7875,000000	-70,132431
7921,875000	-69,862335
7968,750000	-69,772705
8015,625000	-69,685997
8062,500000	-69,801666
8109,375000	-69,939087
8156,250000	-70,385399
8203,125000	-70,555305
