,fft
0,-0.4797267854002291
1,-0.9323336457844469
2,-1.2593543929491542
3,-1.5554215659875283
4,-1.9230772353421148
5,-2.5984778453657196
6,-2.5497290387864817
7,-2.295571047111533
8,-2.261667637459618
9,-2.3156352345075026
10,-2.4254926455693915
11,-2.5690029913449277
12,-2.691608629742722
13,-2.714760814092408
14,-2.6712948392622624
15,-2.6333797636020315
16,-2.6242426444667832
17,-2.6448260220975883
18,-2.688793664038835
19,-2.741687968527011
20,-2.781034246878546
21,-2.790953462466463
22,-2.779006626952114
23,-2.763722089976368
24,-2.7574644549710947
25,-2.7652782413777546
26,-2.7861164480977827
27,-2.8134079933707534
28,-2.835228802194452
29,-2.841913070589329
30,-2.8349817902844374
31,-2.824217097794684
32,-2.818106186707723
33,-2.821019955767805
34,-2.832920639781978
35,-2.8498855887673282
36,-2.8644458215284723
37,-2.8694455891423125
38,-2.8641336380413307
39,-2.854561803619426
40,-2.848248982645397
41,-2.848891899631766
42,-2.856710047093412
43,-2.8685846127781987
44,-2.879464425617341
45,-2.8836967037793326
46,-2.8791316102855045
47,-2.8699542811493557
48,-2.8627907220548874
49,-2.8619693421184387
50,-2.8676952092493124
51,-2.877466737462045
52,-2.886788171669582
53,-2.8905003579344863
54,-2.8860049058412236
55,-2.876185764003182
56,-2.8677045976708584
57,-2.865788931137722
58,-2.871398918175483
59,-2.8812814217983655
60,-2.8901553341281243
61,-2.8924582261359535
62,-2.8864077131412613
63,-2.8753577152290277
64,-2.866143758267306
65,-2.864623184636699
66,-2.871560278685407
67,-2.8823622307282584
68,-2.88991429727271
69,-2.889581342579147
70,-2.8814719886876956
71,-2.8697807633713963
72,-2.861148100161752
73,-2.8608767864934337
74,-2.8692337200065126
75,-2.8804338489422454
76,-2.8863468956941682
77,-2.8827774817888576
78,-2.8724843220402363
79,-2.860988221604083
80,-2.8540411246240627
81,-2.8554026278395224
82,-2.8646896372787474
83,-2.8757232760527875
84,-2.879342932899283
85,-2.8725721674221414
86,-2.8605544144840027
87,-2.850100931989052
88,-2.8454903619066774
89,-2.8484669724483314
90,-2.8580274264700956
91,-2.8677644616209923
92,-2.8690222898994007
93,-2.85972083435468
94,-2.84672250107215
95,-2.83770730169434
96,-2.835615707327404
97,-2.840034436703182
98,-2.8486194420587916
99,-2.8562716802328483
100,-2.855792486110146
101,-2.8452226802011307
102,-2.8318774862751015
103,-2.8241848952423956
104,-2.8241105434135036
105,-2.828809298470374
106,-2.835575980923981
107,-2.841776689443319
108,-2.8412450768995265
109,-2.830584415999827
110,-2.8164945175092004
111,-2.8081966886805207
112,-2.8082611866454776
113,-2.8134195440372243
114,-2.8207425176366967
115,-2.827633267612679
116,-2.8273031595105396
117,-2.8146379530403265
118,-2.796878373941103
119,-2.7866304110756515
120,-2.788447160371195
121,-2.797698446479519
122,-2.807942240306607
123,-2.8143123755417925
124,-2.810361416935057
125,-2.792954890495134
126,-2.771735659419086
127,-2.7617387970427654
128,-2.768319506626263
129,-2.7840611429970483
130,-2.7964758914606422
131,-2.798232080836398
132,-2.7871143338734923
133,-2.7649050959078783
134,-2.7429926830184543
135,-2.7362116405467383
136,-2.7496547063647956
137,-2.7721482784152864
138,-2.7838557731594498
139,-2.7764121130407506
140,-2.7563316725629634
141,-2.731602648106045
142,-2.7125454967137017
143,-2.711719368620409
144,-2.732970933736948
145,-2.760765147665301
146,-2.767184411293719
147,-2.7464828815981153
148,-2.7179279262678437
149,-2.694491109788508
150,-2.6823476028299353
151,-2.6896406253514193
152,-2.7183098141789412
153,-2.747526547991837
154,-2.742419807939665
155,-2.7067241987612736
156,-2.673301405222138
157,-2.656007365863776
158,-2.6545869935263666
159,-2.6708381180449736
160,-2.7035980300477416
161,-2.7271015333822257
162,-2.7060420941163947
163,-2.6588648600220948
164,-2.626223902543063
165,-2.6188023225865518
166,-2.6290639294556155
167,-2.652117959392965
168,-2.683825896158246
169,-2.696869361245852
170,-2.6608323839597423
171,-2.6065198007667334
172,-2.5768998654904043
173,-2.5798668463694683
174,-2.6026127135445565
175,-2.632555937008719
176,-2.6606758299351254
177,-2.657884611956765
178,-2.6053224359872886
179,-2.5462086635036267
180,-2.522125830922551
181,-2.5389990461823566
182,-2.578992327679865
183,-2.6165553187432846
184,-2.631381422390096
185,-2.602041899638019
186,-2.534561774769185
187,-2.4769405040733847
188,-2.4640814847853414
189,-2.500943134273033
190,-2.563884691510715
191,-2.6017125881628838
192,-2.582708670304843
193,-2.521463274728085
194,-2.448833529298499
195,-2.4017251389175613
196,-2.406765211004348
197,-2.4711373568252757
198,-2.560914122346119
199,-2.573860665049213
200,-2.4984247539367392
201,-2.4148973970979943
202,-2.3511521845440253
203,-2.323781172179189
204,-2.3548420978398705
205,-2.4580740873782765
206,-2.5695158957020103
207,-2.4996018232621515
208,-2.368681576270294
209,-2.285217428203422
210,-2.2447518193765763
211,-2.2480818510120533
212,-2.318767497587585
213,-2.481762390322688
214,-2.54586477858142
215,-2.3392539792334714
216,-2.196352797138806
217,-2.137834534423656
218,-2.13742562242581
219,-2.190823115914821
220,-2.33003129279696
221,-2.54554103461321
222,-2.3414914094176766
223,-2.1088030746084794
224,-2.003551186977052
225,-1.9897190948104821
226,-2.0483335279658137
227,-2.181384122100643
228,-2.414728167815698
229,-2.3395388020592023
230,-2.0308366367306476
231,-1.8617675584045883
232,-1.8022700750462397
233,-1.8384544335265358
234,-1.9788278714143324
235,-2.2547060364423963
236,-2.257050189787207
237,-1.9089267425232965
238,-1.6884553359206953
239,-1.5693034198362934
240,-1.544167185642174
241,-1.6318023131027868
242,-1.9225476321204094
243,-2.134577241014639
244,-1.6073593625768754
245,-1.3339163563334144
246,-1.1370317900346163
247,-0.9882698572844485
248,-0.8868825738710564
249,-0.833421356998393
250,-0.05718258095596236
251,-0.8609956275003059
252,-0.9272104289240534
253,-1.0100573927179466
254,-1.105082498888022
255,-1.2373834831278783
256,-1.4703321892354255
257,-2.023867032587572
258,-1.8459945566426312
259,-1.5630893880122274
260,-1.495588539408131
261,-1.518485002509418
262,-1.5942429245444623
263,-1.7380316415092598
264,-2.0540261364263457
265,-2.220679015241164
266,-1.8219228772715161
267,-1.679438435371519
268,-1.6652678924097968
269,-1.736530236631635
270,-1.8780313699125262
271,-2.1248041117928547
272,-2.370174264338076
273,-2.00148509590151
274,-1.798583269660239
275,-1.7349295027674274
276,-1.7761941310661118
277,-1.916189814012382
278,-2.1672025218847804
279,-2.3921307756289263
280,-2.122948874787662
281,-1.9060254335312419
282,-1.804240092650853
283,-1.8020452192515914
284,-1.900719038621624
285,-2.1078199355925933
286,-2.2924823662414537
287,-2.152564831197326
288,-1.9894915853369775
289,-1.8870679316218317
290,-1.8537396771721795
291,-1.903825732583336
292,-2.0438019586636926
293,-2.178205917848293
294,-2.1075542705261863
295,-2.0057589698682436
296,-1.9483202045282912
297,-1.9246346215099916
298,-1.9478728032332053
299,-2.0350073587669706
300,-2.1242906193276987
301,-2.0672075471770697
302,-1.9774323365337045
303,-1.9486701847688526
304,-1.9685025078137075
305,-2.013752796677578
306,-2.0831507516250958
307,-2.1392199498490037
308,-2.070219717716287
309,-1.9623125323920565
310,-1.9198102868527553
311,-1.9527279331994203
312,-2.041745162622342
313,-2.1496569468008064
314,-2.207425214164358
315,-2.1229275332954542
316,-1.9874026322246037
317,-1.9117830692136293
318,-1.9186431796132135
319,-2.004736945635022
320,-2.1459621775677595
321,-2.250801497211646
322,-2.1922875709165406
323,-2.048777163080315
324,-1.9421354582585642
325,-1.9105007244309182
326,-1.958820331402872
327,-2.0721666085830717
328,-2.181818085983746
329,-2.1848044987790063
330,-2.0994059457035537
331,-1.9988345560167355
332,-1.9390201137434575
333,-1.9452301746288472
334,-2.010542756385361
335,-2.0816207023135367
336,-2.0945247128278037
337,-2.0728384981747854
338,-2.0381172735116992
339,-1.994543346854821
340,-1.97548442199236
341,-1.9970496520865229
342,-2.023345117206999
343,-2.0112347988603942
344,-1.9942046897737693
345,-2.0075142862814617
346,-2.0311244314592996
347,-2.0367477430486254
348,-2.0354025102991073
349,-2.020687782222388
350,-1.9727957181406912
351,-1.930192275758815
352,-1.9364185881520264
353,-1.995780602521562
354,-2.0708774446593234
355,-2.1024664189284796
356,-2.0667657977899276
357,-1.982009641569818
358,-1.9045887308108005
359,-1.8798608934420744
360,-1.9215605917991567
361,-2.017970076756166
362,-2.1149741867076637
363,-2.1200465872309646
364,-2.0244097724720507
365,-1.9160482539523371
366,-1.8556942760035677
367,-1.860936295470166
368,-1.926608647166158
369,-2.022399333213474
370,-2.0835285129173298
371,-2.0498573931271005
372,-1.950465520626996
373,-1.8660165714347645
374,-1.8356967688272188
375,-1.8598519078688676
376,-1.9150088594925694
377,-1.9680371625071589
378,-1.9975539260926458
379,-1.9775545392941012
380,-1.912514064197776
381,-1.858770927945419
382,-1.8429818977312318
383,-1.8520962069198128
384,-1.8679428195494254
385,-1.896377833803575
386,-1.9392460203861344
387,-1.9532148101515694
388,-1.9154423988011355
389,-1.8692250235590833
390,-1.8332780613309958
