,fft
0,-0.6272500983766632
1,-1.0750997834698333
2,-1.4541540888721198
3,-1.8730117927312178
4,-2.3951842774760586
5,-2.445845988534678
6,-2.3199762251105622
7,-2.3119627766045534
8,-2.3706310268597526
9,-2.4689125184420986
10,-2.5736091245451305
11,-2.635188290935307
12,-2.642734470584118
13,-2.6378284429013052
14,-2.649198835687705
15,-2.6810053108364387
16,-2.724585267732771
17,-2.7654374725330295
18,-2.7913989392122263
19,-2.802110325380588
20,-2.807155340831777
21,-2.8157220523976245
22,-2.8318924976369924
23,-2.854545174486179
24,-2.878508934480723
25,-2.896909436896723
26,-2.905801598431929
27,-2.9083277335852693
28,-2.911833403314561
29,-2.9214360441905027
30,-2.937157642625601
31,-2.954235086872431
32,-2.966458855347432
33,-2.9716008319209988
34,-2.972696010948109
35,-2.9745740455652867
36,-2.980546750676436
37,-2.9910316773553465
38,-3.0034561343716626
39,-3.0131051754078673
40,-3.016997160383092
41,-3.0160042611282862
42,-3.0148894213579287
43,-3.0183876961111133
44,-3.027463456760026
45,-3.038322636146346
46,-3.0453383819092714
47,-3.046212963643755
48,-3.0434427107238693
49,-3.041898607154005
50,-3.044801959013148
51,-3.052126991417174
52,-3.0608193753826316
53,-3.0663892860336026
54,-3.066277291650064
55,-3.061713898370063
56,-3.0585053916454568
57,-3.0609438137923166
58,-3.068992394708358
59,-3.077249382331348
60,-3.080089801588646
61,-3.0767035102336324
62,-3.0715575001213025
63,-3.069911406635291
64,-3.0731128187270365
65,-3.0791513638993075
66,-3.084838919300122
67,-3.0870264020638825
68,-3.084243812295191
69,-3.0785346169425276
70,-3.0747712159388194
71,-3.0770038049236064
72,-3.084445693153624
73,-3.091186503203871
74,-3.0913811189034917
75,-3.0852697794485264
76,-3.0786128528697114
77,-3.0764724308201656
78,-3.0797672117319284
79,-3.0860730321360634
80,-3.091675443163944
81,-3.0920145448758505
82,-3.085131320560062
83,-3.075903271491506
84,-3.0718735505563814
85,-3.077282624287163
86,-3.0880393452356163
87,-3.0937296956195763
88,-3.0879389418481438
89,-3.076196622906096
90,-3.06867203402518
91,-3.0695562010477615
92,-3.0767327758955316
93,-3.0849757398410182
94,-3.08802041268713
95,-3.0817516574165666
96,-3.069015235996608
97,-3.0589982061440533
98,-3.06064743379889
99,-3.073467860832438
100,-3.0854219869215935
101,-3.082608930666752
102,-3.066892229199832
103,-3.053089885346219
104,-3.0507552384448706
105,-3.0587736199050135
106,-3.0695969095323545
107,-3.075176296051155
108,-3.069967617422619
109,-3.055535661772947
110,-3.0406615928649057
111,-3.037003019964694
112,-3.0493918653093175
113,-3.0673250018968465
114,-3.070304120145635
115,-3.052199925277456
116,-3.0316289010491304
117,-3.0248807693089734
118,-3.032982209804179
119,-3.0462637966442325
120,-3.0542084967398218
121,-3.050844944029628
122,-3.0365088979118617
123,-3.0178001087935176
124,-3.0077136054671243
125,-3.015855080849652
126,-3.0382389954803464
127,-3.0512639718249703
128,-3.0353552036171756
129,-3.006121381234764
130,-2.990541840328906
131,-2.9965709759428147
132,-3.014676214518484
133,-3.0282739541378274
134,-3.0273721073207853
135,-3.011301468033544
136,-2.987338853058332
137,-2.9700508226593105
138,-2.9743443749628637
139,-3.0017816201921352
140,-3.0270588261918747
141,-3.0136688944573757
142,-2.9734367715015075
143,-2.946838893148215
144,-2.9509431708090483
145,-2.9764635461187536
146,-2.998564716523059
147,-2.9975873336735015
148,-2.976179054623916
149,-2.9475336857686463
150,-2.9261211234507565
151,-2.9272430486237746
152,-2.9570208253457495
153,-2.9936353427637803
154,-2.985324330666306
155,-2.933524767007287
156,-2.894788546950744
157,-2.8962122045875214
158,-2.9297207744519103
159,-2.961937930239293
160,-2.9603088043464787
161,-2.931578441397005
162,-2.898250112910885
163,-2.873970364411316
164,-2.8722387606593616
165,-2.9027504693005683
166,-2.949285927914336
